#{"t_start": 1581931891.026359, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.939854
15.0,15,0.944264
12.0,12,0.947539
29.0,29,0.954814
16.0,16,0.959709
16.0,16,0.963633
17.0,17,0.967533
31.0,31,0.975709
21.0,21,0.981088
20.0,20,0.985869
12.0,12,0.988577
15.0,15,0.992966
13.0,13,0.996239
22.0,22,1.001656
19.0,19,1.006491
26.0,26,1.015413
11.0,11,1.01818
13.0,13,1.021262
24.0,24,1.02831
20.0,20,1.033304
28.0,28,1.040018
11.0,11,1.043616
14.0,14,1.047111
22.0,22,1.052355
18.0,18,1.05742
42.0,42,1.068282
23.0,23,1.074784
23.0,23,1.081195
14.0,14,1.084355
39.0,39,1.095841
44.0,44,1.108952
22.0,22,1.114967
24.0,24,1.121218
9.0,9,1.123545
24.0,24,1.130536
23.0,23,1.135888
36.0,36,1.14613
19.0,19,1.150613
26.0,26,1.157506
24.0,24,1.163833
13.0,13,1.166853
18.0,18,1.171412
13.0,13,1.174973
61.0,61,1.189593
13.0,13,1.19346
21.0,21,1.198702
50.0,50,1.631803
24.0,24,1.638139
23.0,23,1.64423
13.0,13,1.647137
34.0,34,1.655893
19.0,19,1.660944
28.0,28,1.666943
82.0,82,1.685179
40.0,40,1.693799
36.0,36,1.701419
51.0,51,1.712181
31.0,31,1.719741
75.0,75,1.736905
56.0,56,1.749419
18.0,18,1.753283
17.0,17,1.756926
12.0,12,1.759532
23.0,23,1.764447
27.0,27,1.77043
28.0,28,1.776881
29.0,29,1.783747
75.0,75,1.800468
22.0,22,1.805296
61.0,61,1.818562
24.0,24,1.823818
37.0,37,1.831914
31.0,31,1.838694
37.0,37,1.846766
46.0,46,1.856856
27.0,27,1.906905
31.0,31,1.913708
22.0,22,1.918368
24.0,24,1.923347
18.0,18,1.927199
42.0,42,1.935784
75.0,75,1.950745
28.0,28,1.956403
69.0,69,1.970464
15.0,15,1.973596
23.0,23,1.978241
48.0,48,1.988089
16.0,16,1.991347
154.0,154,2.024452
20.0,20,2.029496
34.0,34,2.037705
134.0,134,2.067421
59.0,59,2.08011
21.0,21,2.084672
46.0,46,2.094439
53.0,53,2.113616
14.0,14,2.118559
25.0,25,2.124828
35.0,35,2.178631
35.0,35,2.186616
14.0,14,2.189658
106.0,106,2.211932
120.0,120,2.238864
63.0,63,2.253996
68.0,68,2.268813
70.0,70,2.284921
49.0,49,2.295491
47.0,47,2.305452
68.0,68,2.319824
94.0,94,2.340691
136.0,136,2.369829
44.0,44,2.379563
45.0,45,2.389163
63.0,63,2.448032
107.0,107,2.472703
209.0,209,2.517221
58.0,58,2.529625
21.0,21,2.534197
56.0,56,2.546365
110.0,110,2.570318
98.0,98,2.592173
25.0,25,2.597571
160.0,160,2.638298
62.0,62,2.654897
136.0,136,2.756455
166.0,166,2.815698
120.0,120,2.849486
128.0,128,2.878303
165.0,165,2.914207
260.0,260,2.972713
102.0,102,2.994965
242.0,242,3.109379
244.0,244,3.168518
173.0,173,3.211609
247.0,247,3.272365
198.0,198,3.369754
140.0,140,3.40184
171.0,171,3.440457
210.0,210,3.484898
185.0,185,3.52637
251.0,251,3.582406
136.0,136,3.658987
195.0,195,3.700349
172.0,172,3.737477
150.0,150,3.770547
81.0,81,3.788117
276.0,276,3.852917
176.0,176,3.945103
245.0,245,4.000929
283.0,283,4.066983
125.0,125,4.093885
157.0,157,4.129294
188.0,188,4.215948
171.0,171,4.254602
198.0,198,4.297191
226.0,226,4.34894
65.0,65,4.364894
198.0,198,4.411631
287.0,287,4.540857
247.0,247,4.599303
111.0,111,4.625953
244.0,244,4.689836
356.0,356,4.824615
145.0,145,4.858417
500.0,500,4.976073
203.0,203,5.025094
203.0,203,5.124961
217.0,217,5.176646
224.0,224,5.228974
121.0,121,5.256968
391.0,391,5.390323
325.0,325,5.462631
421.0,421,5.554355
481.0,481,5.708074
174.0,174,5.746837
247.0,247,5.806526
234.0,234,5.861295
295.0,295,5.978308
217.0,217,6.02675
153.0,153,6.060566
290.0,290,6.125526
388.0,388,6.264563
157.0,157,6.300053
154.0,154,6.335187
342.0,342,6.4123
268.0,268,6.533865
197.0,197,6.582288
408.0,408,6.673672
134.0,134,6.703558
180.0,180,6.792124
152.0,152,6.827052
316.0,316,6.897994
265.0,265,6.955394
155.0,155,6.988917
97.0,97,7.05757
116.0,116,7.08354
157.0,157,7.116764
500.0,500,7.228565
268.0,268,7.343589
133.0,133,7.375075
146.0,146,7.411236
303.0,303,7.490559
162.0,162,7.531503
103.0,103,7.555873
98.0,98,7.578796
258.0,258,7.686742
137.0,137,7.715517
223.0,223,7.766174
124.0,124,7.793836
269.0,269,7.853251
328.0,328,7.970299
200.0,200,8.016636
491.0,491,8.132718
155.0,155,8.223972
488.0,488,8.345258
258.0,258,8.405662
78.0,78,8.423498
464.0,464,8.574708
500.0,500,8.6818
500.0,500,8.836178
500.0,500,8.951758
299.0,299,9.073384
500.0,500,9.184468
272.0,272,9.245613
398.0,398,9.379537
500.0,500,9.535717
500.0,500,9.778905
500.0,500,9.933524
500.0,500,10.105601
33.0,33,10.117417
500.0,500,10.236637
142.0,142,10.271938
168.0,168,10.363754
500.0,500,10.478894
500.0,500,10.597584
500.0,500,10.775321
500.0,500,10.896125
500.0,500,11.066187
500.0,500,11.185006
295.0,295,11.300486
500.0,500,11.422577
215.0,215,11.472118
191.0,191,11.571014
500.0,500,11.689877
500.0,500,11.860087
500.0,500,11.975951
500.0,500,12.150349
500.0,500,12.272802
416.0,416,12.375403
500.0,500,12.539362
310.0,310,12.616396
500.0,500,12.790209
389.0,389,12.876304
500.0,500,13.046206
455.0,455,13.150582
413.0,413,13.247898
362.0,362,13.384695
148.0,148,13.42225
500.0,500,13.539529
500.0,500,13.711427
358.0,358,13.7969
500.0,500,13.968589
203.0,203,14.018127
275.0,275,14.10307
436.0,436,14.273605
328.0,328,14.346414
330.0,330,14.425129
273.0,273,14.546525
143.0,143,14.584821
286.0,286,14.652685
489.0,489,14.771988
500.0,500,14.941527
178.0,178,14.9833
315.0,315,15.06207
271.0,271,15.175975
500.0,500,15.291844
500.0,500,15.460228
264.0,264,15.525755
282.0,282,15.587915
