#{"t_start": 1583984473.716278, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.20814
-500.0,500,1.420055
-500.0,500,2.062867
-500.0,500,2.296769
-500.0,500,2.579966
-351.0,352,2.725348
-383.0,384,2.95689
-237.0,238,3.058149
-232.0,233,3.155025
-321.0,322,3.288711
-442.0,443,3.541196
-381.0,382,3.706488
-331.0,332,3.905446
-489.0,490,4.114623
-252.0,253,4.222611
-305.0,306,4.41
-500.0,500,4.62535
-500.0,500,4.904282
-492.0,493,5.121869
-256.0,257,5.230853
-396.0,397,5.45515
-500.0,500,5.670456
-401.0,402,5.904901
-287.0,288,6.031572
-253.0,254,6.14338
-371.0,372,6.300207
-230.0,231,6.458469
-330.0,331,6.603478
-213.0,214,6.69782
-310.0,311,6.886677
-222.0,223,6.984886
-255.0,256,7.098343
-372.0,373,7.256085
-201.0,202,7.399357
-222.0,223,7.4996
-197.0,198,7.588635
-500.0,500,7.80249
-352.0,353,8.013242
-265.0,266,8.13023
-244.0,245,8.235687
-198.0,199,8.32086
-154.0,155,8.456196
-251.0,252,8.56977
-246.0,247,8.676092
-280.0,281,8.796229
-191.0,192,8.935188
-193.0,194,9.017731
-346.0,347,9.165054
-224.0,225,9.259237
-202.0,203,9.400159
-210.0,211,9.490776
-248.0,249,9.599769
-275.0,276,9.715159
-225.0,226,9.809299
-279.0,280,9.98766
-178.0,179,10.072139
-269.0,270,10.188157
-209.0,210,10.276835
-283.0,284,10.451471
-202.0,203,10.538352
-233.0,234,10.640372
-232.0,233,10.741467
-233.0,234,10.897444
-138.0,139,10.957344
-167.0,168,11.028639
-209.0,210,11.119319
-185.0,186,11.196336
-156.0,157,11.261762
-141.0,142,11.375971
-141.0,142,11.438468
-220.0,221,11.538343
-157.0,158,11.6084
-147.0,148,11.674654
-216.0,217,11.772144
-188.0,189,11.910024
-154.0,155,11.978814
-150.0,151,12.046728
-216.0,217,12.139431
-168.0,169,12.210323
-151.0,152,12.273828
-152.0,153,12.397068
-161.0,162,12.465147
-186.0,187,12.545954
-317.0,318,12.68377
-198.0,199,12.772024
-172.0,173,12.908043
-264.0,265,13.019882
-219.0,220,13.113588
-224.0,225,13.207796
-148.0,149,13.270128
-196.0,197,13.434713
-175.0,176,13.508918
-301.0,302,13.636492
-206.0,207,13.722656
-157.0,158,13.788136
-191.0,192,13.928418
-194.0,195,14.012411
-217.0,218,14.109196
-239.0,240,14.211578
-215.0,216,14.301004
-213.0,214,14.45051
-168.0,169,14.519776
-196.0,197,14.60325
-196.0,197,14.684404
-220.0,221,14.775937
-232.0,233,14.925999
-321.0,322,15.060931
-216.0,217,15.152384
-193.0,194,15.233246
-300.0,301,15.418033
-198.0,199,15.506438
-204.0,205,15.594761
-197.0,198,15.679302
-152.0,153,15.74409
-223.0,224,15.894443
-306.0,307,16.02468
-215.0,216,16.114705
-203.0,204,16.203699
-199.0,200,16.348124
-192.0,193,16.431458
-191.0,192,16.513455
-228.0,229,16.60879
-186.0,187,16.686036
-157.0,158,16.751209
-339.0,340,16.956802
-182.0,183,17.038848
-156.0,157,17.106841
-241.0,242,17.211525
-239.0,240,17.374023
-194.0,195,17.456399
-162.0,163,17.527854
-178.0,179,17.605281
-169.0,170,17.677416
-167.0,168,17.74759
-226.0,227,17.895414
-243.0,244,18.000777
-236.0,237,18.102749
-221.0,222,18.19668
-247.0,248,18.353689
-158.0,159,18.41913
-204.0,205,18.5066
-320.0,321,18.64524
-154.0,155,18.711593
-258.0,259,18.880697
-159.0,160,18.947694
-199.0,200,19.031826
-228.0,229,19.129409
-219.0,220,19.223021
-194.0,195,19.360155
-208.0,209,19.449302
-256.0,257,19.55775
-198.0,199,19.640311
-182.0,183,19.717736
-319.0,320,19.915548
-166.0,167,19.989312
-239.0,240,20.089639
-187.0,188,20.168395
-140.0,141,20.286204
-185.0,186,20.367455
-205.0,206,20.456422
-234.0,235,20.557822
-282.0,283,20.676317
-201.0,202,20.835646
-218.0,219,20.927676
-331.0,332,21.071005
-144.0,145,21.1319
-232.0,233,21.282128
-231.0,232,21.380676
-182.0,183,21.459097
-211.0,212,21.547267
-181.0,182,21.623707
-189.0,190,21.704616
-241.0,242,21.861897
-216.0,217,21.959833
-309.0,310,22.096592
-183.0,184,22.17432
-340.0,341,22.380079
-145.0,146,22.442682
-257.0,258,22.553439
-136.0,137,22.611745
-168.0,169,22.682453
-214.0,215,22.834244
-198.0,199,22.923157
-143.0,144,22.985315
-224.0,225,23.079087
-214.0,215,23.169261
-258.0,259,23.335204
-178.0,179,23.413629
-241.0,242,23.518251
-282.0,283,23.635634
-161.0,162,23.758079
-228.0,229,23.861142
-166.0,167,23.935385
-200.0,201,24.021368
-199.0,200,24.106053
-222.0,223,24.254195
-177.0,178,24.328903
-223.0,224,24.423218
-308.0,309,24.558283
-303.0,304,24.744132
-280.0,281,24.86682
-146.0,147,24.931193
-159.0,160,24.99811
-215.0,216,25.087745
-136.0,137,25.145386
-172.0,173,25.277964
-207.0,208,25.363815
-246.0,247,25.468432
-155.0,156,25.534633
-170.0,171,25.607016
-164.0,165,25.731833
-235.0,236,25.829871
-158.0,159,25.898196
-500.0,500,26.104307
-355.0,356,26.31811
-279.0,280,26.443792
-499.0,500,26.705434
-200.0,201,26.792778
-431.0,432,26.973687
-188.0,189,27.052816
-268.0,269,27.243921
-283.0,284,27.363552
-405.0,406,27.532959
-140.0,141,27.591437
-259.0,260,27.758017
-188.0,189,27.83616
-258.0,259,27.946663
-198.0,199,28.030539
-169.0,170,28.102177
-306.0,307,28.290524
-256.0,257,28.399144
-332.0,333,28.543976
-167.0,168,28.617051
-148.0,149,28.738163
-319.0,320,28.874284
-225.0,226,28.969254
-153.0,154,29.033168
-273.0,274,29.207379
-188.0,189,29.287218
-239.0,240,29.38821
-149.0,150,29.451875
-211.0,212,29.541993
-173.0,174,29.67164
-257.0,258,29.781965
-212.0,213,29.873131
-137.0,138,29.93095
-176.0,177,30.005391
-139.0,140,30.063754
-183.0,184,30.201714
-193.0,194,30.283084
-320.0,321,30.423158
-253.0,254,30.529166
-231.0,232,30.681646
-223.0,224,30.775559
-245.0,246,30.880431
-199.0,200,30.964987
-233.0,234,31.063947
-164.0,165,31.189034
-245.0,246,31.295445
-190.0,191,31.380279
-202.0,203,31.467276
-249.0,250,31.571705
-130.0,131,31.682558
-159.0,160,31.754339
-182.0,183,31.83714
-158.0,159,31.904843
-164.0,165,31.975283
-188.0,189,32.055682
-177.0,178,32.185743
-196.0,197,32.267224
-388.0,389,32.431256
-323.0,324,32.633149
-213.0,214,32.725635
-202.0,203,32.813365
-211.0,212,32.902229
-173.0,174,32.974881
-206.0,207,33.061313
-245.0,246,33.229177
-163.0,164,33.301359
-165.0,166,33.373672
-189.0,190,33.457918
-173.0,174,33.530612
-153.0,154,33.667639
-162.0,163,33.737432
-181.0,182,33.815536
-170.0,171,33.887512
-262.0,263,33.997689
-122.0,123,34.04845
-234.0,235,34.205434
-187.0,188,34.286261
-106.0,107,34.334932
-239.0,240,34.439058
-121.0,122,34.489697
-232.0,233,34.640175
-327.0,328,34.784197
-179.0,180,34.860929
-237.0,238,34.960099
-166.0,167,35.029069
-195.0,196,35.176469
-140.0,141,35.237623
-247.0,248,35.345012
-290.0,291,35.467697
-133.0,134,35.523402
-112.0,113,35.624553
-172.0,173,35.699842
-103.0,104,35.74498
-252.0,253,35.854268
-175.0,176,35.929385
-149.0,150,35.99323
-115.0,116,36.042242
-102.0,103,36.146655
-305.0,306,36.276964
-136.0,137,36.338344
-116.0,117,36.388537
-149.0,150,36.450736
-123.0,124,36.502369
-145.0,146,36.620091
-163.0,164,36.689168
-106.0,107,36.733556
-160.0,161,36.803221
-237.0,238,36.903141
-112.0,113,36.951236
-138.0,139,37.011682
-106.0,107,37.115212
-191.0,192,37.197223
-138.0,139,37.256474
-163.0,164,37.326518
-198.0,199,37.408708
-235.0,236,37.506505
-110.0,111,37.610024
-227.0,228,37.709581
-131.0,132,37.766582
-101.0,102,37.809894
-138.0,139,37.867874
-117.0,118,37.917329
-306.0,307,38.102117
-157.0,158,38.17037
-147.0,148,38.235727
-201.0,202,38.322206
-138.0,139,38.379926
-122.0,123,38.431244
-181.0,182,38.508014
-356.0,357,38.720424
-142.0,143,38.780945
-146.0,147,38.843266
-157.0,158,38.909574
-166.0,167,38.980736
-154.0,155,39.10457
-109.0,110,39.150295
-136.0,137,39.207222
-436.0,437,39.394062
-254.0,255,39.560549
-141.0,142,39.638654
-221.0,222,39.73484
-195.0,196,39.818331
-153.0,154,39.881932
-159.0,160,39.948127
-135.0,136,40.004403
-198.0,199,40.146787
-177.0,178,40.224068
-264.0,265,40.338318
-136.0,137,40.395508
-140.0,141,40.453744
-343.0,344,40.657996
-154.0,155,40.726611
-141.0,142,40.788691
-163.0,164,40.858343
-132.0,133,40.915235
-210.0,211,41.061598
-301.0,302,41.191774
-213.0,214,41.284284
-150.0,151,41.346824
-154.0,155,41.412128
-122.0,123,41.46374
-311.0,312,41.655002
-173.0,174,41.731588
-126.0,127,41.78589
-160.0,161,41.855547
-435.0,436,42.094057
-187.0,188,42.174611
-141.0,142,42.236035
-115.0,116,42.284612
-155.0,156,42.349753
-133.0,134,42.405555
-153.0,154,42.470673
-221.0,222,42.62769
-114.0,115,42.679199
-147.0,148,42.743801
-99.0,100,42.785802
-144.0,145,42.846227
-159.0,160,42.912533
-90.0,91,42.950404
-130.0,131,43.061345
-132.0,133,43.118539
-124.0,125,43.17345
-124.0,125,43.228887
-115.0,116,43.279423
-225.0,226,43.377928
-142.0,143,43.441528
-197.0,198,43.582132
-134.0,135,43.638411
-141.0,142,43.698933
-98.0,99,43.740228
-152.0,153,43.805721
-183.0,184,43.891233
-167.0,168,43.962158
-212.0,213,44.111539
-158.0,159,44.177887
-214.0,215,44.269089
-142.0,143,44.328688
-130.0,131,44.382809
-112.0,113,44.429689
-122.0,123,44.542087
-175.0,176,44.617116
-106.0,107,44.662649
-158.0,159,44.731407
-155.0,156,44.797255
-120.0,121,44.848763
-110.0,111,44.895426
-127.0,128,44.949291
-207.0,208,45.092301
-147.0,148,45.153646
-127.0,128,45.210371
-190.0,191,45.292673
-167.0,168,45.364211
-97.0,98,45.405437
-154.0,155,45.525555
-174.0,175,45.598634
-203.0,204,45.688138
-188.0,189,45.770263
-153.0,154,45.837462
-164.0,165,45.907415
-137.0,138,46.023941
-231.0,232,46.119737
-164.0,165,46.190212
-195.0,196,46.270845
-148.0,149,46.333117
-123.0,124,46.384625
-137.0,138,46.501516
-141.0,142,46.562532
-192.0,193,46.645895
-162.0,163,46.715068
-128.0,129,46.769065
-156.0,157,46.833855
-124.0,125,46.885508
-163.0,164,47.021803
-289.0,290,47.145662
-243.0,244,47.248847
-210.0,211,47.340478
-153.0,154,47.406782
-455.0,456,47.657736
-154.0,155,47.722677
-228.0,229,47.817537
-264.0,265,47.990247
-257.0,258,48.101652
-181.0,182,48.180825
-111.0,112,48.228069
-395.0,396,48.390443
-197.0,198,48.531013
-194.0,195,48.616505
-136.0,137,48.678084
-226.0,227,48.775117
-200.0,201,48.85946
-169.0,170,48.987479
-129.0,130,49.041603
-203.0,204,49.127736
-213.0,214,49.216712
-199.0,200,49.29947
-179.0,180,49.375843
-169.0,170,49.50431
-235.0,236,49.604282
-156.0,157,49.672508
-368.0,369,49.830341
-117.0,118,49.934828
-246.0,247,50.043388
-305.0,306,50.173207
-240.0,241,50.273411
-500.0,500,50.541021
-302.0,303,50.671001
-147.0,148,50.732531
-500.0,500,50.996671
-261.0,262,51.106976
-233.0,234,51.206565
-161.0,162,51.275176
-136.0,137,51.333427
-500.0,500,51.598352
-195.0,196,51.683338
-248.0,249,51.79336
-298.0,299,51.982394
-386.0,387,52.146402
-277.0,278,52.262369
-376.0,377,52.484983
-500.0,500,52.696773
-139.0,140,52.756972
-98.0,99,52.801227
-258.0,259,52.983669
-198.0,199,53.0695
-500.0,500,53.277577
-357.0,358,53.492713
-332.0,333,53.636853
-500.0,500,53.917544
-500.0,500,54.132238
-500.0,500,54.344259
-215.0,216,54.493042
-500.0,500,54.710116
-500.0,500,54.9822
-191.0,192,55.063143
-244.0,245,55.171509
-439.0,440,55.417717
-500.0,500,55.634179
-285.0,286,55.753159
-179.0,180,55.828092
-500.0,500,56.108088
-163.0,164,56.17585
-500.0,500,56.439204
-500.0,500,56.656099
-500.0,500,56.92143
-177.0,178,56.995745
-320.0,321,57.133617
-298.0,299,57.260864
-141.0,142,57.37753
-224.0,225,57.477894
-442.0,443,57.666824
-125.0,126,57.719179
-418.0,419,57.950363
-181.0,182,58.027702
-142.0,143,58.090498
-162.0,163,58.16139
-154.0,155,58.22758
-175.0,176,58.355625
-125.0,126,58.412372
-125.0,126,58.464611
-500.0,500,58.674331
-114.0,115,58.722889
-231.0,232,58.886576
-103.0,104,58.931066
-124.0,125,58.983822
-127.0,128,59.039769
-198.0,199,59.124025
-172.0,173,59.196472
-135.0,136,59.253604
-208.0,209,59.409204
-206.0,207,59.498213
-208.0,209,59.586834
-147.0,148,59.649222
-189.0,190,59.728527
-183.0,184,59.863131
-91.0,92,59.903391
-191.0,192,59.984131
-177.0,178,60.060324
-116.0,117,60.109364
-153.0,154,60.174198
-135.0,136,60.231242
-194.0,195,60.386054
-274.0,275,60.506226
-126.0,127,60.560185
-112.0,113,60.607386
-122.0,123,60.659282
-125.0,126,60.711614
-157.0,158,60.777029
-144.0,145,60.89814
-167.0,168,60.97122
-159.0,160,61.042963
-131.0,132,61.100228
-121.0,122,61.152483
-136.0,137,61.210372
-182.0,183,61.341695
-139.0,140,61.404718
-193.0,194,61.487673
-139.0,140,61.5484
-238.0,239,61.649787
-127.0,128,61.703814
-150.0,151,61.767654
-167.0,168,61.897672
-123.0,124,61.949401
