#{"t_start": 1581931820.216374, "env_id": "CartPole-v1"}
r,l,t
14.0,14,1.00133
11.0,11,1.005058
33.0,33,1.013812
18.0,18,1.01827
26.0,26,1.024085
18.0,18,1.028714
9.0,9,1.03074
24.0,24,1.036141
14.0,14,1.039427
11.0,11,1.041881
11.0,11,1.044515
18.0,18,1.049083
21.0,21,1.053762
29.0,29,1.060061
19.0,19,1.064212
40.0,40,1.072653
35.0,35,1.080913
18.0,18,1.084841
16.0,16,1.088285
14.0,14,1.091304
18.0,18,1.095158
14.0,14,1.098189
19.0,19,1.102263
11.0,11,1.104685
24.0,24,1.109801
14.0,14,1.112823
35.0,35,1.120952
11.0,11,1.123398
20.0,20,1.127738
13.0,13,1.13051
17.0,17,1.134184
19.0,19,1.138231
13.0,13,1.141015
20.0,20,1.145302
28.0,28,1.152292
12.0,12,1.155118
24.0,24,1.161831
17.0,17,1.16602
15.0,15,1.169887
28.0,28,1.176582
16.0,16,1.180161
21.0,21,1.18623
12.0,12,1.189429
21.0,21,1.193952
13.0,13,1.196753
28.0,28,1.203102
29.0,29,1.209896
28.0,28,1.216342
11.0,11,1.219412
19.0,19,1.224895
24.0,24,1.230907
27.0,27,1.237487
47.0,47,1.695939
39.0,39,1.706521
56.0,56,1.720881
14.0,14,1.724385
37.0,37,1.733097
22.0,22,1.73802
16.0,16,1.741981
19.0,19,1.746186
17.0,17,1.75074
26.0,26,1.757521
15.0,15,1.761529
15.0,15,1.765827
58.0,58,1.781159
36.0,36,1.790545
39.0,39,1.799934
46.0,46,1.811544
15.0,15,1.814978
45.0,45,1.825408
28.0,28,1.833208
21.0,21,1.839073
16.0,16,1.843392
67.0,67,1.861006
34.0,34,1.869437
17.0,17,1.874019
13.0,13,1.878178
22.0,22,1.883366
20.0,20,1.888359
13.0,13,1.892171
11.0,11,1.895426
25.0,25,1.901483
68.0,68,1.918402
50.0,50,1.930626
12.0,12,1.933479
21.0,21,1.938769
27.0,27,1.94582
35.0,35,2.01011
59.0,59,2.026751
25.0,25,2.033076
23.0,23,2.039169
26.0,26,2.046416
57.0,57,2.060718
37.0,37,2.069585
21.0,21,2.074744
80.0,80,2.095118
57.0,57,2.109697
45.0,45,2.12048
71.0,71,2.138077
106.0,106,2.168584
48.0,48,2.180905
40.0,40,2.190722
28.0,28,2.197239
20.0,20,2.202605
70.0,70,2.217824
22.0,22,2.22261
9.0,9,2.224568
26.0,26,2.230292
38.0,38,2.23815
21.0,21,2.242623
62.0,62,2.306756
92.0,92,2.332084
49.0,49,2.344733
28.0,28,2.351643
163.0,163,2.388503
64.0,64,2.40246
125.0,125,2.430279
54.0,54,2.441982
68.0,68,2.456714
28.0,28,2.463359
136.0,136,2.496051
81.0,81,2.514022
132.0,132,2.542309
85.0,85,2.614434
49.0,49,2.626098
251.0,251,2.683317
12.0,12,2.686159
70.0,70,2.702574
335.0,335,2.79122
96.0,96,2.816555
49.0,49,2.829661
14.0,14,2.833303
209.0,209,2.948395
234.0,234,3.010224
104.0,104,3.03812
137.0,137,3.077271
229.0,229,3.135818
171.0,171,3.178994
246.0,246,3.302536
241.0,241,3.364197
298.0,298,3.441081
227.0,227,3.497781
500.0,500,3.691389
273.0,273,3.762039
246.0,246,3.823087
500.0,500,4.007398
404.0,404,4.105485
452.0,452,4.253625
183.0,183,4.295066
500.0,500,4.416974
297.0,297,4.538071
128.0,128,4.56605
220.0,220,4.613162
500.0,500,4.769059
289.0,289,4.831566
407.0,407,4.917859
308.0,308,5.032619
333.0,333,5.106962
208.0,208,5.152745
237.0,237,5.205288
465.0,465,5.352826
181.0,181,5.391619
272.0,272,5.449718
216.0,216,5.495562
459.0,459,5.647945
373.0,373,5.733511
265.0,265,5.840058
500.0,500,5.947743
468.0,468,6.051149
500.0,500,6.205469
176.0,176,6.243899
500.0,500,6.419074
324.0,324,6.488326
185.0,185,6.52836
208.0,208,6.576113
90.0,90,6.595188
500.0,500,6.74974
269.0,269,6.810127
206.0,206,6.854651
260.0,260,6.969005
392.0,392,7.058421
483.0,483,7.16317
213.0,213,7.258326
251.0,251,7.312844
178.0,178,7.351513
167.0,167,7.387428
180.0,180,7.426632
268.0,268,7.533734
124.0,124,7.561372
190.0,190,7.60272
162.0,162,7.637406
500.0,500,7.792737
500.0,500,7.89662
500.0,500,8.048811
500.0,500,8.15524
389.0,389,8.239541
163.0,163,8.322134
118.0,118,8.347688
500.0,500,8.455167
369.0,369,8.585416
500.0,500,8.695394
159.0,159,8.731
478.0,478,8.888955
210.0,210,8.934598
500.0,500,9.051243
146.0,146,9.131863
500.0,500,9.239506
500.0,500,9.397907
500.0,500,9.515679
500.0,500,9.635783
48.0,48,9.701694
302.0,302,9.772431
112.0,112,9.798298
139.0,139,9.833775
137.0,137,9.865513
234.0,234,9.920227
137.0,137,10.00477
117.0,117,10.031101
268.0,268,10.097288
181.0,181,10.140387
100.0,100,10.167357
126.0,126,10.197604
122.0,122,10.227238
130.0,130,10.312216
140.0,140,10.346469
117.0,117,10.375311
30.0,30,10.385924
108.0,108,10.412275
170.0,170,10.454819
99.0,99,10.479478
106.0,106,10.509157
128.0,128,10.541474
117.0,117,10.620175
127.0,127,10.647946
129.0,129,10.679121
129.0,129,10.710369
112.0,112,10.73421
135.0,135,10.78673
141.0,141,10.823753
140.0,140,10.859834
143.0,143,10.948412
154.0,154,10.987975
106.0,106,11.015779
113.0,113,11.042192
137.0,137,11.076195
126.0,126,11.105972
132.0,132,11.135801
128.0,128,11.167543
138.0,138,11.252368
139.0,139,11.292137
136.0,136,11.322866
109.0,109,11.346832
119.0,119,11.377427
123.0,123,11.404728
131.0,131,11.432715
141.0,141,11.512208
103.0,103,11.536894
129.0,129,11.566493
120.0,120,11.593846
151.0,151,11.627474
113.0,113,11.652352
112.0,112,11.678124
222.0,222,11.731503
126.0,126,11.819022
108.0,108,11.84454
145.0,145,11.879082
152.0,152,11.916495
109.0,109,11.945055
137.0,137,11.976767
116.0,116,12.00664
129.0,129,12.038572
140.0,140,12.122273
125.0,125,12.15545
128.0,128,12.183906
137.0,137,12.213659
124.0,124,12.245486
136.0,136,12.279306
137.0,137,12.310792
135.0,135,12.342334
148.0,148,12.423363
121.0,121,12.452529
135.0,135,12.494008
154.0,154,12.532412
145.0,145,12.569833
156.0,156,12.611395
127.0,127,12.659233
136.0,136,12.783608
146.0,146,12.825685
130.0,130,12.85893
117.0,117,12.888965
126.0,126,12.921128
142.0,142,12.964395
134.0,134,13.011296
114.0,114,13.05331
116.0,116,13.203077
113.0,113,13.231604
154.0,154,13.266684
138.0,138,13.299629
135.0,135,13.331143
143.0,143,13.366812
135.0,135,13.399224
117.0,117,13.428455
132.0,132,13.5125
114.0,114,13.539814
126.0,126,13.568607
107.0,107,13.594466
111.0,111,13.621271
113.0,113,13.650028
139.0,139,13.6839
105.0,105,13.707974
129.0,129,13.789202
126.0,126,13.8197
126.0,126,13.852217
131.0,131,13.883207
126.0,126,13.912534
139.0,139,13.945737
110.0,110,13.970656
125.0,125,14.000439
136.0,136,14.141278
86.0,86,14.163756
105.0,105,14.191904
130.0,130,14.228435
118.0,118,14.262131
123.0,123,14.293616
145.0,145,14.342959
107.0,107,14.375266
124.0,124,14.411122
144.0,144,14.558449
102.0,102,14.589218
146.0,146,14.626511
139.0,139,14.66276
136.0,136,14.704126
108.0,108,14.729886
116.0,116,14.759242
116.0,116,14.788678
125.0,125,14.874855
104.0,104,14.899659
102.0,102,14.924499
93.0,93,14.946833
120.0,120,14.975433
119.0,119,15.004149
109.0,109,15.029901
147.0,147,15.064962
119.0,119,15.093058
102.0,102,15.173751
109.0,109,15.202209
97.0,97,15.225869
91.0,91,15.248044
119.0,119,15.277612
110.0,110,15.304082
109.0,109,15.330233
112.0,112,15.356683
112.0,112,15.382014
149.0,149,15.466777
139.0,139,15.502609
128.0,128,15.531192
142.0,142,15.565419
126.0,126,15.59462
132.0,132,15.629104
146.0,146,15.665973
146.0,146,15.704767
112.0,112,15.793706
96.0,96,15.819554
115.0,115,15.846485
136.0,136,15.87898
115.0,115,15.907703
130.0,130,15.94673
