# {"t_start": 1587338112.7521448, "env_id": "HalfCheetah-v2"} 
r,l,t
-321.965887,1000,1.609038
-391.696565,1000,2.769804
-321.248411,1000,3.978639
-402.139549,1000,5.152899
-351.490127,1000,6.484729
-329.562718,1000,7.780214
-422.314614,1000,9.015841
-446.765683,1000,10.217837
-399.248292,1000,11.450642
-414.570728,1000,12.689632
-383.172782,1000,13.963836
-511.743896,1000,15.248679
-368.2443,1000,16.5612
-473.036381,1000,17.767684
-457.397843,1000,18.99916
-523.607911,1000,20.18212
-524.814607,1000,21.340621
-417.920906,1000,22.513719
-353.042572,1000,23.681854
-413.134621,1000,24.841704
-428.543919,1000,26.001888
-348.177125,1000,27.273004
-333.236966,1000,28.605124
-274.056527,1000,29.854363
-294.97676,1000,31.133896
-244.822388,1000,32.388934
-193.954587,1000,33.578392
-256.061807,1000,34.807327
-217.549381,1000,36.033792
-272.90105,1000,37.246324
-169.914619,1000,38.445219
-230.573527,1000,39.645052
-133.927956,1000,40.864326
-88.411643,1000,42.085249
22.82486,1000,43.273612
-191.069685,1000,44.506485
-226.004832,1000,45.72085
-334.620838,1000,46.946966
-28.263719,1000,48.214928
-188.588592,1000,49.484057
-157.874484,1000,50.813268
-238.852486,1000,52.025839
-107.881317,1000,53.212578
-15.720513,1000,54.441922
-15.166503,1000,55.599273
-145.892733,1000,56.815355
-95.351226,1000,58.004606
-127.244489,1000,59.228394
-146.99272,1000,60.423019
-147.689637,1000,61.593582
-167.842861,1000,62.806353
-95.82615,1000,64.032338
-129.518689,1000,65.267434
-7.06039,1000,66.487349
-75.863926,1000,67.712049
13.170399,1000,68.98637
40.133779,1000,70.222126
24.503468,1000,71.464817
-139.225971,1000,72.650624
-40.014927,1000,73.875151
-83.659684,1000,75.08528
-71.828571,1000,76.297969
-101.953465,1000,77.529637
7.650116,1000,78.756901
-140.988332,1000,79.933192
-315.276164,1000,81.118063
-98.122065,1000,82.319594
-69.54346,1000,83.576973
-191.934818,1000,84.809917
95.984493,1000,86.051067
139.824059,1000,87.271228
-100.140459,1000,88.486369
-75.836813,1000,89.708172
26.810182,1000,90.945999
14.870064,1000,92.168047
-72.920855,1000,93.398973
-196.984652,1000,94.628296
10.042551,1000,95.835605
-15.541865,1000,97.068154
-51.669966,1000,98.313317
3.180432,1000,99.554378
-197.972341,1000,100.775191
-143.267596,1000,101.99034
-62.430178,1000,103.210928
110.410251,1000,104.426543
49.227591,1000,105.654459
69.235729,1000,106.887688
74.91437,1000,108.107011
61.007274,1000,109.336919
57.664724,1000,110.600116
