#{"t_start": 1587184596.9501078, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-70.76014,124,0.874824
-414.669529,124,0.973147
-288.679164,93,1.053435
-396.800887,101,1.133639
-372.87763,153,1.278148
-303.75897,188,1.43929
-334.02893,104,1.520454
-396.516409,100,1.598709
-103.153248,132,1.718892
-71.208441,100,1.801772
-252.876474,104,1.886371
-251.795821,100,1.964063
-449.249734,85,2.034618
-80.188195,88,2.124408
-145.268983,132,2.25196
-362.933415,136,2.374852
-448.460074,76,2.454592
-70.591239,68,2.5244
-330.410043,100,2.623465
-345.614197,104,2.710879
-85.959823,100,2.790075
-450.617583,103,2.883771
-443.144364,100,2.990804
-169.909577,112,3.106096
-121.937016,122,3.224486
-309.986,114,3.341077
-259.260369,122,3.471581
-350.415928,100,3.575815
-425.732849,121,3.684835
-482.317539,85,3.751628
-78.897228,88,3.826532
-99.58152,79,3.918022
-350.326564,107,4.023543
-219.190339,169,4.178656
-576.635409,161,4.345383
-460.049663,171,4.525156
-552.768962,130,4.644774
-264.112834,113,4.737017
-450.288953,205,4.923799
-555.867239,193,5.103737
-233.659244,155,5.270435
-262.01837,129,5.387321
-123.066802,132,5.502341
-65.712279,93,5.578426
-460.277237,244,5.831099
-353.704241,144,5.989434
-419.813285,136,6.128162
-518.279903,86,6.216808
-433.693368,256,6.523867
-291.088634,79,6.607835
-363.104762,89,6.697759
-401.816463,72,6.77136
-87.587246,126,6.908296
-310.012429,172,7.112403
-298.67065,148,7.276673
-596.301323,232,7.5724
-264.648852,154,7.750347
-377.358393,168,7.939568
-626.621581,208,8.179373
-314.516783,133,8.304176
-440.15759,130,8.42611
-206.266017,109,8.540079
-321.850291,110,8.656144
3.687969,108,8.767174
-560.865197,91,8.861731
-290.266346,119,8.986078
-335.252812,189,9.202179
-274.407247,120,9.339291
-430.258671,147,9.503118
-166.548364,122,9.638123
-262.125942,141,9.800354
-111.706882,113,9.915405
-22.51728,148,10.065774
-317.157997,153,10.220473
-41.586246,234,10.517718
-464.943294,248,10.831392
-551.477827,151,11.007026
-196.535906,242,11.309455
-647.213903,129,11.465201
-241.34881,267,11.785695
-241.740108,183,11.97577
-344.249822,168,12.144153
-414.249814,92,12.232629
-418.758542,88,12.308799
-461.693672,83,12.378536
-430.329563,89,12.455977
-449.323165,86,12.53266
-608.713611,78,12.597874
-533.2629,82,12.664298
-472.15619,76,12.728593
-571.64047,87,12.800577
-319.647174,68,12.856554
-417.859778,88,12.938515
-398.509364,120,13.050477
