# {"t_start": 1587357340.0416782, "env_id": "InvertedPendulum-v2"} 
r,l,t
7.0,7,0.65618
8.0,8,0.672091
7.0,7,0.68802
3.0,3,0.694215
5.0,5,0.704784
10.0,10,0.724962
6.0,6,0.739043
4.0,4,0.747686
5.0,5,0.759026
6.0,6,0.774764
7.0,7,0.790166
18.0,18,0.826939
6.0,6,0.840202
11.0,11,0.863092
18.0,18,0.901138
8.0,8,0.917787
5.0,5,0.928396
12.0,12,0.954047
4.0,4,0.961449
6.0,6,0.975018
4.0,4,0.982757
4.0,4,0.991422
9.0,9,1.010817
6.0,6,1.023313
8.0,8,1.040296
5.0,5,1.050845
10.0,10,1.071561
5.0,5,1.082561
6.0,6,1.094564
5.0,5,1.105062
8.0,8,1.121568
6.0,6,1.134275
10.0,10,1.154526
8.0,8,1.170423
6.0,6,1.184311
8.0,8,1.199684
11.0,11,1.220589
8.0,8,1.237338
5.0,5,1.2476
4.0,4,1.256639
7.0,7,1.270823
7.0,7,1.28601
6.0,6,1.298032
6.0,6,1.310488
9.0,9,1.329957
14.0,14,1.359487
3.0,3,1.365001
6.0,6,1.377616
4.0,4,1.386277
9.0,9,1.404954
6.0,6,1.417092
8.0,8,1.434132
4.0,4,1.442836
13.0,13,1.469183
3.0,3,1.476798
11.0,11,1.499314
6.0,6,1.511363
3.0,3,1.518391
6.0,6,1.53077
6.0,6,1.543138
6.0,6,1.555887
17.0,17,1.590572
10.0,10,1.611162
4.0,4,1.620138
16.0,16,1.652913
4.0,4,1.661269
14.0,14,1.689056
9.0,9,1.708389
9.0,9,1.726895
4.0,4,1.735754
10.0,10,1.756433
5.0,5,1.766565
4.0,4,1.775074
11.0,11,1.797424
6.0,6,1.809878
12.0,12,1.834127
4.0,4,1.843484
11.0,11,1.865674
5.0,5,1.87593
7.0,7,1.890761
6.0,6,1.903382
4.0,4,1.912003
5.0,5,1.922299
7.0,7,1.936528
11.0,11,1.958896
6.0,6,1.972369
5.0,5,1.982641
7.0,7,1.996372
8.0,8,2.013529
7.0,7,2.027292
6.0,6,2.03973
5.0,5,2.050077
4.0,4,2.058768
6.0,6,2.070778
6.0,6,2.082791
8.0,8,2.099007
7.0,7,2.112331
8.0,8,2.128392
7.0,7,2.141363
8.0,8,2.157683
4.0,4,2.166167
7.0,7,2.179549
4.0,4,2.187831
3.0,3,2.194759
9.0,9,2.211605
6.0,6,2.225002
6.0,6,2.237198
11.0,11,2.259026
5.0,5,2.269317
5.0,5,2.279465
4.0,4,2.287897
6.0,6,2.299683
18.0,18,2.335482
8.0,8,2.351558
7.0,7,2.36628
5.0,5,2.376245
7.0,7,2.389581
12.0,12,2.412723
5.0,5,2.422666
5.0,5,2.432768
3.0,3,2.439489
14.0,14,2.466339
5.0,5,2.476322
8.0,8,2.491051
9.0,9,2.508698
3.0,3,2.51527
10.0,10,2.534568
5.0,5,2.545617
10.0,10,2.566174
25.0,25,2.616407
3.0,3,2.622336
10.0,10,2.643045
14.0,14,2.671649
28.0,28,2.731715
4.0,4,2.740251
5.0,5,2.750561
16.0,16,2.783189
5.0,5,2.79376
7.0,7,2.808121
6.0,6,2.821307
5.0,5,2.831807
7.0,7,2.848133
6.0,6,2.860455
5.0,5,2.87134
9.0,9,2.891824
7.0,7,2.906832
4.0,4,2.915773
5.0,5,2.926482
5.0,5,2.93791
4.0,4,2.947195
4.0,4,2.956312
5.0,5,2.967241
7.0,7,2.98168
8.0,8,2.999361
8.0,8,3.015337
8.0,8,3.032402
12.0,12,3.056844
7.0,7,3.071864
7.0,7,3.086032
7.0,7,3.100073
8.0,8,3.116898
5.0,5,3.127527
4.0,4,3.136725
7.0,7,3.151317
24.0,24,3.200599
6.0,6,3.213077
6.0,6,3.225737
5.0,5,3.237216
7.0,7,3.25489
4.0,4,3.265543
5.0,5,3.276626
4.0,4,3.284481
8.0,8,3.301334
8.0,8,3.317935
5.0,5,3.328084
22.0,22,3.371405
4.0,4,3.379877
15.0,15,3.408972
3.0,3,3.414424
5.0,5,3.424296
12.0,12,3.448258
5.0,5,3.45834
5.0,5,3.467954
9.0,9,3.485063
8.0,8,3.499601
14.0,14,3.527365
4.0,4,3.536094
4.0,4,3.54456
13.0,13,3.569599
11.0,11,3.591251
8.0,8,3.607358
5.0,5,3.617685
5.0,5,3.627756
9.0,9,3.646373
5.0,5,3.656308
6.0,6,3.667755
4.0,4,3.676096
9.0,9,3.693689
4.0,4,3.700639
5.0,5,3.71057
7.0,7,3.725347
3.0,3,3.730896
13.0,13,3.757096
9.0,9,3.774564
17.0,17,3.808883
3.0,3,3.815688
4.0,4,3.823835
10.0,10,3.843396
10.0,10,3.86316
6.0,6,3.874679
10.0,10,3.894185
9.0,9,3.911818
13.0,13,3.936599
4.0,4,3.944697
7.0,7,3.957655
11.0,11,3.979745
9.0,9,3.996461
7.0,7,4.010648
5.0,5,4.02027
18.0,18,4.054811
12.0,12,4.078978
6.0,6,4.090573
10.0,10,4.109844
5.0,5,4.119704
4.0,4,4.127724
4.0,4,4.136329
8.0,8,4.151691
6.0,6,4.163595
7.0,7,4.178444
5.0,5,4.188378
31.0,31,4.247876
7.0,7,4.261087
10.0,10,4.280266
4.0,4,4.288306
9.0,9,4.30598
3.0,3,4.312212
15.0,15,4.340895
5.0,5,4.350277
14.0,14,4.376906
18.0,18,4.412544
4.0,4,4.420738
11.0,11,4.44178
18.0,18,4.477414
5.0,5,4.487682
5.0,5,4.497547
12.0,12,4.520871
4.0,4,4.529421
3.0,3,4.534956
8.0,8,4.551355
4.0,4,4.559924
9.0,9,4.578181
7.0,7,4.591703
11.0,11,4.612502
6.0,6,4.624063
11.0,11,4.647125
7.0,7,4.66076
8.0,8,4.677125
4.0,4,4.684604
6.0,6,4.697861
4.0,4,4.705303
6.0,6,4.718394
9.0,9,4.736994
9.0,9,4.755228
6.0,6,4.768055
9.0,9,4.787205
10.0,10,4.806883
6.0,6,4.818789
14.0,14,4.846507
4.0,4,4.855177
5.0,5,4.865315
5.0,5,4.875269
4.0,4,4.883687
13.0,13,4.909012
11.0,11,4.931827
4.0,4,4.939142
7.0,7,4.954324
6.0,6,4.966273
6.0,6,4.978327
3.0,3,4.985232
5.0,5,4.995706
6.0,6,5.007533
8.0,8,5.023902
8.0,8,5.0392
7.0,7,5.054283
6.0,6,5.066534
6.0,6,5.078393
7.0,7,5.092004
8.0,8,5.108667
6.0,6,5.120427
4.0,4,5.129102
11.0,11,5.151251
4.0,4,5.159959
17.0,17,5.193334
5.0,5,5.203879
4.0,4,5.212249
4.0,4,5.220722
5.0,5,5.231116
7.0,7,5.24477
