# {"t_start": 1587191024.62587, "env_id": "Reacher-v2"} 
r,l,t
-68.336448,50,0.712823
-55.191715,50,0.812062
-53.267986,50,0.912472
-55.837893,50,1.012066
-61.280908,50,1.114087
-63.719457,50,1.21321
-58.701559,50,1.312194
-67.798595,50,1.411828
-56.806573,50,1.515304
-58.880056,50,1.618596
-58.189183,50,1.722289
-67.144371,50,1.824591
-67.210807,50,1.925143
-60.942707,50,2.028239
-70.232374,50,2.129878
-58.112962,50,2.231968
-64.017636,50,2.335003
-71.098412,50,2.437186
-58.243886,50,2.53873
-62.313155,50,2.641501
-62.844189,50,2.745188
-56.837223,50,2.847031
-57.938581,50,2.948931
-53.847014,50,3.04845
-52.722638,50,3.148959
-57.425272,50,3.249023
-53.396182,50,3.349649
-57.532624,50,3.44925
-62.307529,50,3.548653
-57.962772,50,3.648301
-59.439196,50,3.74866
-61.295112,50,3.848887
-63.783613,50,3.94827
-61.214158,50,4.048723
-58.441105,50,4.1476
-62.397215,50,4.246986
-65.059687,50,4.346059
-52.809687,50,4.445165
-57.221664,50,4.545483
-62.529133,50,4.645511
-54.571337,50,4.745419
-72.0204,50,4.84545
-63.515923,50,4.945163
-54.872871,50,5.04467
-55.29648,50,5.143477
-58.04918,50,5.243908
-61.623302,50,5.343697
-58.991243,50,5.442734
-58.345201,50,5.542514
-65.335405,50,5.642574
-67.900685,50,5.742548
-67.958466,50,5.840706
-52.621069,50,5.934674
-61.451162,50,6.02925
-64.725989,50,6.125832
-55.434669,50,6.222213
-64.74468,50,6.327482
-66.120179,50,6.429323
-53.373655,50,6.528337
-57.523846,50,6.625099
-64.027619,50,6.723507
-56.329428,50,6.819883
-55.873433,50,6.917285
-61.142815,50,7.01398
-57.090062,50,7.111104
-61.427185,50,7.20746
-60.976818,50,7.308109
-58.870187,50,7.408074
-52.032813,50,7.50727
-50.007875,50,7.607085
-51.913238,50,7.708045
-63.307389,50,7.808044
-54.978811,50,7.908221
-56.985819,50,8.007889
-61.252028,50,8.108598
-62.568897,50,8.207689
-65.076764,50,8.307576
-57.214642,50,8.40722
-65.413089,50,8.50858
-62.283209,50,8.60884
-58.418558,50,8.709183
-62.167126,50,8.808236
-58.481918,50,8.907286
-57.957122,50,9.006019
-57.700112,50,9.105435
-68.152462,50,9.205024
-56.956341,50,9.305451
-63.487543,50,9.404523
-56.733104,50,9.502901
-66.467082,50,9.60254
-63.706553,50,9.703437
-65.299962,50,9.802783
-63.794657,50,9.902943
-68.677009,50,10.002214
-58.663231,50,10.101371
-60.47502,50,10.200029
-70.147397,50,10.29915
-59.395666,50,10.401332
-58.183112,50,10.499887
-58.453807,50,10.600988
-66.366927,50,10.701192
-67.960623,50,10.801197
-62.739703,50,10.899779
-55.849364,50,11.001133
-60.236022,50,11.104556
-70.020377,50,11.207027
-60.373668,50,11.309197
-58.767775,50,11.411354
-58.394833,50,11.512991
-63.025685,50,11.615381
-67.351091,50,11.717197
-64.113176,50,11.819514
-55.584751,50,11.922791
-64.377952,50,12.023634
-68.519325,50,12.126193
-65.805916,50,12.228455
-63.671422,50,12.331219
-56.255082,50,12.433584
-65.066922,50,12.534885
-56.553717,50,12.634897
-67.379476,50,12.735806
-60.952624,50,12.83694
-61.947948,50,12.936353
-65.261825,50,13.035699
-69.047014,50,13.13635
-57.045507,50,13.235593
-63.593729,50,13.335304
-66.048785,50,13.434874
-65.652624,50,13.534087
-64.625507,50,13.634489
-61.333359,50,13.735171
-62.476987,50,13.833444
-60.409494,50,13.932366
-58.612274,50,14.032221
-61.388766,50,14.132006
-58.676664,50,14.231671
-63.686043,50,14.331398
-66.691863,50,14.42989
-60.825381,50,14.530089
-63.513862,50,14.630139
-58.659925,50,14.730596
-56.799117,50,14.831043
-56.21921,50,14.929502
-55.116669,50,15.027337
-65.995222,50,15.127193
-70.262679,50,15.225893
-61.651015,50,15.326033
-66.272104,50,15.425857
-67.395983,50,15.525157
-74.65207,50,15.624675
-53.505677,50,15.725552
-64.334367,50,15.825321
-62.751976,50,15.924241
-60.613694,50,16.022613
-66.273162,50,16.123475
-76.918985,50,16.222514
-66.687941,50,16.320733
-51.035899,50,16.417768
-57.906917,50,16.515088
-62.336908,50,16.61325
-57.387164,50,16.71135
-56.954649,50,16.808391
-69.030208,50,16.90552
-65.442658,50,17.002841
-67.459656,50,17.099657
-68.736091,50,17.197523
-56.266385,50,17.294524
-63.102637,50,17.393122
-56.971414,50,17.488838
-65.685812,50,17.586684
-72.703499,50,17.68629
-51.661265,50,17.784495
-61.272369,50,17.882784
-66.735471,50,17.982558
-59.579512,50,18.081992
-63.022708,50,18.181909
-65.078853,50,18.281295
-64.129945,50,18.381142
-62.585609,50,18.480934
-59.349585,50,18.58106
-59.084175,50,18.682608
-51.215026,50,18.782598
-68.600253,50,18.882261
-72.05672,50,18.981547
-69.139148,50,19.082896
-81.453422,50,19.183163
-57.08773,50,19.282671
-67.272696,50,19.383465
-76.625191,50,19.481721
-66.853204,50,19.580925
-62.035944,50,19.682952
-69.786405,50,19.782363
-73.051124,50,19.881662
-68.004915,50,19.981332
-70.29136,50,20.079328
-76.788881,50,20.180473
-73.623575,50,20.279987
-63.988219,50,20.379224
-69.754102,50,20.479177
-68.171688,50,20.578233
-70.568347,50,20.679917
-78.155103,50,20.778414
-78.556827,50,20.878322
-71.962474,50,20.97931
-60.646297,50,21.081599
-82.634772,50,21.183822
-66.714114,50,21.290089
-76.156875,50,21.393439
-66.109035,50,21.495913
-61.367722,50,21.598486
-67.307535,50,21.7051
-55.519927,50,21.806875
-78.47953,50,21.909922
-62.858334,50,22.011858
-69.25225,50,22.114386
-65.56441,50,22.217382
-59.862589,50,22.3201
-62.756715,50,22.423765
-56.558178,50,22.524077
-58.552444,50,22.625418
-59.277419,50,22.725014
-71.581114,50,22.82492
-57.150491,50,22.923096
-68.103432,50,23.022315
-65.016426,50,23.122805
-75.829814,50,23.222888
-72.892309,50,23.322224
-73.63151,50,23.421539
-79.077644,50,23.522103
-74.022307,50,23.621809
-70.486682,50,23.722433
-71.848225,50,23.822071
-74.015982,50,23.921159
-73.160599,50,24.020285
-76.377201,50,24.120528
-81.557074,50,24.220605
-74.254872,50,24.320627
-75.998573,50,24.419251
-73.350718,50,24.518226
-65.364564,50,24.618936
-71.174886,50,24.720478
-75.301375,50,24.819408
-79.164132,50,24.917204
-74.306963,50,25.018371
-78.580249,50,25.118982
-76.268872,50,25.218432
-84.169739,50,25.316599
-79.457235,50,25.416104
-78.506027,50,25.514292
-80.100329,50,25.614039
-79.273998,50,25.713908
-82.085722,50,25.814357
-82.440461,50,25.912441
-87.59304,50,26.01195
-83.733822,50,26.110918
-77.98922,50,26.211175
