# {"t_start": 1587259619.022878, "env_id": "Ant-v2"} 
r,l,t
-34.418138,38,0.873056
-23.562969,28,0.922962
-40.268275,28,0.972171
-11.949671,16,1.002707
-65.678886,58,1.109934
-41.930626,24,1.15202
-34.045189,25,1.196978
-31.003426,41,1.273272
-132.857425,110,1.466327
-30.547424,35,1.531438
-94.956968,113,1.729023
-91.968804,63,1.841896
-75.169313,73,1.967509
-257.392775,240,2.403062
-36.11088,30,2.455981
-109.584035,138,2.700507
-49.855719,54,2.801053
-280.054743,192,3.158125
5.676819,30,3.215825
-23.731606,14,3.241535
-48.804495,35,3.307478
-42.263764,38,3.378347
-14.118915,14,3.404594
-15.708695,12,3.427125
-21.728632,46,3.518008
-111.249458,67,3.647276
-80.322138,57,3.755641
-24.686774,11,3.776394
-8.042446,14,3.802046
-13.215599,75,3.931677
-14.958644,11,3.94924
-11.616616,9,3.964557
-101.066921,93,4.117683
-67.466941,47,4.196705
-54.608852,48,4.278132
-58.331106,30,4.326985
-100.967319,52,4.413928
-77.943634,98,4.987816
-52.901863,64,5.076823
-57.178619,29,5.116549
-1091.241769,1000,6.693045
-33.635306,28,6.743996
-48.624701,58,6.846033
-5.016912,58,6.948013
-13.442722,12,6.969053
-40.297637,28,7.020511
-68.687838,66,7.140477
-13.41603,14,7.164574
-39.397403,25,7.208208
-0.914393,21,7.243948
-19.454944,12,7.266633
-119.992815,79,7.410122
-27.148785,24,7.454727
-60.71865,102,7.642588
10.228449,23,7.687319
-33.38742,26,7.732479
-10.120247,14,7.755728
-124.349491,162,8.036136
-3.738236,28,8.084646
-20.919233,15,8.110129
-56.496366,55,8.204298
-19.392132,19,8.237168
-83.176917,64,8.802054
-289.46921,184,9.12912
-130.648746,157,9.399136
-1054.053269,1000,11.231713
-35.151889,17,11.261103
-148.023016,65,11.380888
-23.260128,17,11.412905
-12.837323,18,11.44765
-70.785291,69,11.577903
-10.680269,20,11.61758
-23.715168,16,11.646083
-37.323772,17,11.676811
-23.674921,33,11.735903
-122.566831,105,11.924737
-18.282326,26,11.972836
-7.458631,37,12.04232
-14.649159,15,12.069753
-18.817312,31,12.126715
-72.083663,71,12.261611
-87.134537,102,12.452988
-1075.308536,1000,14.364831
-117.188289,60,14.443232
-79.943412,68,14.532891
-46.367813,31,14.574914
-45.178416,43,14.650734
-57.325865,42,14.725024
-132.583718,125,14.969066
-9.3358,13,14.994608
-2.037686,20,15.032474
-7.154376,29,15.08597
-42.694521,34,15.14968
-20.630072,22,15.190757
-12.540416,47,15.276247
-106.567673,75,15.413347
-15.215801,18,15.445912
-230.771793,161,15.738098
-199.398164,131,15.967683
-17.419207,26,16.012642
-55.229629,36,16.077652
-19.789205,57,16.180196
-46.738081,73,16.786848
-47.101598,26,16.840556
-63.809364,90,17.043493
-40.571013,36,17.124511
5.032861,89,17.308427
-26.172196,20,17.348851
-93.685912,66,17.481413
-57.685085,54,17.586671
-22.170628,32,17.655137
-27.992465,30,17.715071
6.095282,57,17.832063
-11.360361,29,17.892135
-24.712458,16,17.925579
-137.064687,84,18.097229
-1026.0077,1000,20.113523
-37.830831,52,20.223311
-1059.751954,1000,22.739024
-4.178411,20,22.782109
-30.05574,34,22.857464
-42.227593,18,22.89717
-17.02605,29,22.961294
-21.034471,13,22.98985
-28.738978,19,23.033597
-100.717137,67,23.183912
-23.642604,30,23.252399
-24.199225,17,23.291272
-30.405689,21,23.339559
-12.017049,10,23.362091
-72.725491,91,23.569859
-80.397008,44,23.669197
-56.825586,62,23.808206
-79.210389,66,23.958576
-24.590215,48,24.066795
-1052.235405,1000,27.321439
-67.340647,56,27.465681
-119.923116,90,27.687106
-11.440486,15,27.723975
-3.385285,73,27.907845
-57.576228,73,28.093838
-43.447758,34,28.177403
-65.607118,53,28.313222
16.276747,23,28.372871
-66.814123,68,28.543562
-23.52854,18,28.595602
-60.605546,41,28.723728
-32.092977,37,28.834771
-72.358046,73,29.037759
-27.133388,39,29.158368
-32.403155,73,29.375183
-70.038659,50,29.519562
-66.197489,69,29.713558
-62.059659,58,29.865009
-12.15013,24,29.925169
-1004.059338,1000,33.179745
-33.740184,25,33.243772
-47.06177,75,33.438784
-40.31349,49,33.587025
-101.142532,101,33.870293
-9.753641,19,33.927056
-55.919484,47,34.094972
-57.238121,48,34.225206
-92.432204,90,34.476736
-60.741652,57,34.635798
-33.901663,28,34.711868
-58.351714,34,34.806033
-39.909471,42,34.918304
-93.916228,108,35.221063
-14.51538,18,35.271048
-132.685109,158,35.727495
-76.364944,95,36.005214
-9.34309,25,36.081064
-4.276446,26,36.155505
-111.002132,124,36.503072
-1097.778994,1000,40.130044
-18.518054,39,40.238394
-63.530719,45,40.365693
-18.283257,22,40.424914
-27.313604,16,40.468137
-16.297353,16,40.515247
-1064.84943,1000,43.504036
-19.59889,20,43.564968
-1003.978823,1000,47.284629
-41.226084,49,47.430367
-1058.12867,1000,50.330036
4.273859,21,50.389314
-956.68875,1000,53.877996
-17.328612,30,53.96624
-41.330497,59,54.121729
-28.039979,29,54.201894
-18.614632,29,54.279129
-4.434974,15,54.322373
-978.128707,1000,57.265094
-15.220198,16,57.308335
-35.152061,37,57.416098
-36.721185,26,57.486169
-29.658396,43,57.60464
-29.013671,44,57.739626
-1012.325539,1000,61.172291
-5.063169,24,61.230152
-40.306857,115,61.495961
-92.225167,116,61.766872
-16.611049,21,61.815531
-22.605075,22,61.866972
-81.040803,75,62.041636
-32.721119,19,62.084778
-17.374752,22,62.134651
-11.811967,44,62.234304
-93.639665,67,62.385743
-1001.50949,1000,65.335742
-984.17502,1000,67.716623
-24.941606,23,67.771879
-341.707138,285,68.438183
-6.36834,13,68.470188
-30.632682,116,68.751139
-27.105836,27,68.815159
-2.429845,14,68.849006
-59.657477,74,69.026194
-25.087578,29,69.094838
-36.720226,24,69.151127
-13.791604,83,69.347456
-39.24777,45,69.449169
-32.563152,45,69.551196
9.454575,25,69.609497
-29.679991,68,69.766357
-891.207478,1000,72.680194
-47.253513,29,72.745854
-27.959855,18,72.787186
-95.892518,91,72.99307
-9.529211,10,73.016724
-46.354312,57,73.148828
-62.134139,83,73.34109
-22.513967,14,73.372691
-20.07743,19,73.415517
-33.179071,46,73.522165
-3.814629,33,73.59804
-75.907548,126,73.884587
-889.768555,1000,76.430417
-24.744844,32,76.49497
-28.24253,15,76.523297
-12.083598,13,76.548043
-4.770466,17,76.582092
-111.637692,124,76.82101
-84.695503,87,76.987076
-12.914511,14,77.016831
-134.046272,109,77.217494
0.243913,31,77.27742
-89.167123,115,77.492331
-48.758798,46,77.581061
-16.484182,15,77.608709
-56.143511,39,77.681348
-13.71929,22,77.723689
-77.386321,103,77.924305
-27.747179,14,77.950676
-26.731111,23,77.996321
-89.918536,72,78.12803
-44.657319,30,78.187783
-21.107242,13,78.211813
-241.011331,183,78.557909
-54.404038,93,78.738112
-70.544606,109,78.938243
-33.064445,38,79.011479
-25.331506,47,79.102971
-18.041285,42,79.182262
-43.313938,44,79.265737
-8.599708,38,79.338038
-82.083983,68,79.92252
-40.89607,57,80.032446
-122.64084,77,80.184189
-916.945379,1000,82.284932
-76.697402,60,82.523177
-45.395327,46,82.661965
-74.741555,69,82.891735
-24.765052,46,83.045097
-2.989128,29,83.133908
-21.290767,13,83.172332
-61.989381,61,83.345258
-51.483672,55,83.509739
-13.522578,19,83.568946
-67.287676,64,83.76066
-47.975689,43,83.894868
-81.365651,50,84.054428
-19.865382,26,84.123016
-50.208017,36,84.219714
-16.140003,30,84.296618
-0.45369,23,84.356646
-36.118997,66,84.541881
-92.070404,87,84.774227
-21.384512,47,84.898716
-57.258217,65,85.702746
-7.425124,22,85.759385
-25.383844,22,85.812686
-21.48881,24,85.872861
-44.104737,53,86.010451
-11.212374,12,86.039624
-19.14006,65,86.202805
-101.749801,72,86.39224
-21.270825,19,86.441864
-25.055053,62,86.60405
-84.155579,71,86.784578
-19.871664,27,86.850642
-84.77728,81,87.04545
-1.035212,23,87.101323
-26.34455,16,87.142491
-24.061142,43,87.25299
-26.926863,38,87.345072
-309.497313,296,88.068067
-58.557516,59,88.208779
-127.428978,110,88.469661
-38.270341,55,88.597615
-49.436791,43,88.698539
-34.644841,27,88.761492
-50.984014,39,88.852903
-22.260832,43,88.953477
-23.05018,37,89.038169
-4.72035,13,89.067337
-3.922231,13,89.09718
-31.81532,60,89.232227
-52.322577,38,89.31952
-15.694146,14,89.352426
-49.648026,43,89.450552
-885.403634,868,92.045781
-24.870478,43,92.142861
-139.54288,117,92.408868
-36.406339,26,92.468319
3.527357,91,92.674201
-7.054773,17,92.713407
-48.927429,40,92.806228
-86.006299,76,92.982818
-8.019298,11,93.008794
-100.625495,57,93.137893
-52.802451,41,93.232454
-79.369198,69,93.388035
-21.671572,15,93.422437
-19.673671,23,93.4749
-78.918176,106,93.713931
-29.20389,73,93.884578
-9.629388,12,93.913301
-33.641822,29,93.982414
-41.565831,52,94.104799
-201.973009,234,94.648843
-84.565927,111,94.911612
-42.943251,52,95.031943
-78.730895,90,95.243423
-38.827026,33,95.320257
-4.971703,16,95.357848
-17.373117,37,95.444485
-18.822137,26,95.50523
-12.883733,22,95.557214
-37.623419,19,95.602173
-13.920143,26,95.663263
-6.513732,12,95.691723
-44.524953,64,95.841821
-978.830713,1000,98.754455
-164.385921,177,99.155162
-26.954794,61,99.293683
-79.370025,135,99.6008
-56.137992,96,99.818827
-911.120078,1000,102.767469
-7.989944,18,102.810102
-78.606425,113,103.074711
-81.603194,29,103.14266
-9.369841,16,103.180893
-54.401748,62,103.325932
-102.624228,72,103.491174
-14.020758,25,103.548793
-33.476672,82,103.735524
-4.148934,23,103.787437
-908.569263,1000,106.084947
-36.029536,53,106.205625
-63.927537,35,106.284481
-34.551052,49,106.394003
-14.352821,34,106.47033
-30.423455,26,106.529367
-50.588951,88,107.331125
-39.907242,29,107.397724
-40.914285,69,107.556077
-4.167624,24,107.61162
-73.393437,97,107.82959
-99.766381,99,108.055787
-11.375394,49,108.165677
-28.723527,49,108.278137
-5.388539,20,108.324808
