# {"t_start": 1587351409.678215, "env_id": "HalfCheetah-v2"} 
r,l,t
-351.274272,1000,1.701592
-217.558813,1000,2.765754
-357.858059,1000,4.126741
-271.199128,1000,5.155589
-409.91902,1000,6.461027
-416.858345,1000,7.503071
-334.89854,1000,8.81493
-296.027611,1000,9.872459
-369.105907,1000,11.243725
-336.161407,1000,12.364609
-334.695232,1000,13.828588
-258.540836,1000,14.894218
-171.878579,1000,16.273449
-263.381127,1000,17.393273
-396.374105,1000,18.803866
-208.026903,1000,19.823642
-226.177505,1000,21.143783
-331.399998,1000,22.163585
-179.073941,1000,23.459434
-260.327012,1000,24.476035
-314.673922,1000,25.777091
-347.683745,1000,26.802681
-366.549776,1000,28.105539
-283.311256,1000,29.138492
-276.39306,1000,30.458775
-273.016917,1000,31.474711
-275.214722,1000,32.770944
-341.856811,1000,33.79278
-199.286876,1000,35.097231
-197.420574,1000,36.112496
-241.864472,1000,37.42892
-233.813912,1000,38.462144
-266.442137,1000,39.780313
-152.858077,1000,40.796509
-205.191139,1000,42.10076
-164.605102,1000,43.123745
-320.541896,1000,44.434694
-159.329074,1000,45.453291
-217.532769,1000,46.762971
-148.780842,1000,47.79264
-167.379357,1000,49.098713
-154.076472,1000,50.131228
-95.714285,1000,51.15312
-341.997808,1000,52.468606
-106.511057,1000,53.484768
-191.669286,1000,54.792289
-124.590604,1000,55.811653
-44.803326,1000,57.11756
-105.906733,1000,58.137856
-97.999289,1000,59.439706
-139.769319,1000,60.468182
-68.253604,1000,61.763887
-128.503883,1000,62.789438
-91.106705,1000,64.094225
-39.714604,1000,65.115631
-20.124594,1000,66.427314
-23.683943,1000,67.448926
-18.855026,1000,68.756413
-51.113139,1000,69.781572
-30.573621,1000,71.09005
40.786371,1000,72.108759
-67.762352,1000,73.437709
-79.968663,1000,74.452707
22.896191,1000,75.760336
39.790941,1000,76.779869
83.610742,1000,78.098873
10.750108,1000,79.118032
33.359641,1000,80.438241
-21.75413,1000,81.464449
127.108746,1000,82.783035
97.329032,1000,83.798815
105.228298,1000,85.114608
134.015808,1000,86.134642
167.695913,1000,87.440951
149.481797,1000,88.463891
234.809551,1000,89.786105
76.125804,1000,90.810782
135.874354,1000,92.113383
192.242728,1000,93.141501
170.034997,1000,94.454104
245.443622,1000,95.47846
98.949467,1000,96.780182
331.445463,1000,97.802202
316.340532,1000,99.116084
215.311983,1000,100.138542
257.406375,1000,101.155751
427.976791,1000,102.485022
373.957851,1000,103.509058
324.347192,1000,104.818156
307.33439,1000,105.841471
297.702795,1000,107.153744
442.840795,1000,108.183192
225.501395,1000,109.496236
497.480759,1000,110.514865
351.467606,1000,111.826339
402.586119,1000,112.845625
345.465229,1000,114.158008
356.736187,1000,115.186668
467.30081,1000,116.511708
-353.057582,1000,117.529639
419.328454,1000,118.817024
556.674058,1000,119.841476
536.324892,1000,121.154902
514.37026,1000,122.17463
567.205646,1000,123.483881
563.233584,1000,124.504164
588.481347,1000,125.806377
452.943976,1000,126.828582
417.85621,1000,128.133066
631.500845,1000,129.153643
569.944651,1000,130.501784
443.993852,1000,131.550648
542.841227,1000,132.907251
610.282115,1000,133.946682
570.262313,1000,135.264759
671.788913,1000,136.292794
623.2388,1000,137.613074
522.077559,1000,138.632159
685.826336,1000,139.942879
541.779322,1000,140.967472
639.784001,1000,142.280124
579.329523,1000,143.307452
489.366477,1000,144.624757
742.810064,1000,145.645773
636.446625,1000,146.953302
681.736688,1000,147.971888
696.074609,1000,149.281293
773.768767,1000,150.296159
687.453516,1000,151.308984
735.250554,1000,152.631362
727.658099,1000,153.656849
751.805587,1000,154.957151
807.377891,1000,155.976418
825.168976,1000,157.289189
794.166756,1000,158.311211
754.942663,1000,159.614908
823.00216,1000,160.627111
844.099741,1000,161.944814
803.826157,1000,162.963614
766.378845,1000,164.290429
768.838906,1000,165.319862
770.885896,1000,166.621415
877.753588,1000,167.639579
854.115916,1000,168.942866
896.525017,1000,169.966683
787.62266,1000,171.285732
862.896263,1000,172.307031
779.187918,1000,173.618882
924.133651,1000,174.644758
749.565194,1000,175.954656
834.859326,1000,176.970218
726.843167,1000,178.281497
824.123533,1000,179.307767
866.350678,1000,180.625469
950.733127,1000,181.642503
817.910137,1000,182.942863
890.289835,1000,183.959558
881.835509,1000,185.26424
870.661746,1000,186.276567
882.058967,1000,187.591909
856.566131,1000,188.615985
879.115913,1000,189.943808
893.674646,1000,190.967651
1002.285489,1000,192.275122
935.545888,1000,193.310333
933.983684,1000,194.624257
899.523477,1000,195.64214
863.810091,1000,196.946538
946.40902,1000,197.96997
859.714335,1000,199.276486
892.059691,1000,200.304463
938.033891,1000,201.317578
918.310904,1000,202.626921
964.507626,1000,203.655957
906.454005,1000,204.962721
974.73642,1000,205.979523
915.422169,1000,207.296084
867.147671,1000,208.323951
907.667939,1000,209.639974
1064.830347,1000,210.66524
942.026415,1000,211.975361
828.220751,1000,213.000644
990.127457,1000,214.322041
929.836728,1000,215.336796
942.140179,1000,216.645237
986.935925,1000,217.667846
878.94027,1000,218.981195
961.940499,1000,219.994973
997.527928,1000,221.321081
957.896758,1000,222.35721
1057.91396,1000,223.660252
1012.57463,1000,224.728301
1012.853691,1000,226.219096
1007.22224,1000,227.498448
1078.89586,1000,228.964669
1075.10779,1000,230.073196
1006.379309,1000,231.493013
996.414029,1000,232.598342
1046.126015,1000,233.959989
1018.875529,1000,235.014105
990.245006,1000,236.350536
1073.008787,1000,237.418141
1074.601842,1000,238.840447
980.442638,1000,239.97281
1050.329226,1000,241.386965
1091.904907,1000,242.521287
966.661534,1000,243.901011
1012.933478,1000,244.971525
1052.040717,1000,246.292784
1020.478377,1000,247.322635
992.264968,1000,248.74283
1021.743723,1000,249.823968
1076.41688,1000,251.129533
1040.848989,1000,252.154534
1047.206436,1000,253.176394
1046.344368,1000,254.491279
1088.216199,1000,255.509273
1110.352725,1000,256.829226
1027.785234,1000,257.863357
1084.966219,1000,259.186082
1048.61205,1000,260.207761
1109.865848,1000,261.526747
1008.114819,1000,262.547853
1086.894154,1000,263.905752
1035.366902,1000,264.970609
1107.7058,1000,266.356621
1004.353661,1000,267.426626
1083.326526,1000,268.790849
1145.842092,1000,269.814337
1146.699284,1000,271.122389
1208.73211,1000,272.137048
1096.79668,1000,273.447332
1126.371933,1000,274.466271
1028.815231,1000,275.784637
1126.841351,1000,276.78598
1033.333597,1000,278.121798
1152.605719,1000,279.148396
1103.560381,1000,280.464241
1053.307995,1000,281.489668
1086.063468,1000,282.801969
1149.776056,1000,283.813048
1179.445224,1000,285.140358
1151.19546,1000,286.161343
1138.791039,1000,287.47559
1085.65326,1000,288.499389
969.403946,1000,289.815509
1189.979272,1000,290.84742
1158.937346,1000,292.148044
1137.375189,1000,293.183295
1153.677757,1000,294.497642
1110.571795,1000,295.514207
1152.102018,1000,296.835274
1186.467945,1000,297.87123
1131.228608,1000,299.192153
