#{"t_start": 1587179994.59774, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-358.894022,110,0.748251
-367.785599,101,1.041215
-60.032728,96,1.153306
-388.180828,94,1.257349
-448.402933,88,1.308093
-430.408862,79,1.404211
-310.361085,148,1.53463
-475.605553,136,1.666505
-224.920496,110,1.784869
-385.542935,85,1.878277
-276.16752,85,1.924003
-378.39922,97,2.015098
-397.990431,142,2.13616
-226.502423,109,2.241248
-99.052397,108,2.345475
-299.329856,132,2.475584
-103.391633,103,2.582026
-121.889844,118,2.696829
-230.203168,128,2.821879
-29.717037,307,3.17423
-316.236462,146,3.31499
-193.756344,99,3.418594
-290.110225,82,3.50931
-71.122617,91,3.564279
-242.892743,105,3.666531
-75.557014,78,3.750211
-78.586198,92,3.802884
-366.604591,99,3.901572
-476.609445,173,4.104811
-56.16895,137,4.235597
-91.266949,81,4.284845
-195.272484,168,4.476025
-49.199908,75,4.524986
-336.843891,101,4.627176
-282.795189,93,4.719244
-83.189285,105,4.820496
-324.081763,101,4.878441
-95.252839,110,4.992062
-111.170175,118,5.107767
-180.000813,105,5.21596
-60.649282,81,5.303334
-110.181005,235,5.515332
-297.261553,152,5.681249
-10.02674,98,5.74486
-102.793337,116,5.861282
-188.459446,141,6.002975
-121.954102,235,6.266786
25.150255,107,6.373253
-224.290645,128,6.488221
-82.69592,86,6.580102
-66.331014,65,6.616132
-157.393137,142,6.748642
-101.00324,75,6.837462
-356.713837,104,6.943351
-294.109684,201,7.116708
-68.812553,84,7.213233
-163.475192,131,7.336108
-252.198085,187,7.501538
-178.811356,110,7.610555
-69.639924,82,7.702085
-191.921595,128,7.831031
-315.948896,108,7.938331
-298.705192,89,7.986991
-133.082605,86,8.076905
-436.754199,82,8.174002
-379.869786,110,8.291642
-288.464231,93,8.3459
-447.532046,128,8.467957
-273.70044,165,8.659839
-264.191367,85,8.710311
-193.508862,113,8.822928
-321.271582,176,9.012423
-69.883383,124,9.119514
-68.710981,91,9.17186
-161.010557,125,9.287134
-488.142624,94,9.389325
-84.660884,86,9.486121
-493.204199,85,9.539445
-117.32806,131,9.671627
-383.81277,133,9.800236
-329.720656,104,9.905228
-81.195862,112,10.009534
-95.52723,132,10.124988
-490.627025,151,10.264999
-363.866562,108,10.377963
-239.480074,94,10.478809
-359.381644,99,10.580806
-151.534448,132,10.702255
-257.824029,127,10.816172
-243.50991,137,10.941491
-424.435286,124,11.068214
-16.648112,118,11.185022
-190.910529,168,11.341773
-222.180162,170,11.494482
