# {"t_start": 1587358577.015179, "env_id": "InvertedPendulum-v2"} 
r,l,t
12.0,12,1.050032
5.0,5,1.058987
5.0,5,1.068058
8.0,8,1.08186
6.0,6,1.092429
10.0,10,1.109307
14.0,14,1.13284
4.0,4,1.140055
13.0,13,1.162267
22.0,22,1.20006
4.0,4,1.20769
10.0,10,1.22552
5.0,5,1.23463
6.0,6,1.245202
9.0,9,1.260964
4.0,4,1.268047
6.0,6,1.278757
9.0,9,1.294542
5.0,5,1.303896
4.0,4,1.310893
13.0,13,1.333153
21.0,21,1.370288
4.0,4,1.377491
6.0,6,1.388302
7.0,7,1.400649
4.0,4,1.407843
29.0,29,1.457983
16.0,16,1.48566
6.0,6,1.496048
5.0,5,1.504987
17.0,17,1.534357
11.0,11,1.553501
19.0,19,1.586077
6.0,6,1.596821
5.0,5,1.605824
9.0,9,1.621555
4.0,4,1.628742
14.0,14,1.652499
5.0,5,1.661572
8.0,8,1.676086
10.0,10,1.693602
4.0,4,1.700847
8.0,8,1.714934
6.0,6,1.725385
20.0,20,1.759918
8.0,8,1.773459
11.0,11,1.792355
6.0,6,1.802875
7.0,7,1.815163
9.0,9,1.830976
7.0,7,1.843013
11.0,11,1.861795
3.0,3,1.866984
8.0,8,1.881001
5.0,5,1.889697
9.0,9,1.905285
17.0,17,1.934669
7.0,7,1.947608
16.0,16,1.976209
5.0,5,1.985014
17.0,17,2.014191
3.0,3,2.019635
5.0,5,2.028502
5.0,5,2.037136
4.0,4,2.044314
6.0,6,2.054598
4.0,4,2.061853
4.0,4,2.068975
8.0,8,2.082662
3.0,3,2.088115
9.0,9,2.103673
7.0,7,2.116176
7.0,7,2.128791
4.0,4,2.135872
5.0,5,2.144623
12.0,12,2.165734
8.0,8,2.17966
4.0,4,2.186733
4.0,4,2.193877
18.0,18,2.224202
6.0,6,2.234952
7.0,7,2.247029
8.0,8,2.260458
11.0,11,2.278902
5.0,5,2.287827
8.0,8,2.301348
15.0,15,2.327532
11.0,11,2.346385
6.0,6,2.357114
7.0,7,2.369202
4.0,4,2.376288
11.0,11,2.395047
7.0,7,2.406874
14.0,14,2.430493
6.0,6,2.441709
9.0,9,2.458154
6.0,6,2.468911
10.0,10,2.48597
10.0,10,2.503776
12.0,12,2.52412
3.0,3,2.529539
5.0,5,2.538569
9.0,9,2.554286
9.0,9,2.569706
6.0,6,2.58033
11.0,11,2.599204
7.0,7,2.611676
5.0,5,2.620705
14.0,14,2.644926
8.0,8,2.658828
13.0,13,2.680869
6.0,6,2.691545
13.0,13,2.713657
6.0,6,2.724088
7.0,7,2.736444
13.0,13,2.758527
7.0,7,2.770621
5.0,5,2.779442
5.0,5,2.788402
4.0,4,2.795474
17.0,17,2.824459
5.0,5,2.833306
5.0,5,2.842127
5.0,5,2.850821
4.0,4,2.857819
13.0,13,2.879942
7.0,7,2.891841
7.0,7,2.903801
4.0,4,2.910854
3.0,3,2.91621
8.0,8,2.929945
8.0,8,2.943731
12.0,12,2.964336
4.0,4,2.971474
8.0,8,2.985367
11.0,11,3.004118
7.0,7,3.01641
4.0,4,3.023302
6.0,6,3.0336
5.0,5,3.042189
5.0,5,3.051173
4.0,4,3.05841
9.0,9,3.073655
7.0,7,3.085683
5.0,5,3.094569
7.0,7,3.106769
5.0,5,3.115449
10.0,10,3.132417
4.0,4,3.139618
3.0,3,3.145162
3.0,3,3.150629
5.0,5,3.159373
8.0,8,3.173371
31.0,31,3.225055
5.0,5,3.233889
5.0,5,3.242719
13.0,13,3.26467
12.0,12,3.285005
5.0,5,3.293667
5.0,5,3.302754
8.0,8,3.316369
12.0,12,3.336843
5.0,5,3.345357
5.0,5,3.354059
4.0,4,3.360784
13.0,13,3.38245
5.0,5,3.391264
4.0,4,3.398343
10.0,10,3.415199
10.0,10,3.432435
7.0,7,3.444263
9.0,9,3.460052
16.0,16,3.487457
7.0,7,3.499283
13.0,13,3.521382
8.0,8,3.535047
4.0,4,3.542027
4.0,4,3.549364
8.0,8,3.563451
5.0,5,3.572306
4.0,4,3.579602
9.0,9,3.59445
11.0,11,3.613206
6.0,6,3.623559
10.0,10,3.641112
5.0,5,3.649483
6.0,6,3.659833
6.0,6,3.670471
9.0,9,3.685814
9.0,9,3.701448
12.0,12,3.722285
7.0,7,3.734458
10.0,10,3.751701
4.0,4,3.758767
5.0,5,3.767453
11.0,11,3.786117
8.0,8,3.799974
6.0,6,3.810456
10.0,10,3.827358
6.0,6,3.837405
21.0,21,3.872969
12.0,12,3.893677
7.0,7,3.905262
5.0,5,3.914021
4.0,4,3.921221
14.0,14,3.945033
9.0,9,3.960288
13.0,13,3.982733
16.0,16,4.009783
27.0,27,4.054835
5.0,5,4.06356
5.0,5,4.072282
4.0,4,4.079132
11.0,11,4.097672
5.0,5,4.106207
15.0,15,4.131647
6.0,6,4.142073
7.0,7,4.154096
10.0,10,4.171297
4.0,4,4.178439
8.0,8,4.191977
5.0,5,4.200829
11.0,11,4.219494
14.0,14,4.243275
9.0,9,4.258981
4.0,4,4.265973
13.0,13,4.288505
9.0,9,4.303831
5.0,5,4.312866
6.0,6,4.323331
8.0,8,4.336675
12.0,12,4.357242
6.0,6,4.367719
7.0,7,4.379488
4.0,4,4.386778
4.0,4,4.393675
10.0,10,4.410836
6.0,6,4.421293
5.0,5,4.430158
10.0,10,4.446976
6.0,6,4.457414
10.0,10,4.474756
10.0,10,4.49202
10.0,10,4.509239
3.0,3,4.514688
8.0,8,4.528406
5.0,5,4.5372
6.0,6,4.547716
7.0,7,4.559764
10.0,10,5.146238
9.0,9,5.161902
5.0,5,5.170929
4.0,4,5.178317
10.0,10,5.196303
12.0,12,5.217106
4.0,4,5.224123
13.0,13,5.246065
7.0,7,5.257916
