# {"t_start": 1587246994.0972989, "env_id": "Walker2d-v2"} 
r,l,t
-1.396147,16,0.724798
-4.463703,10,0.737377
-2.176868,32,0.775309
-1.841765,8,0.784888
4.298882,18,0.806262
-1.971482,9,0.816738
7.635397,30,0.851971
-8.611563,26,0.882372
1.699347,11,0.895456
-2.91795,9,0.906084
-4.457475,20,0.928911
-3.12642,17,0.949561
-1.65673,9,0.962055
3.024193,14,0.978464
-0.309272,14,0.994553
4.168793,19,1.01711
-8.083891,12,1.031431
-6.846978,24,1.060911
-1.83269,14,1.077528
2.63454,20,1.100078
-2.963774,23,1.12628
3.833388,16,1.146886
6.304853,15,1.166282
-4.696463,24,1.194752
-3.825659,14,1.212126
-5.139165,17,1.231583
-4.980063,24,1.259529
2.464257,14,1.275873
-0.420777,18,1.296371
-4.828964,9,1.307769
-4.409996,12,1.321509
-4.712909,6,1.328365
-2.879312,16,1.346169
0.834865,16,1.364374
-0.393881,29,1.396623
0.092878,15,1.414207
1.430502,14,1.42995
3.088493,14,1.446513
-11.359233,18,1.466807
-11.223234,23,1.494583
-4.974512,14,1.51146
-4.498853,25,1.540589
2.281315,16,1.558661
-0.026147,15,1.575397
0.992137,12,1.588772
2.897039,18,1.609519
3.818848,17,1.634155
-2.451973,12,1.650192
-2.57161,12,1.666716
-1.071526,18,1.690992
-3.925048,12,1.706302
4.696949,22,1.732372
-2.004364,9,1.743345
-4.002137,27,1.774798
-1.159353,22,1.800537
6.70462,24,1.828373
-3.944214,13,1.843328
-2.555394,21,1.869887
0.774319,15,1.887348
-5.088773,12,1.901723
5.033312,15,1.919725
-0.376097,9,1.931057
12.519701,34,1.97047
-3.519155,10,1.982539
-2.067464,12,1.996848
-2.244696,23,2.024153
5.055803,17,2.045984
-0.706918,9,2.056675
0.766115,11,2.070791
1.495671,13,2.087716
6.115274,24,2.116387
-0.404787,14,2.132407
-2.899569,10,2.144938
0.478106,12,2.159946
-3.78378,19,2.185271
-6.956958,13,2.202455
6.673181,21,2.227708
0.380257,21,2.253332
-4.283371,16,2.272402
-12.296071,14,2.289288
-5.626007,24,2.319197
-0.150285,11,2.333045
6.626637,36,2.377917
-4.766556,12,2.391924
-1.438124,47,2.449049
-4.489963,21,2.473632
3.009762,12,2.488414
-4.341448,30,2.52328
-2.361498,20,2.546738
-1.863998,10,2.55894
-5.202161,11,2.571896
-5.65539,25,2.600717
-2.756372,12,2.614645
-3.745305,19,2.6372
0.089991,16,2.665135
-3.464793,12,2.680407
1.760638,28,2.714289
-1.913147,9,2.725516
0.103512,12,2.741142
-3.847311,8,2.751869
17.941818,33,2.789885
-9.131339,20,2.81314
1.139988,19,2.836598
0.014996,12,2.850915
-4.605011,8,2.860066
1.936039,17,2.879848
-4.012967,15,2.89654
-3.953493,11,2.909064
12.908335,35,2.948273
7.935767,17,2.968178
-2.399336,8,2.97794
-5.970488,21,3.003002
-6.302025,14,3.019222
0.539348,13,3.034109
-1.189667,16,3.052291
-1.391717,24,3.079286
11.010542,27,3.109284
-3.789663,12,3.12268
-2.313954,19,3.143711
-2.359307,12,3.489234
-2.427548,9,3.499861
-7.273565,13,3.514053
-0.742536,9,3.525816
1.845951,13,3.541381
0.95976,12,3.555892
1.949553,14,3.572072
1.925137,14,3.587924
-5.298906,20,3.611218
4.326414,15,3.629137
1.700038,20,3.654115
-2.189898,24,3.682226
-5.998119,37,3.727258
16.624491,36,3.770487
-0.525582,28,3.803625
1.362934,15,3.821757
-4.858424,19,3.844808
-4.738198,13,3.860919
6.293965,39,3.906741
-3.473778,14,3.923651
-1.130648,9,3.934731
-0.162123,31,3.971678
-2.620853,15,3.990738
4.606356,38,4.035435
3.43643,19,4.059213
