# {"t_start": 1587263002.890305, "env_id": "Ant-v2"} 
r,l,t
-53.861739,61,1.632214
-128.717033,94,1.851969
-34.274953,31,1.926431
-74.450913,89,2.133245
-61.209352,39,2.224216
-20.594398,44,2.32477
-9.123277,15,2.359704
-84.767009,43,2.459291
-35.596939,26,2.521019
-11.731677,17,2.561438
-45.220505,37,2.647456
-78.903154,67,2.803277
-19.6002,17,2.843362
-34.979794,35,2.924047
-23.761252,24,2.980807
-52.970249,67,3.140724
-289.674894,190,3.58941
-24.271513,28,3.654624
-74.086678,85,3.858041
-145.062482,127,4.53006
-56.456811,44,4.636037
-69.365877,80,4.828633
-130.429361,83,5.03228
-36.777057,19,5.079491
-17.497363,48,5.19518
-22.087444,13,5.227385
-124.911726,90,5.443857
-66.906717,52,5.569297
-22.475727,56,5.704973
-31.833305,22,5.75932
-13.475518,12,5.79022
-18.675648,46,5.901691
-174.137294,88,6.117077
-20.28671,26,6.181301
-41.734549,19,6.228689
-94.153034,56,6.364585
-118.667215,81,6.557227
-48.711933,37,6.649313
-202.065019,183,7.281425
-11.862479,10,7.311118
-1042.583719,1000,9.929193
-28.301978,24,9.987154
-43.553818,29,10.0584
-49.138237,39,10.152018
-66.979163,40,10.247673
-15.475359,32,10.325357
-21.25805,16,10.364378
-92.723453,54,10.493023
-91.751117,55,10.622746
-91.92143,62,10.767251
-44.417,28,10.832924
-105.277133,58,10.968689
-20.131533,17,11.012557
-1085.996536,1000,13.608065
-33.930267,29,13.682191
-13.900909,11,13.710282
-36.231127,25,13.773478
-174.94039,126,14.092397
-57.272232,73,14.274883
-110.924946,68,14.443866
-1119.372794,1000,17.043983
-18.045413,13,17.076612
-21.732718,17,17.118569
-50.574493,51,17.239889
-8.585494,17,17.280515
-5.790056,14,17.315183
-107.07659,79,17.648723
-45.854082,32,17.725277
-73.643045,55,17.85577
-36.973933,20,17.903778
-24.100389,17,17.945246
-18.937729,28,18.019501
-41.269474,36,18.111457
-84.400768,56,18.247642
-58.844214,54,18.37741
-28.049478,28,18.444803
-105.16378,78,18.639431
-37.101192,27,18.705921
-759.44695,682,20.690137
-50.282246,42,20.792587
-132.389886,131,21.104759
-31.865711,45,21.212948
-28.345824,19,21.259537
-21.907915,25,21.319841
-136.410445,144,21.662244
-12.460973,21,21.713177
-22.046461,11,21.741252
-1022.527176,1000,24.284434
-16.044859,32,24.360191
-58.287988,55,24.489066
-31.237825,29,24.557234
-39.413172,37,24.6437
-6.620928,17,24.687002
-12.622261,18,24.731997
-92.992836,81,24.927715
-17.759752,43,25.038282
-55.233261,71,25.212447
-52.480695,55,25.342808
-23.650803,61,25.631807
-12.182208,15,25.668744
-11.715902,23,25.723105
-136.084895,133,26.032524
-127.102039,186,26.464956
-6.464117,11,26.491839
-49.352553,34,26.570951
-97.372954,114,26.837358
-49.860789,49,26.95383
-71.846342,63,27.10281
-102.692087,94,27.322637
-34.46318,32,27.398808
-112.368476,100,27.638021
-0.722033,20,27.68588
-100.186445,95,27.916662
-21.00795,21,27.9682
-161.574883,112,28.390578
-10.78758,10,28.415348
-1058.615029,1000,30.668028
-29.379044,56,30.772962
-51.690942,77,30.918075
-6.127213,11,30.937468
-29.145267,67,31.059475
-65.349138,86,31.214647
-43.047174,31,31.271611
-48.274381,76,31.409843
-48.599193,36,31.475059
-14.249579,26,31.523238
-71.012795,66,31.639672
-11.284153,16,31.66977
-1074.780142,1000,33.89068
-11.727356,23,33.945387
-68.640088,64,34.094493
-48.150231,24,34.151706
-56.953673,48,34.265948
-1021.703484,1000,36.825543
-30.928485,70,37.007262
-52.261887,43,37.112277
-54.441916,42,37.213346
-1029.672575,1000,39.858917
1.917918,15,39.896263
-6.420067,11,39.923737
-34.607031,35,40.011996
-99.941667,61,40.16195
-159.888829,143,40.672724
-24.499579,25,40.736564
-41.867131,52,40.870903
-19.779662,19,40.920874
-56.567796,70,41.099775
-1079.467183,1000,43.715112
-90.895747,52,43.839831
-1091.511122,1000,46.395005
-67.971012,36,46.479027
-18.740773,27,46.543673
-15.750305,31,46.616923
-13.047712,13,46.647454
-34.639978,22,46.699513
-25.014665,61,46.846734
-12.136127,11,46.873186
-46.402044,61,47.018994
-35.847267,34,47.098887
-10.686562,13,47.131508
-18.351206,15,47.167742
-242.144207,206,47.64842
-10.474101,10,47.673046
-60.396254,55,47.801023
-44.171834,71,47.96669
-43.263341,47,48.077259
-43.510996,31,48.149266
-49.791059,33,48.371204
-28.97703,32,48.446005
-12.926557,21,48.497296
-107.018405,119,48.776136
-31.560659,52,48.898393
-53.049315,50,49.014912
-9.419441,34,49.094573
-98.020716,75,49.271819
-31.980956,51,49.391323
-15.886154,13,49.42295
-39.894848,85,49.6201
-23.607732,24,49.676667
-80.475905,45,49.783004
-26.958997,36,49.869056
-44.475741,86,50.067923
-39.454365,57,50.202444
-1061.620741,1000,52.73213
-5.16309,14,52.766125
-12.715809,49,52.884255
-9.545694,15,52.921625
-68.935843,53,53.047063
-15.376775,23,53.102463
-112.997828,110,53.51177
-8.730163,14,53.545745
-116.311186,96,53.768655
-17.205089,43,53.870118
-57.744835,44,53.976659
-22.801732,42,54.076064
-22.057079,15,54.112542
-19.890615,21,54.161835
-14.522587,45,54.266891
-42.542304,37,54.352951
-45.324421,23,54.40789
-24.000317,40,54.503426
-46.958151,39,54.597262
-37.577197,30,54.667434
-12.303173,15,54.703403
-53.477849,47,54.812396
-1024.980221,1000,57.307747
-100.120175,47,57.416391
-102.663307,73,57.585744
-28.393183,25,57.643746
-22.610282,15,57.68028
-88.308746,57,57.813932
-12.21558,31,57.886367
-151.762085,79,58.070874
-0.026762,40,58.163103
-26.631879,29,58.231961
-78.929665,54,58.358275
-23.715936,11,58.385081
-32.316226,21,58.57831
-26.13049,42,58.679945
-1079.031215,1000,61.238701
-37.579036,25,61.298938
-56.375165,40,61.392113
-84.487309,118,61.667226
-19.029717,16,61.705834
-24.414068,36,61.791976
-112.435779,86,61.993957
-42.618232,51,62.112887
-6.67448,16,62.15186
-22.165913,9,62.174521
-15.250454,52,62.295437
-21.15094,18,62.33823
-1048.525683,1000,64.8342
-13.76346,14,64.868384
-28.706894,14,64.901882
-116.487085,108,65.153937
-74.82554,55,65.283144
-1.701721,22,65.335431
-59.679953,60,65.473759
-115.374352,108,65.723589
-11.470111,24,65.779956
-13.387059,21,65.829372
-7.846387,26,65.890638
-27.1604,19,65.936119
-25.980732,85,66.284525
-32.429714,30,66.357388
-4.030263,15,66.393956
-11.363157,15,66.430682
-14.498512,41,66.528464
-59.072435,56,66.662595
-30.66687,25,66.724665
-139.679142,104,66.977079
-113.373249,91,67.193564
-31.887581,15,67.229993
-14.723068,20,67.278095
-8.481118,13,67.310456
-83.008171,96,67.543709
-1108.72193,1000,70.05667
-68.602074,71,70.220979
-40.920155,35,70.302331
-34.245141,22,70.355276
-0.61267,18,70.398412
-32.253283,24,70.455082
-66.220716,39,70.548513
-16.153752,19,70.594258
-182.733099,181,71.014152
-1109.148267,1000,73.516054
-19.30639,12,73.545491
-139.187921,116,73.813855
-36.783728,29,74.033071
-2.699142,8,74.053102
-77.033144,49,74.169585
-12.010503,22,74.223477
-56.220205,78,74.413603
-49.643968,39,74.507651
-110.955122,125,74.806339
-14.479817,32,74.884342
-78.982456,42,74.985656
-35.183617,35,75.070003
-13.128133,11,75.09702
-28.645899,30,75.16871
-64.242699,49,75.288392
-311.703537,234,75.84545
-75.415285,49,75.963047
-108.233668,112,76.229792
-1079.613839,1000,78.702772
-14.903043,28,78.759365
-36.403942,26,78.807936
-28.898636,18,78.84251
-28.166328,26,78.890535
-1041.0939,1000,80.851298
-33.990991,32,80.911648
-47.349971,40,81.099728
-32.299535,34,81.165052
-30.993046,54,81.26854
-1083.209373,1000,83.188363
-106.385928,98,83.348223
-54.986188,90,83.502741
-78.241606,46,83.580729
-73.243047,69,83.695742
-33.981923,33,83.7542
-88.362606,107,83.946017
-45.260688,25,83.991209
-4.920018,14,84.016752
-45.569679,41,84.091441
-14.530601,26,84.143218
-79.751132,57,84.26827
-39.969101,30,84.335975
-1044.321125,1000,86.852118
-151.503076,83,87.055106
-22.922342,46,87.168756
-16.706051,14,87.203297
-77.411353,67,87.364303
-22.630188,14,87.399596
-45.897845,23,87.455535
-43.844111,26,87.518466
-35.840676,39,87.611858
-151.501956,67,87.929377
-1075.973383,1000,90.520262
-23.924524,13,90.551605
-23.498352,18,90.595203
-51.756437,27,90.658936
-36.52783,33,90.737506
-34.567786,23,90.790382
-55.237004,39,90.884002
-14.807278,11,90.910872
-13.152767,12,90.940472
-102.251036,73,91.111592
-20.18495,23,91.165372
-19.491259,24,91.223426
-4.56908,17,91.264057
-86.047281,51,91.383864
-71.020091,49,91.498352
-33.69356,35,91.580652
-1030.922674,1000,94.087202
-25.891972,54,94.217885
-28.662098,33,94.297208
-7.188015,14,94.332586
-49.400479,49,94.450689
-20.490362,24,94.509273
-42.430458,48,94.624583
-24.457956,37,94.713037
-70.640598,37,94.802422
-57.214464,30,94.87546
-27.629586,92,95.096379
-149.342151,113,95.364455
-90.345905,44,95.618528
-49.45697,38,95.714613
-17.359552,25,95.775975
-20.684687,17,95.820397
-86.905126,131,96.130963
-17.191146,11,96.157966
