# {"t_start": 1587332585.809254, "env_id": "HalfCheetah-v2"} 
r,l,t
-378.349784,1000,1.945171
-399.05142,1000,3.247213
-346.77961,1000,4.358557
-301.330784,1000,5.494239
-334.003757,1000,6.633797
-311.915535,1000,7.770029
-314.53131,1000,8.895909
-328.566147,1000,10.030689
-327.681314,1000,11.157069
-335.684178,1000,12.276547
-287.269703,1000,13.45554
-332.14823,1000,14.694287
-322.392185,1000,15.908197
-287.105138,1000,17.140189
-286.51244,1000,18.302181
-325.535913,1000,19.458513
-287.893692,1000,20.616755
-329.060654,1000,21.76217
-258.983362,1000,22.919518
-343.789496,1000,24.102564
-247.074146,1000,25.311483
-141.954186,1000,26.51713
-291.193412,1000,27.680431
-327.787826,1000,28.835066
-311.169911,1000,30.002046
-244.441151,1000,31.199167
-275.616171,1000,32.422367
-252.63592,1000,33.623536
-296.432245,1000,34.816458
-239.695044,1000,35.950064
-319.903691,1000,37.083363
-263.684852,1000,38.209463
-240.502485,1000,39.334998
-254.980899,1000,40.478675
-275.701558,1000,41.62593
-267.582448,1000,42.791567
-313.830848,1000,44.002047
-223.73298,1000,45.225344
-232.814802,1000,46.440054
-256.032672,1000,47.647725
-288.840919,1000,48.795756
-245.579531,1000,50.007084
-281.047315,1000,51.149017
-215.419183,1000,52.377632
-249.700118,1000,53.592578
-189.995339,1000,54.805559
-233.844462,1000,56.014979
-201.356436,1000,57.227621
-173.57067,1000,58.435963
-183.833556,1000,59.652258
-181.588899,1000,60.834952
-171.560032,1000,61.977038
-183.874188,1000,63.188702
-284.579053,1000,64.364845
-184.686754,1000,65.512473
-121.458384,1000,66.694301
-79.408283,1000,67.843376
-170.05267,1000,69.017895
-167.212616,1000,70.230063
-177.309585,1000,71.387043
-244.291532,1000,72.591539
-406.661072,1000,73.805318
-115.913388,1000,75.063172
-137.596993,1000,76.26176
-117.409211,1000,77.461498
-165.996723,1000,78.632925
-107.508915,1000,79.856261
-151.069395,1000,81.05273
-191.53504,1000,82.327249
-151.183004,1000,83.548385
-410.053399,1000,84.730271
-92.388801,1000,85.921987
-147.587826,1000,87.064713
-117.827894,1000,88.277589
-130.721085,1000,89.448365
-119.712194,1000,90.643401
-102.03771,1000,91.849685
-123.844358,1000,93.062583
-72.199064,1000,94.279388
-77.138199,1000,95.473217
-94.803379,1000,96.639461
-103.314102,1000,97.786839
-18.166004,1000,98.912063
-68.182699,1000,100.0474
-74.090445,1000,101.181414
-107.437059,1000,102.284054
-53.095512,1000,103.513653
9.867083,1000,104.722874
-51.272598,1000,105.902597
-93.237403,1000,107.121521
-71.716867,1000,108.340178
32.954754,1000,109.53606
-15.372276,1000,110.675291
-6.46978,1000,111.810801
-124.397983,1000,112.944364
-85.617894,1000,114.078478
-26.964433,1000,115.218942
-20.713493,1000,116.357374
27.593174,1000,117.490066
-27.718911,1000,118.637701
-0.526879,1000,119.777571
-56.694795,1000,120.902319
-63.619653,1000,122.032157
-34.983491,1000,123.167233
-14.086185,1000,124.300952
9.473597,1000,125.419652
46.668806,1000,126.554725
56.79065,1000,127.680032
16.32023,1000,128.804814
28.073893,1000,129.925231
40.014222,1000,131.055348
53.437101,1000,132.189557
99.34593,1000,133.323282
73.846325,1000,134.465452
42.747978,1000,135.594046
50.112264,1000,136.727648
93.898055,1000,137.863311
139.413367,1000,138.979101
153.113112,1000,140.102806
112.101506,1000,141.233388
62.784378,1000,142.360717
147.180131,1000,143.483804
166.567435,1000,144.609118
176.193495,1000,145.734279
216.909919,1000,146.868445
179.290664,1000,147.999945
162.834268,1000,149.124012
183.731993,1000,150.177783
