# {"t_start": 1587324166.6196532, "env_id": "Hopper-v2"} 
r,l,t
59.405012,43,1.037203
14.373754,16,1.057547
8.834475,15,1.078461
6.592122,18,1.102301
7.719914,12,1.117516
11.014083,34,1.161353
10.727491,15,1.180048
6.402318,9,1.191366
5.838239,10,1.204599
10.124332,16,1.225105
17.755623,24,1.255215
13.587864,22,1.284648
31.269012,30,1.324922
11.066547,14,1.342613
10.055677,14,1.360611
13.0653,16,1.380458
11.239492,14,1.404693
16.111078,21,1.436706
21.85594,24,1.467555
10.445462,15,1.487669
13.392617,16,1.507985
14.990613,18,1.53074
9.973367,17,1.552374
15.591419,23,1.580611
12.262215,18,1.602843
35.425705,32,1.641612
53.962518,38,1.690882
10.895633,18,1.714345
10.12112,18,1.736213
6.117364,13,1.752493
25.910931,27,1.786208
26.995047,27,1.819143
41.145569,35,1.864999
5.965059,8,1.875598
7.678377,18,1.899559
11.369064,17,1.921144
8.011528,31,1.960818
4.000585,8,1.971029
8.692124,10,1.983689
14.784455,20,2.008891
5.944203,8,2.019174
11.372253,25,2.050381
9.47562,18,2.074009
27.553187,46,2.131798
20.028487,23,2.161901
7.617644,16,2.181732
20.011115,19,2.205463
11.319944,24,2.235883
4.682254,13,2.252496
12.537906,15,2.271508
7.131247,12,2.287594
77.977503,59,2.58454
7.508255,12,2.600017
20.32446,32,2.639169
7.262856,25,2.67039
81.000039,50,2.731509
79.970995,61,2.809162
7.424139,10,2.823088
7.800147,15,2.842591
10.398116,17,2.8661
17.393207,20,2.894359
11.74679,20,2.920859
18.397255,28,2.958171
14.749353,16,2.979908
11.721139,14,2.997725
16.121911,23,3.027039
6.3898,9,3.039202
16.030246,16,3.059738
2.588847,11,3.07333
13.434721,15,3.092018
17.429782,18,3.114902
17.957132,20,3.140762
6.259423,8,3.151526
9.262514,11,3.166176
66.784753,50,3.227868
7.225667,11,3.241504
12.396735,20,3.266069
5.098092,9,3.278136
5.312256,11,3.293912
16.15732,21,3.321946
30.971905,45,3.379533
9.542402,11,3.398708
7.59469,10,3.412336
21.614754,21,3.437754
25.959499,24,3.469801
8.116634,11,3.483601
5.427635,24,3.513842
10.604239,12,3.529524
9.446794,17,3.552171
9.253767,12,3.567266
6.381083,11,3.582337
9.016187,31,3.62437
7.730535,14,3.642451
9.281829,11,3.657137
11.873378,28,3.692411
39.290796,38,3.739294
6.702317,11,3.75319
35.256285,36,3.797859
10.232404,12,3.81321
6.191945,8,3.823219
24.267935,23,3.938807
59.331086,46,3.998555
124.070205,64,4.07589
13.429158,15,4.095016
9.089667,18,4.117763
33.737356,34,4.16015
13.01221,13,4.176683
33.950204,28,4.211
12.321829,15,4.230279
4.009774,11,4.244333
7.509612,15,4.262838
16.020456,26,4.29525
14.109548,17,4.317761
12.308681,25,4.349477
15.483272,19,4.374517
11.0043,15,4.393132
10.1143,14,4.410328
6.399885,15,4.429169
99.654625,54,4.512788
19.396995,26,4.553783
14.480872,17,4.577088
17.827474,18,4.601238
4.73577,8,4.61355
12.458172,16,4.636514
51.152696,61,4.710905
20.067664,19,4.73366
3.890569,7,4.743348
10.833541,15,4.762772
10.063819,15,4.782198
3.610715,9,4.793743
20.056034,28,4.827527
7.286215,9,4.838741
8.200922,17,4.859045
96.845984,54,4.928228
73.367567,66,5.008775
14.93319,17,5.031323
8.230986,10,5.044496
8.457049,15,5.062512
58.275588,43,5.112531
118.780942,65,5.193656
18.483309,23,5.22525
9.096435,11,5.239985
10.204732,15,5.348472
14.427152,16,5.370411
8.367367,13,5.388236
22.229877,21,5.414241
18.446004,27,5.446228
97.317669,63,5.520902
85.90902,49,5.580303
18.230315,33,5.621596
16.599397,24,5.65184
96.949875,69,5.734718
85.029497,56,5.805441
9.805041,18,5.82908
8.219222,15,5.847519
186.260149,97,5.968876
21.228512,29,6.00654
7.319995,17,6.028149
9.929014,13,6.045834
9.733197,13,6.063179
109.834394,85,6.177764
82.809347,49,6.24088
18.462099,17,6.263402
21.64521,24,6.291768
73.359747,43,6.341417
8.210117,12,6.355544
14.308761,20,6.378758
10.589357,34,6.417431
9.399659,14,6.434036
12.792251,17,6.454093
17.65057,18,6.476736
20.073959,28,6.510789
76.635907,45,6.565685
79.574821,45,6.695635
22.574706,20,6.719419
106.047434,59,6.788925
14.168906,16,6.807963
8.910397,11,6.821188
74.798115,45,6.873081
13.597644,20,6.898505
67.795176,41,6.947606
61.002412,41,6.997266
9.286224,11,7.011289
15.110933,44,7.070515
20.232571,28,7.10743
98.228521,54,7.182112
20.881741,24,7.213136
57.89746,35,7.259626
8.899783,11,7.273873
9.304465,14,7.291808
137.417747,75,7.38283
46.578762,28,7.41794
53.322319,36,7.46223
7.80794,15,7.484086
60.871289,36,7.533561
12.739705,15,7.553879
15.373297,24,7.586365
116.620397,60,7.666248
125.817525,65,7.758505
83.209016,48,7.819475
57.083343,40,7.86797
67.044483,40,7.915089
9.688365,21,7.939963
10.620108,13,7.956363
77.324902,55,8.102697
90.970849,50,8.163828
22.892718,22,8.19146
45.860912,33,8.231022
13.202449,15,8.250959
76.250488,43,8.306017
74.435648,50,8.372456
75.303107,54,8.439087
77.542121,55,8.503735
12.859069,13,8.520265
196.888212,102,8.640796
21.10078,26,8.672449
8.380977,14,8.69079
87.907903,51,8.75323
21.625727,32,8.791028
67.987509,48,8.848874
103.007231,62,8.922544
59.758659,37,8.966405
58.397,79,9.062655
74.537065,42,9.112131
129.630162,74,9.200611
142.247334,89,9.305343
63.554583,38,9.430716
59.800267,37,9.476191
100.826631,55,9.543198
105.306065,57,9.612983
230.227781,107,9.744541
57.386293,35,9.787697
56.51985,34,9.829825
79.942286,47,9.884313
138.184736,78,9.978752
131.130756,84,10.080385
177.490196,99,10.196862
105.48139,83,10.297345
11.258862,13,10.313252
71.751112,46,10.371288
95.13393,52,10.434759
142.37138,70,10.518548
64.562679,39,10.570699
209.249368,103,10.789308
175.775411,82,10.891675
96.967119,54,10.956706
131.919513,71,11.044137
159.666097,78,11.141405
92.046784,51,11.212681
154.439033,77,11.311152
250.881457,130,11.468032
203.942032,95,11.582279
57.245723,35,11.623427
155.62716,82,11.719302
185.852886,87,11.823036
125.67361,71,11.904688
198.800067,105,12.111007
33.481609,28,12.145408
56.598936,34,12.186431
161.296854,79,12.28244
205.002252,89,12.421111
44.474903,34,12.46522
113.030803,65,12.552076
174.215108,80,12.664222
222.522542,100,12.797902
85.392948,53,12.86361
147.251772,74,12.956142
120.186992,64,13.038137
224.513153,111,13.176478
234.391159,129,13.338013
201.430134,95,13.547572
201.073395,96,13.668734
218.203952,95,13.786446
143.995529,84,13.89639
124.736338,66,13.994162
131.487775,79,14.091484
175.498918,80,14.187973
233.921352,116,14.326732
194.663907,85,14.437102
133.807283,69,14.527745
204.838276,90,14.640167
