#{"t_start": 1587180439.236599, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-53.109449,76,1.198086
-454.406485,148,1.290631
-84.502684,80,1.341938
-189.697582,130,1.419541
-101.350312,145,1.510722
-212.741003,102,1.568992
-88.22292,76,1.609355
-181.820392,102,1.667039
-94.624998,138,1.748341
-138.598648,107,2.504894
-238.800115,108,2.568973
-69.729369,78,2.614542
-87.673288,93,2.669576
-112.245649,150,2.76796
-155.368596,103,2.83503
-296.174592,138,2.918903
-432.99856,94,2.972075
4.743067,96,3.018976
-53.661738,93,3.30425
-42.883177,87,3.348596
-171.303619,98,3.417023
-65.131086,77,3.464722
-340.586829,137,3.546704
-37.030763,111,3.612336
-135.231837,93,3.667891
-30.018214,98,3.726333
-116.379666,127,3.801032
-6.30915,78,3.841719
-134.201477,137,4.154192
-44.417014,81,4.193564
-124.232214,143,4.264955
-151.734565,121,4.334223
-67.073161,84,4.377604
-346.511466,111,4.436829
-88.292324,155,4.527119
-204.755015,120,4.591011
-128.679804,109,4.642066
-80.785521,117,4.951637
-92.980253,95,5.005609
-20.393246,147,5.0856
-76.457479,114,5.141579
-175.021744,121,5.202422
-198.233238,213,5.322414
-59.323696,157,5.408068
-122.442952,143,5.730135
-27.421224,137,5.796792
-124.278918,163,5.882172
-115.685129,84,5.92013
-117.918695,239,6.065997
-197.296893,128,6.128586
-54.643113,187,6.229635
-43.416046,86,6.512728
-134.792644,150,6.58976
-94.891833,105,6.644775
60.350904,196,6.765573
-210.889753,134,6.835973
-52.336179,107,6.888696
-128.959082,139,6.968032
-150.624391,147,7.044545
-76.068535,104,7.340738
-76.20482,119,7.39743
-8.258744,172,7.493741
-155.947762,165,7.580748
-79.551875,93,7.624714
-70.00273,132,7.689727
-129.958943,133,7.755543
-57.171157,119,7.815398
-32.294201,96,8.116766
-44.601673,109,8.169245
-98.059842,162,8.252171
-84.442607,318,8.466465
-16.62954,126,8.529609
-70.126153,164,8.611689
-59.876018,113,8.910016
-1.640996,88,8.953935
-259.973442,255,9.121326
-201.588186,249,9.272207
-44.105785,114,9.341403
-83.537241,122,9.427793
-73.992899,136,9.515285
-199.314096,123,9.886031
-105.366137,229,10.049754
-76.5674,108,10.111674
-239.451955,243,10.259513
-89.410055,173,10.355254
-59.564452,120,10.420714
-114.498836,216,10.8492
-76.693694,105,10.90716
-70.405002,97,10.956643
-73.142083,153,11.042527
-227.747622,167,11.133655
-27.197732,171,11.227207
-228.332879,206,11.637106
-194.267387,249,11.827771
58.999917,1000,13.588951
-89.113599,134,13.699355
-85.641252,152,13.80323
-104.005891,106,13.858582
-53.989308,116,13.918039
-54.944792,189,14.029702
-108.332004,169,14.408242
-76.517775,169,14.519187
-20.977371,115,14.584398
-132.476381,145,14.657762
-101.571855,199,14.767631
-46.597114,75,14.802939
-48.424746,329,15.288101
-38.224706,111,15.345525
-142.267386,158,15.431142
-42.838229,131,15.499614
-39.719702,214,15.622156
-109.397679,157,15.700538
-65.681036,234,16.082111
-70.612301,103,16.134599
-104.765068,118,16.191757
-35.19896,193,16.295552
-10.222589,443,16.723022
-31.782608,136,17.038548
-58.049083,612,17.642223
-39.790081,118,17.701071
-63.087388,147,17.777589
-142.184397,147,18.088964
-70.195532,137,18.167394
-76.242055,107,18.221684
-24.842815,86,18.262852
2.021479,163,18.356501
-90.151254,224,18.487385
-24.471256,111,18.544621
-107.899938,110,18.596564
-31.557631,101,18.890381
-55.367571,160,18.980376
-107.750652,125,19.041701
-76.866247,162,19.130125
-49.090148,135,19.197594
-118.277432,158,19.277546
-60.2429,96,19.324507
-0.064098,130,19.631166
-21.496955,105,19.683973
-83.836775,138,19.753351
-62.93416,122,19.814267
-55.55773,138,19.884371
-45.07869,108,19.936974
-90.087692,119,19.993579
-231.48977,196,20.110194
-9.020463,124,20.417334
-86.620342,160,20.49934
-23.689808,143,20.578533
-59.337857,158,20.664208
-54.798595,158,20.746269
-63.957351,117,20.804414
-65.119671,149,20.88092
-72.452104,120,21.18453
-114.53619,189,21.289606
-87.171816,212,21.414487
-17.568092,121,21.473437
-9.784584,92,21.518695
-32.125392,103,21.569024
-22.396523,202,21.679599
-41.818196,116,21.990259
-108.146815,207,22.11438
-60.970093,140,22.187904
-93.010788,125,22.256259
-58.337149,103,22.308041
-88.761292,122,22.366717
-64.466703,127,22.429532
-86.773962,137,22.503573
-69.834351,117,22.816689
-42.646618,94,22.862108
-15.533956,185,22.972406
-96.409345,131,23.038422
-47.051282,82,23.077351
-2.145205,116,23.136665
-40.068574,123,23.199236
-66.774078,100,23.248192
-116.356402,172,23.619196
-73.447762,129,23.683215
-57.44747,160,23.775238
-86.399458,173,23.897031
-103.478104,125,23.97577
-29.791551,221,24.151325
-66.983854,105,24.210345
-49.404773,98,24.539494
-340.413804,260,24.747629
15.552564,130,24.816847
-4.433293,125,24.879259
-86.163523,149,24.955808
8.822882,118,25.015592
-79.329016,168,25.109609
-62.636491,175,25.437654
-3.464337,162,25.524495
-122.282749,159,25.607937
-23.696176,528,26.288173
-150.512316,130,26.634981
-490.24421,640,27.410947
-34.042115,183,27.511953
-41.316662,153,27.894301
10.182041,105,27.950146
-56.76207,129,28.026135
32.555802,108,28.091631
-70.810126,175,28.207057
-33.468074,174,28.324261
-27.330463,141,28.409853
-50.706072,206,28.837364
-93.505076,272,29.064962
-161.216799,316,29.307939
-3.856633,101,29.367192
-144.8096,315,29.928281
-20.191923,113,30.0007
-29.141731,171,30.108847
-55.16721,133,30.187398
20.714847,113,30.255038
-145.261937,417,30.59908
-43.903593,171,30.990972
-26.208828,182,31.100352
2.686422,186,31.220181
-19.734151,182,31.33828
-92.048751,222,31.485333
-9.622809,98,31.819176
-52.262634,137,31.890976
9.651569,100,31.946311
-1.933949,164,32.056223
-262.620149,421,32.428784
-76.29218,248,32.882866
-27.678373,144,32.9624
-29.444781,128,33.043081
-190.863119,272,33.262833
-83.433849,192,33.380535
-13.285747,141,33.460165
-54.524848,276,33.999484
-21.861355,160,34.099586
0.871036,141,34.17711
-23.250056,342,34.543414
0.937083,176,34.677289
-18.0943,136,35.060455
-119.786033,783,35.950772
8.089143,146,36.303349
37.086957,203,36.441467
-9.907628,165,36.53977
-21.343564,161,36.634959
-9.083069,121,36.707184
-94.94434,380,37.407306
-15.870699,104,37.471257
-36.029485,110,37.532854
0.873118,154,37.630228
2.228391,200,37.770413
-43.734144,253,37.960298
53.388007,129,38.031158
39.2802,242,38.476217
-7.396145,262,38.678849
79.240198,1000,40.113103
-6.725363,241,40.279241
-40.651284,256,40.489493
98.746364,1000,42.478481
26.56668,323,43.025816
97.442559,1000,44.650173
111.043407,1000,46.189428
12.42358,192,46.30795
-13.040598,112,46.361351
-157.353795,239,46.521393
-42.526459,105,46.577257
-169.683257,650,47.628197
-82.955842,479,48.076835
-52.847597,108,48.136773
