# {"t_start": 1587356158.9507148, "env_id": "InvertedPendulum-v2"} 
r,l,t
4.0,4,1.439515
16.0,16,1.469547
10.0,10,1.488603
4.0,4,1.496857
6.0,6,1.508855
10.0,10,1.527483
6.0,6,1.539291
14.0,14,1.565328
6.0,6,1.577213
3.0,3,1.583682
12.0,12,1.60678
9.0,9,1.624631
17.0,17,1.655951
10.0,10,1.674599
11.0,11,1.694755
4.0,4,1.702938
5.0,5,1.712747
8.0,8,1.727552
4.0,4,1.735992
11.0,11,1.755743
3.0,3,1.762453
5.0,5,1.771945
7.0,7,1.784968
7.0,7,1.798427
21.0,21,1.835711
5.0,5,1.845853
5.0,5,1.855721
5.0,5,1.865558
6.0,6,1.877279
9.0,9,1.897796
13.0,13,1.925511
3.0,3,1.933438
8.0,8,1.950577
9.0,9,1.96877
3.0,3,1.975551
12.0,12,1.998477
8.0,8,2.013929
6.0,6,2.025661
3.0,3,2.031878
6.0,6,2.044017
9.0,9,2.061054
11.0,11,2.081342
14.0,14,2.10799
9.0,9,2.124727
9.0,9,2.141668
4.0,4,2.149843
6.0,6,2.161115
5.0,5,2.170886
5.0,5,2.180728
9.0,9,2.198463
26.0,26,2.246467
7.0,7,2.259484
8.0,8,2.273789
5.0,5,2.283163
4.0,4,2.291065
5.0,5,2.300215
11.0,11,2.319379
7.0,7,2.33208
6.0,6,2.343259
4.0,4,2.35114
5.0,5,2.360407
4.0,4,2.368221
6.0,6,2.379126
5.0,5,2.388364
6.0,6,2.399216
5.0,5,2.408225
8.0,8,2.422375
4.0,4,2.429968
11.0,11,2.448593
10.0,10,2.463154
5.0,5,2.471042
4.0,4,2.477705
7.0,7,2.488585
5.0,5,2.496329
6.0,6,2.50606
4.0,4,2.513173
5.0,5,2.521155
6.0,6,2.530701
8.0,8,2.542306
4.0,4,2.548737
5.0,5,2.556525
13.0,13,2.575799
7.0,7,2.587952
9.0,9,2.601804
5.0,5,2.609506
5.0,5,2.617633
4.0,4,2.625068
5.0,5,2.633925
9.0,9,2.647427
7.0,7,2.657631
5.0,5,2.66546
6.0,6,2.674476
13.0,13,2.694172
7.0,7,2.705248
4.0,4,2.711506
3.0,3,2.716599
9.0,9,2.729596
12.0,12,2.747254
4.0,4,2.753532
3.0,3,2.758621
11.0,11,2.77454
7.0,7,2.784931
5.0,5,2.792883
21.0,21,2.823425
10.0,10,2.8387
18.0,18,2.864581
4.0,4,2.871061
6.0,6,2.88016
6.0,6,2.889758
7.0,7,2.900274
5.0,5,2.908098
3.0,3,2.914383
7.0,7,2.924762
7.0,7,2.935227
6.0,6,2.945705
16.0,16,2.969235
6.0,6,2.978621
4.0,4,2.986447
3.0,3,2.99192
4.0,4,2.999921
4.0,4,3.00674
11.0,11,3.023686
12.0,12,3.043044
19.0,19,3.073165
6.0,6,3.083876
6.0,6,3.093454
11.0,11,3.11104
10.0,10,3.12739
10.0,10,3.142137
9.0,9,3.155462
4.0,4,3.16248
7.0,7,3.173065
5.0,5,3.181903
10.0,10,3.196871
7.0,7,3.207734
5.0,5,3.215624
22.0,22,3.514117
10.0,10,3.529528
17.0,17,3.555994
4.0,4,3.562693
5.0,5,3.570956
8.0,8,3.582691
13.0,13,3.601948
7.0,7,3.612775
7.0,7,3.623386
6.0,6,3.632137
9.0,9,3.645299
21.0,21,3.678715
6.0,6,3.689559
15.0,15,3.712441
16.0,16,3.737758
9.0,9,3.75321
9.0,9,3.76725
20.0,20,3.798891
4.0,4,3.80619
15.0,15,3.82779
5.0,5,3.83708
6.0,6,3.846915
4.0,4,3.853646
9.0,9,3.866951
4.0,4,3.87367
14.0,14,3.895243
15.0,15,3.919496
15.0,15,3.942217
3.0,3,3.947524
7.0,7,3.958743
12.0,12,3.976375
6.0,6,3.986875
10.0,10,4.002308
8.0,8,4.014055
10.0,10,4.030004
6.0,6,4.039622
6.0,6,4.05012
4.0,4,4.056975
7.0,7,4.068585
7.0,7,4.079433
22.0,22,4.112469
4.0,4,4.119395
6.0,6,4.129691
6.0,6,4.138932
7.0,7,4.150266
5.0,5,4.158554
16.0,16,4.182935
4.0,4,4.189459
16.0,16,4.212372
7.0,7,4.224042
7.0,7,4.234861
4.0,4,4.241924
11.0,11,4.2586
3.0,3,4.263544
6.0,6,4.272623
13.0,13,4.293379
8.0,8,4.30679
7.0,7,4.317236
6.0,6,4.326104
11.0,11,4.343411
8.0,8,4.355355
5.0,5,4.364983
12.0,12,4.386273
7.0,7,4.40045
11.0,11,4.420726
19.0,19,4.453621
8.0,8,4.468791
9.0,9,4.485207
10.0,10,4.503408
10.0,10,4.521828
15.0,15,4.548177
27.0,27,4.594169
4.0,4,4.602222
10.0,10,4.62015
7.0,7,4.633148
5.0,5,4.643418
16.0,16,4.670773
11.0,11,4.690518
16.0,16,4.718129
4.0,4,4.725811
6.0,6,4.736757
13.0,13,4.759239
4.0,4,4.766765
11.0,11,4.785827
16.0,16,4.812672
5.0,5,4.821819
3.0,3,4.827905
7.0,7,4.840717
7.0,7,4.853832
9.0,9,4.86967
6.0,6,4.880699
7.0,7,4.893539
8.0,8,4.908486
15.0,15,4.935813
5.0,5,4.945218
11.0,11,4.964993
14.0,14,4.989522
7.0,7,5.003157
25.0,25,5.049147
8.0,8,5.064346
9.0,9,5.081269
4.0,4,5.088972
4.0,4,5.096983
5.0,5,5.106487
7.0,7,5.119503
6.0,6,5.130663
6.0,6,5.141841
10.0,10,5.159873
50.0,50,5.37761
11.0,11,5.399487
3.0,3,5.406071
13.0,13,5.431642
15.0,15,5.460684
29.0,29,5.516549
6.0,6,5.528613
23.0,23,5.576696
8.0,8,5.595066
15.0,15,5.624488
16.0,16,5.655479
9.0,9,5.672121
4.0,4,5.680247
3.0,3,5.686686
7.0,7,5.699454
11.0,11,5.719877
