# {"t_start": 1587265860.8336372, "env_id": "Ant-v2"} 
r,l,t
-142.171175,113,0.769677
-19.060187,20,0.810264
-54.186869,39,0.890588
-202.094629,110,1.120547
-20.637584,19,1.160445
-62.478963,62,1.286205
-32.905037,38,1.367414
-16.291756,19,1.407715
-19.785377,20,1.451083
-7.460494,16,1.48562
-21.163669,29,1.548019
-11.609529,12,1.574785
-9.982129,13,1.60225
-79.644705,67,1.74
-47.906614,37,1.813369
-252.188772,207,2.256777
-17.332327,23,2.303908
-1072.326168,1000,4.369261
-31.341373,25,4.421637
-24.880684,39,4.499234
-35.954906,37,4.577661
-43.968145,47,4.673728
-85.125322,68,4.832347
-6.222405,18,4.876695
-1116.294475,1000,7.697719
-24.167496,30,7.786383
-13.195203,16,7.865093
-33.185436,48,8.031856
-65.453476,49,8.180268
-107.937124,94,8.447071
-59.433075,75,8.661406
-73.535603,62,8.836861
-10.260313,17,8.885418
-1127.334664,1000,11.825027
-19.944321,16,11.871499
-83.292473,56,12.045458
-55.452567,36,12.152692
-14.37107,33,12.243044
-20.909761,19,12.296027
-31.294167,33,12.388268
-49.899262,28,12.470719
-6.486509,26,12.544746
-22.290524,23,12.606981
-53.970381,36,12.709197
-18.907682,31,12.794814
-132.521123,96,13.057168
-174.84385,107,13.353155
-115.102256,95,13.61052
-35.452339,31,13.705654
-124.464172,114,14.046268
-58.560759,48,14.181025
-368.007324,242,14.894823
-29.037055,25,14.973404
-51.328474,52,15.147862
-110.180596,56,15.316418
-73.294012,70,15.542653
-30.672573,20,15.606607
-25.511583,21,15.668074
-44.785042,41,15.788158
-76.423343,59,15.95441
-37.79775,24,16.022707
-6.516994,20,16.079209
-35.875967,27,16.154956
-18.010394,12,16.189641
-57.789516,57,16.355283
-68.580066,73,16.565656
-46.562383,41,16.682929
-13.877856,30,16.767698
-14.453876,10,16.796153
-71.398594,58,16.96209
-35.68452,22,17.024729
-62.239832,43,17.144534
-62.590332,40,17.254635
-162.275005,101,17.536496
-29.374742,31,17.625057
-32.732228,33,17.715348
-55.060269,53,17.862659
-13.721275,27,17.934581
-28.765343,19,17.987123
-2.383399,28,18.064463
-22.651181,21,18.121419
-21.696035,37,18.220608
-23.569251,12,18.259948
-20.392729,13,18.29605
-27.103264,34,18.386096
-59.47276,61,18.555509
-16.208818,25,18.630138
-11.762598,16,18.675465
-10.173208,23,18.737167
-73.636723,62,18.910606
-17.140024,18,18.961485
-0.584338,12,18.994502
-54.316345,34,19.085058
-23.485999,25,19.152233
-28.216782,20,19.206222
-49.392657,88,19.450396
-19.320215,19,19.502862
-53.828153,55,19.654045
-91.848253,61,19.81808
-38.791354,31,19.902868
-90.647726,51,20.038098
-29.371907,64,20.210711
-33.341335,17,20.257239
-1167.591703,1000,22.935585
-15.00554,9,22.960916
-62.354395,63,23.131869
-96.053958,90,23.373945
-63.582583,36,23.471791
-1240.981817,1000,26.226888
-65.077349,62,26.393265
-30.202678,24,26.458033
-18.765953,27,26.531382
-84.098977,46,26.653424
-51.564347,40,26.765629
-2.445191,10,26.792238
-71.955318,48,26.920036
-68.131684,73,27.115669
-21.44105,33,27.205628
-26.522083,13,27.240718
-58.163811,76,27.448944
-28.174187,15,27.488891
-54.242537,40,27.595585
-189.147275,126,27.933694
-21.767958,22,27.992416
-1235.087833,1000,30.719763
-21.276962,16,30.762749
-11.276921,24,30.827087
-46.767581,36,30.92412
-33.036668,12,30.957747
-19.486869,24,31.021262
-82.994179,69,31.203014
-44.813937,23,31.266358
-53.530355,42,31.378862
-93.558889,78,31.589669
-26.942767,42,31.700874
-78.199156,82,31.921747
-81.367352,53,32.062466
-1397.807093,1000,34.773216
-1316.416477,1000,37.439336
-34.356423,20,37.493613
-36.442445,47,37.618644
-109.097707,85,37.844005
-40.557774,24,37.908973
-11.336291,12,37.940178
-13.051368,24,38.006379
-37.817104,32,38.092537
-30.34834,37,38.191729
-26.712835,22,38.252131
-113.683004,75,38.455891
-19.28559,16,38.498284
-41.201741,28,38.576181
-85.83467,68,38.757533
-72.072824,43,38.873245
-23.281155,19,38.924367
-11.848653,12,38.956819
-9.25863,13,38.992752
-33.448776,26,39.063321
6.288027,22,39.122779
-80.218149,48,39.260482
-28.278323,24,39.325634
-70.26882,57,39.479261
-57.479268,68,39.662416
-185.794877,102,39.938579
-28.100461,17,39.983967
-73.100562,53,40.123625
-10.099342,10,40.150036
-50.685037,26,40.22063
-60.883087,40,40.328789
-72.78469,42,40.44126
-37.468496,21,40.498497
-11.840371,13,40.536828
-80.366977,55,40.685996
-42.302906,29,40.763397
-79.990762,65,40.937429
