# {"t_start": 1587341424.5744152, "env_id": "HalfCheetah-v2"} 
r,l,t
-353.974458,1000,1.581374
-308.39828,1000,2.774039
-547.251545,1000,3.978782
-420.85679,1000,5.293297
-334.227946,1000,6.482738
-139.385082,1000,7.680974
-304.553163,1000,8.872814
-358.288855,1000,10.089469
-272.736888,1000,11.32385
-376.440965,1000,12.660005
-351.316075,1000,13.905077
-354.549578,1000,15.106956
-451.600591,1000,16.313584
-376.906671,1000,17.502776
-357.951501,1000,18.672593
-395.249074,1000,19.831743
-486.486636,1000,21.02478
-475.415846,1000,22.194002
-281.110581,1000,23.360456
-364.198322,1000,24.512647
-274.325272,1000,25.664335
-334.053778,1000,26.818858
-197.376509,1000,27.969469
-396.502437,1000,29.128787
-278.637603,1000,30.278484
-217.344543,1000,31.438989
-360.769524,1000,32.603198
-307.856491,1000,33.775239
-309.961482,1000,34.944352
-324.545071,1000,36.10263
-340.127442,1000,37.259426
-412.86597,1000,38.444469
-280.424505,1000,39.709332
-236.184329,1000,40.998323
-322.767104,1000,42.211919
-193.326482,1000,43.444571
-76.655071,1000,44.691188
-186.456073,1000,45.937082
-202.647615,1000,47.156398
-68.733087,1000,48.316139
-189.438381,1000,49.473097
-130.830547,1000,50.649632
-73.948457,1000,51.809814
-478.528758,1000,52.972849
-135.844209,1000,54.134215
-180.10353,1000,55.297852
-283.496338,1000,56.456009
-178.775631,1000,57.614239
-142.046578,1000,58.771058
-73.188777,1000,59.928159
-88.095132,1000,61.082674
25.929963,1000,62.24319
-74.092875,1000,63.410647
0.934603,1000,64.567347
-269.676276,1000,65.717045
-90.552619,1000,66.874551
-142.248861,1000,68.037453
-80.802511,1000,69.202331
117.567015,1000,70.365704
-100.752405,1000,71.533427
-103.097286,1000,72.694568
-285.798082,1000,73.852688
12.807344,1000,75.025209
-5.614366,1000,76.185713
-128.230174,1000,77.348514
-3.281676,1000,78.516043
-33.319544,1000,79.685708
-0.813451,1000,80.851073
82.467591,1000,82.022756
-52.174498,1000,83.195591
-36.277925,1000,84.363924
