# {"t_start": 1587285769.9927628, "env_id": "Hopper-v2"} 
r,l,t
16.261636,23,0.700591
15.016644,34,0.776211
11.803921,30,0.84112
9.830354,12,0.866416
30.584484,25,0.921234
10.617195,13,0.949989
12.54349,13,0.977341
8.327799,12,1.004681
14.28176,24,1.058577
7.496768,11,1.083287
13.446646,15,1.11628
18.58443,22,1.165443
8.038229,10,1.187566
8.317591,15,1.22012
23.68736,22,1.270161
11.592906,36,1.349229
9.742992,24,1.402226
8.928445,11,1.427204
51.317734,45,1.526317
9.736699,11,1.552088
22.879317,23,1.602919
10.144165,20,1.646833
7.327784,11,1.671386
11.269441,27,1.728247
17.821102,18,1.767463
7.793358,14,1.798668
5.568466,10,1.821107
8.403354,11,1.843848
11.574737,26,1.898898
10.672915,14,1.928998
18.970439,21,1.973601
10.010773,22,2.020318
20.242921,21,2.065253
17.704853,21,2.109937
9.073702,22,2.157431
10.972449,28,2.218663
11.581223,12,2.244254
9.707926,13,2.273814
16.333855,26,2.328978
8.561023,13,2.357257
11.505619,18,2.396008
8.285899,14,2.426259
11.060848,13,2.45468
15.643789,18,2.492289
15.377956,20,2.535266
9.240878,13,2.563608
11.191507,15,2.596521
6.363983,9,2.616129
20.015105,26,2.671603
28.480317,25,2.725192
5.735801,11,2.748209
10.516016,17,2.783765
46.170661,55,2.903273
11.228292,19,2.944397
19.767114,23,2.993846
20.80223,25,3.047214
8.331483,13,3.074388
14.243732,15,3.106485
59.733649,36,3.186086
7.253298,9,3.204922
7.812799,24,3.256639
8.813385,11,3.279429
7.502253,14,3.309204
4.87823,8,3.326623
7.071837,15,3.359152
20.844701,36,3.435822
9.483629,13,3.464018
16.779504,18,3.503294
7.578565,12,3.529903
7.176458,9,3.548987
12.927712,15,3.581853
9.434978,14,3.612027
19.453487,21,3.65715
22.943998,26,3.714467
11.146376,14,3.744253
25.417688,49,3.85113
7.913138,13,3.879617
15.694624,17,3.917162
11.68669,15,3.950138
7.769916,17,3.988153
13.394863,28,4.047609
8.624597,19,4.089031
16.125661,18,4.128404
6.762096,8,4.145747
8.20065,11,4.169414
8.175332,24,4.222429
19.191316,18,4.262937
17.542281,17,4.299268
17.233132,16,4.333284
11.05817,18,4.372277
12.506896,13,4.401065
12.941006,14,4.430008
10.88451,23,4.481602
11.534593,17,4.518041
6.528018,9,4.537627
18.904527,32,4.610231
8.788785,15,4.642962
14.386865,22,4.689382
10.221244,15,4.722033
6.959909,9,4.741915
24.823,31,4.809075
20.689775,26,4.866601
30.703506,31,4.933692
7.004579,10,4.955658
6.321353,8,4.973123
3.889639,17,5.009839
10.110088,16,5.045506
10.490249,14,5.075426
13.649551,15,5.107568
9.793067,19,5.149056
7.266297,10,5.170755
45.500224,46,5.269461
17.437735,17,5.307526
10.533354,18,5.346213
7.89469,17,5.386376
9.838776,15,5.420424
9.015932,11,5.444702
9.575004,12,5.472111
7.150351,9,5.494198
8.098252,16,5.529865
10.775685,15,5.562883
12.465696,17,5.600917
9.35385,12,5.626585
7.707084,14,5.657149
3.513226,24,5.709751
13.871636,18,5.748891
5.920328,12,5.776237
8.444404,11,5.800275
5.841792,13,5.829962
11.503404,13,5.857781
9.528552,24,5.911091
12.104777,14,5.942355
14.630017,18,5.981507
9.471222,14,6.01523
9.413386,13,6.047369
19.242546,18,6.086892
5.029607,12,6.114657
11.202728,13,6.141468
9.249812,12,6.1681
4.806005,7,6.182609
12.717794,25,6.235994
5.307479,12,6.263018
11.106669,15,6.296897
13.761702,14,6.326457
26.535467,26,6.383195
11.141489,27,6.440818
19.520874,21,6.485743
8.833928,20,6.528042
5.034502,10,6.551252
18.526138,19,6.593327
14.681045,26,6.65011
4.813615,16,6.68449
10.863951,31,6.751254
5.804236,10,6.77292
11.260188,14,6.803478
31.310639,26,6.859848
10.209265,11,6.883573
4.96665,14,6.914447
14.922151,24,6.965769
8.946286,13,6.994392
11.123901,22,7.041278
18.531849,36,7.120249
14.989848,17,7.156366
19.12137,18,7.196474
7.485663,12,7.222333
6.337803,8,7.241122
9.701571,13,7.268176
51.270113,53,7.383624
9.91066,29,7.445412
7.415206,16,7.47992
31.195973,30,7.544533
8.073105,11,7.56773
13.945425,18,7.606998
8.762088,14,7.636623
21.076437,23,7.686695
87.945513,52,7.798164
11.642344,23,7.848167
8.520234,13,7.876559
33.750689,30,7.941296
5.1628,15,7.974166
11.90852,14,8.004308
5.356774,9,8.024366
12.461152,19,8.065112
16.599875,19,8.106692
17.745155,23,8.155743
18.866588,31,8.223347
14.328522,27,8.280217
17.581659,19,8.322089
7.865975,10,8.343679
9.249216,26,8.399859
61.389183,58,8.532242
19.86442,19,8.573182
80.528696,49,8.683608
24.286711,33,8.760571
38.137427,33,8.834357
27.702445,22,8.885093
5.558374,10,8.907777
9.822349,12,8.934292
15.806979,24,8.989011
15.074474,23,9.045906
35.603709,31,9.11789
31.150093,26,9.176219
114.487903,60,9.310252
27.038801,46,9.412106
11.113417,18,9.453522
8.823364,13,9.482367
16.582318,18,9.522921
11.351336,13,9.551885
75.403085,44,9.649766
7.615716,12,9.6776
12.78372,14,9.709255
12.569699,14,9.739241
26.519393,27,9.79941
21.284223,21,9.846206
27.97244,28,9.909279
41.02414,36,9.99026
14.505546,16,10.02621
66.37149,41,10.11821
22.356489,27,10.178466
70.620379,42,10.270549
58.716462,34,10.347292
29.13241,24,10.401201
10.38194,19,10.443334
87.87276,52,10.560806
8.654724,14,10.59248
70.334055,41,10.68345
7.410165,28,10.745563
25.202771,22,10.795125
7.550733,9,10.81449
6.274574,12,10.840812
30.946048,28,10.902531
54.992674,33,10.973133
66.370942,40,11.060937
45.731341,27,11.121495
62.920989,37,11.202252
18.947297,21,11.249315
15.669185,16,11.283762
55.966954,36,11.363061
46.535034,28,11.423027
17.033558,17,11.461198
54.687952,44,11.559026
50.307152,30,11.629166
6.903563,11,11.655379
4.179961,7,11.67081
48.484139,29,11.736247
52.832452,32,11.805948
51.147186,30,11.871518
46.049044,27,11.930014
45.792907,27,11.987918
39.487978,23,12.039418
56.263318,45,12.136701
43.061387,25,12.192003
50.852132,31,12.260394
41.723125,24,12.312594
40.584926,24,12.363591
45.602923,27,12.422582
40.522243,24,12.474346
44.726337,26,12.530009
44.445564,26,12.584204
14.615242,17,12.620856
45.940241,27,12.679022
40.036062,23,12.728835
42.632674,25,12.786087
40.072149,23,12.836704
40.13835,23,12.887912
36.421481,21,12.933382
42.012133,24,12.984819
41.240242,24,13.035223
38.613631,22,13.08376
41.774981,24,13.135793
47.454654,27,13.193336
44.5458,25,13.247024
41.437779,24,13.300714
40.288208,23,13.350168
49.548069,28,13.411329
41.952081,24,13.463788
38.408638,22,13.511473
41.841349,24,13.563946
38.14693,22,13.611678
50.397559,28,13.673624
48.020566,27,13.731569
39.92614,23,13.78131
47.558965,27,13.839556
45.824272,26,13.897632
42.478297,25,13.951609
44.544536,26,14.006965
43.275147,25,14.061255
41.116628,27,14.121643
50.632957,29,14.188936
44.990559,26,14.245627
58.579217,33,14.320559
55.14563,31,14.389737
39.965979,23,14.440736
39.827434,23,14.489237
41.047955,26,14.544987
42.62604,25,14.599676
47.847949,28,14.662992
46.286845,28,14.728544
39.722233,23,14.777995
55.607266,33,14.850127
49.300647,29,14.915399
44.023742,26,14.972023
44.577272,26,15.029168
47.521158,29,15.094959
48.892973,29,15.160108
45.657458,28,15.221956
69.902891,40,15.316882
48.491988,32,15.389512
39.879351,23,15.440107
52.620476,32,15.511903
43.432924,26,15.56977
53.774911,32,15.640495
56.783116,32,15.711673
47.387076,28,15.773728
47.843649,29,15.84028
43.802245,26,15.897695
74.10225,43,15.993352
42.160112,25,16.049509
45.338871,27,16.10854
39.639193,23,16.15928
45.414425,27,16.218544
46.550984,28,16.280419
52.242649,32,16.350014
45.068961,27,16.409957
46.597334,28,16.470046
44.369654,26,16.527552
48.156917,28,16.590422
41.509012,24,16.643259
43.889114,26,16.700305
41.354587,24,16.752844
45.832512,27,16.810973
42.782561,25,16.865709
39.113236,23,16.917098
40.854298,24,16.969909
42.320289,25,17.02291
46.279813,28,17.082974
55.243919,33,17.15405
51.067874,31,17.221549
49.065595,30,17.285324
45.372111,27,17.342226
46.842199,28,17.402745
41.285881,24,17.453971
45.527314,27,17.510534
45.704252,27,17.570741
49.392459,29,17.632623
40.894462,24,17.686004
44.217893,26,17.742901
46.131589,27,17.8026
46.477799,28,17.86273
44.722913,27,17.922282
42.39347,25,17.9765
42.292769,25,18.029534
61.978136,38,18.110783
