#{"t_start": 1591523144.144429, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-305.812667,84,0.728867
-123.492475,95,0.824731
-143.113851,118,0.943329
-365.423984,97,1.037029
-67.283517,73,1.108167
-252.457002,107,1.210241
-192.081599,121,1.320284
-211.027217,183,1.51187
-274.201307,87,1.59163
-266.301157,165,1.759439
-193.052242,141,1.897535
-389.776829,110,1.995078
-5.127994,92,2.06849
-54.431307,194,2.268903
-268.754042,182,2.44124
-318.984165,200,2.630885
10.759681,105,2.716884
-13.963441,82,2.793101
-114.117711,91,2.88138
-88.599619,114,2.994
-78.631285,114,3.107651
-324.049357,149,3.255844
-265.269061,130,3.366745
-485.090027,91,3.439263
-378.374754,293,3.804168
-387.352479,442,4.452451
-307.866584,168,4.63047
-473.773749,134,4.757538
-781.255581,237,4.991828
-69.661559,103,5.08197
-412.3812,118,5.193829
-78.898937,119,5.311892
-366.508021,128,5.428573
-226.701551,118,5.543401
-507.230033,160,5.708531
-297.135669,132,5.84502
-186.366789,117,5.950981
-363.554486,183,6.136883
-490.354068,153,6.300665
-576.248403,124,6.430836
-304.359964,123,6.57181
-697.059833,124,6.702658
-949.336318,129,6.834228
-562.724646,101,6.932356
-504.644891,81,7.001744
-589.791868,95,7.109743
-469.758067,95,7.20803
-455.092102,86,7.286098
-656.482965,85,7.371341
-824.740305,104,7.487917
-517.028613,125,7.618831
-640.76247,95,7.709531
-592.814279,121,7.832274
-60.541154,155,8.013059
-181.088532,175,8.216698
-234.573627,112,8.326289
-294.489085,89,8.410128
-545.34607,133,8.547832
-559.091369,117,8.669447
-471.815874,142,8.808414
-244.213062,142,8.943804
-561.474771,126,9.055659
-282.776443,95,9.148889
-78.268736,122,9.271591
-433.066277,116,9.395355
-578.631109,108,9.512999
-641.143407,133,9.652619
-408.800159,134,9.796088
-356.605734,155,9.966434
-37.319737,114,10.076081
35.934055,153,10.221713
-786.373099,154,10.358792
-332.866045,120,10.472265
-553.011955,220,10.672468
-447.935001,121,10.769449
-401.956717,126,10.886773
-563.480828,246,11.17378
-343.192988,114,11.288646
-330.558143,119,11.422221
-625.446877,114,11.539583
-399.57407,133,11.677809
-554.229111,161,11.845552
-343.984291,163,12.015265
-1027.484789,110,12.124141
-365.032466,109,12.232159
-625.258478,172,12.406051
-595.406063,159,12.564549
