# {"t_start": 1587098665.133898, "env_id": "Walker2d-v2"} 
r,l,t
-2.343992,15,0.427474
6.72785,24,0.46145
-3.727424,11,0.475787
9.127554,33,0.51872
18.108043,32,0.559965
-1.160772,13,0.577832
-7.455017,36,0.625529
-1.453726,19,0.650958
-2.090818,19,0.676783
-0.72034,25,0.712138
5.536484,29,0.755571
-1.310055,26,0.791793
-3.360177,12,0.807852
-2.78339,15,0.827369
2.805809,26,0.862629
-5.957095,19,0.889783
0.030526,22,0.919544
-5.270435,8,0.930662
0.59609,10,0.944131
9.349941,29,0.985359
8.514889,20,1.012893
-2.360403,14,1.033821
-8.964596,16,1.054474
-6.094852,16,1.075836
3.735951,18,1.101977
-1.595581,18,1.127141
-3.051364,12,1.147416
-2.79362,10,1.161524
0.567374,13,1.178635
-13.061991,17,1.202433
-8.789137,21,1.233491
4.43983,25,1.266785
2.765039,27,1.301755
-4.068662,25,1.335692
1.925776,15,1.356304
-4.922131,21,1.386875
-1.928731,7,1.395951
3.009218,31,1.437823
0.503651,21,1.470265
-2.265393,8,1.482535
-3.235173,8,1.495341
-1.931477,17,1.518465
-5.239834,20,1.547154
1.071467,19,1.572585
-9.359156,15,1.595397
-1.772382,21,1.624445
-3.381244,31,1.669612
4.233158,31,1.71297
5.313814,29,1.752117
6.909423,21,1.780709
-1.627383,13,1.799409
3.701057,15,1.820466
0.123721,15,1.841641
-8.220304,20,1.869271
-1.547517,20,1.896741
-5.18026,19,1.923059
-1.03084,19,1.949113
-2.593882,20,1.977251
0.573121,12,1.994051
1.363861,18,2.019731
-5.228932,20,2.047895
43.25216,48,2.112019
-7.609118,20,2.13948
-2.125915,10,2.152837
8.111827,22,2.182525
8.233651,29,2.221259
-3.060792,10,2.234246
0.695493,12,2.250678
-4.889052,10,2.263586
-1.256402,11,2.278692
12.861178,33,2.322951
2.996319,13,2.340281
2.465208,14,2.358792
-11.567828,16,2.380069
7.425297,34,2.42531
3.383451,20,2.452346
-0.40835,11,2.46854
-3.039366,8,2.479917
3.348733,16,2.501907
-2.089158,10,2.516535
-5.579819,6,2.524571
-3.128089,20,2.55172
0.415621,11,2.565988
1.054809,27,2.603314
-2.090064,16,2.624725
-0.952865,10,2.638927
8.6359,19,2.663899
-7.225276,17,2.686106
-1.685521,8,2.69682
1.018119,14,2.718593
-4.382584,8,2.729142
-3.208885,8,2.74035
-3.851551,23,2.770379
-0.481913,14,2.789286
3.650237,27,2.827063
2.391378,21,2.854932
3.018989,14,2.874036
-9.18938,32,2.916097
-0.593456,9,2.92866
-3.763442,17,2.951958
-2.883888,25,2.987533
1.022545,14,3.006146
-5.59132,23,3.03671
9.329368,19,3.061225
-3.976457,13,3.079197
-6.733659,11,3.094839
-1.721528,12,3.111477
-0.287904,13,3.128687
6.350915,23,3.159237
2.425999,13,3.177144
0.920726,10,3.190933
-3.733155,10,3.207245
3.506113,24,3.239419
-7.928748,23,3.270866
-3.802237,13,3.288201
-7.016879,17,3.310886
-4.24185,20,3.336963
-1.794478,16,3.358594
0.664872,12,3.373871
-0.741893,12,3.390862
-3.929948,9,3.402547
-4.684504,16,3.423362
-1.983707,10,3.43679
6.057474,29,3.476551
5.116034,25,3.508576
3.158174,15,3.528365
2.511636,13,3.545744
-1.151921,14,3.565558
4.562216,35,3.611764
9.82142,26,3.650933
0.784872,13,3.669997
-2.185682,16,3.693573
-4.330246,19,3.723111
3.570571,15,3.743176
-6.186407,13,3.760973
-6.113811,16,3.783541
-8.683198,18,3.809489
