# {"t_start": 1587095559.6288881, "env_id": "HalfCheetah-v2"} 
r,l,t
-344.086388,1000,1.732809
-393.653536,1000,2.749491
-270.1168,1000,4.096357
-415.872184,1000,5.125435
-342.583933,1000,6.429406
-299.644887,1000,7.53989
-424.666228,1000,8.946512
-407.002459,1000,10.040392
-365.934931,1000,11.407011
-202.535693,1000,12.562368
-279.782379,1000,14.071123
-302.63917,1000,15.170545
-262.42737,1000,16.530294
-125.575473,1000,17.584287
-288.418531,1000,18.913505
-247.501106,1000,19.971513
-200.761052,1000,21.423587
-209.533345,1000,22.508183
-262.882406,1000,23.876887
-458.051782,1000,24.931092
-303.551207,1000,26.331747
-287.098739,1000,27.388001
-313.779716,1000,28.806015
-289.198694,1000,29.913348
-391.893878,1000,31.297411
-302.811967,1000,32.351915
-222.641184,1000,33.670112
-242.707615,1000,34.703393
-286.303172,1000,36.041879
-136.997034,1000,37.075325
-277.047867,1000,38.396605
-207.36308,1000,39.494235
-96.956039,1000,40.904989
-170.093407,1000,42.011573
-435.939296,1000,43.417869
-323.205342,1000,44.46456
-247.52566,1000,45.82393
-258.01056,1000,46.919983
-172.985515,1000,48.319065
-172.030027,1000,49.379816
-156.900951,1000,50.790693
-220.689622,1000,51.888192
-269.877341,1000,52.990255
-157.214571,1000,54.447062
-335.610528,1000,55.531164
-245.388669,1000,56.91117
-232.850984,1000,57.964545
0.548095,1000,59.531738
-208.577768,1000,60.708029
12.429952,1000,62.336467
-102.008526,1000,63.433074
-138.08739,1000,64.899697
-156.327538,1000,65.997404
-174.189539,1000,67.422267
-36.223243,1000,68.495021
-260.964487,1000,69.898212
-198.043397,1000,71.02902
32.373173,1000,72.464229
25.06199,1000,73.607318
17.300287,1000,75.114643
-31.284129,1000,76.2336
63.299423,1000,77.646895
-48.266107,1000,78.711713
-94.319335,1000,80.087274
-107.821192,1000,81.1502
-202.236856,1000,82.568793
40.973749,1000,83.636935
-119.661753,1000,85.085241
58.885949,1000,86.199742
-155.336514,1000,87.574916
57.838174,1000,88.629309
133.141955,1000,90.065433
13.484709,1000,91.139011
-175.894193,1000,92.530985
98.862018,1000,93.634494
103.371908,1000,95.032644
-78.181684,1000,96.077535
127.413386,1000,97.485452
134.16699,1000,98.56144
18.100511,1000,100.011311
122.599428,1000,101.077694
-83.679831,1000,102.44977
73.903102,1000,103.52252
212.198634,1000,104.909598
121.161627,1000,105.962731
155.457424,1000,107.028299
201.571428,1000,108.439827
169.945693,1000,109.516648
-261.932596,1000,110.883883
250.131035,1000,111.946831
266.115961,1000,113.30889
82.774157,1000,114.400834
185.11176,1000,115.782854
171.619683,1000,116.850622
281.613535,1000,118.188197
172.38381,1000,119.227175
302.174722,1000,120.563092
204.706718,1000,121.614048
-117.257583,1000,122.949228
286.14659,1000,123.992021
241.868659,1000,125.325877
336.839013,1000,126.357058
325.355964,1000,127.696455
209.843987,1000,128.752479
501.776301,1000,130.095023
168.62426,1000,131.139845
383.875075,1000,132.499653
444.256665,1000,133.571507
401.992269,1000,134.940656
336.785218,1000,136.007105
329.716358,1000,137.41649
503.582349,1000,138.510171
396.863528,1000,139.93328
405.206116,1000,141.005738
524.767403,1000,142.362146
510.646344,1000,143.420724
580.995802,1000,144.800934
333.012019,1000,145.889974
-116.022581,1000,147.323254
530.381621,1000,148.421484
572.721155,1000,149.859711
621.373808,1000,150.924798
521.589323,1000,152.299116
396.276643,1000,153.37661
577.828123,1000,154.817384
546.052804,1000,155.916236
575.085401,1000,157.367092
521.102614,1000,158.438201
696.307863,1000,159.497697
566.881922,1000,160.84901
657.155056,1000,161.90951
692.008905,1000,163.265649
579.77111,1000,164.319288
672.146642,1000,165.671226
512.456785,1000,166.733685
658.530381,1000,168.095935
557.814863,1000,169.178345
831.932987,1000,170.555577
619.932852,1000,171.688855
81.752282,1000,173.146838
814.710708,1000,174.233565
690.960674,1000,175.624239
706.35784,1000,176.745864
952.346871,1000,178.159733
860.970651,1000,179.231662
534.873796,1000,180.650052
593.997411,1000,181.724866
608.969004,1000,183.089566
742.40292,1000,184.159432
918.029225,1000,185.552016
737.22855,1000,186.662438
836.654204,1000,188.13071
840.335221,1000,189.223735
841.018892,1000,190.600856
757.918459,1000,191.666091
929.194769,1000,193.026769
785.978904,1000,194.131108
308.458413,1000,195.59041
226.274547,1000,196.690788
837.803347,1000,198.067075
926.653959,1000,199.124313
1062.299704,1000,200.456424
1163.688874,1000,201.495314
1076.619793,1000,202.839796
1086.88905,1000,203.874414
390.009858,1000,205.211887
868.419527,1000,206.2603
1074.370306,1000,207.605543
110.580835,1000,208.637362
950.403739,1000,209.962277
1020.624224,1000,211.003338
796.575818,1000,212.039482
-237.555536,1000,213.378873
-28.507738,1000,214.422357
1199.054814,1000,215.769955
980.880882,1000,216.806421
1091.258583,1000,218.146233
1084.812342,1000,219.183058
1147.068582,1000,220.52434
1113.772323,1000,221.550889
1284.943033,1000,222.895326
1105.833031,1000,223.919593
1114.813131,1000,225.252091
1263.648053,1000,226.341125
179.716489,1000,227.765633
1010.683032,1000,228.836069
1034.437562,1000,230.199291
965.758827,1000,231.25918
1362.939367,1000,232.627066
1038.037303,1000,233.680349
1343.201027,1000,235.096201
138.200467,1000,236.162103
1021.175149,1000,237.535053
1421.257168,1000,238.614557
-120.61363,1000,239.975664
700.8961,1000,241.028851
849.052283,1000,242.381211
1156.396454,1000,243.431512
1189.713215,1000,244.793473
-184.49727,1000,245.891077
1252.32493,1000,247.326377
1416.143261,1000,248.412412
1206.409223,1000,249.818068
1337.809384,1000,250.905295
435.309043,1000,252.318339
1207.930002,1000,253.368366
1468.215738,1000,254.772754
1378.949251,1000,255.864236
934.288859,1000,257.287873
345.862423,1000,258.391904
1003.194874,1000,259.762544
450.083786,1000,260.839082
1294.610948,1000,262.234735
1459.686896,1000,263.286419
1487.109066,1000,264.370702
1362.844855,1000,265.763481
986.379812,1000,266.822162
577.949975,1000,268.20191
1517.861168,1000,269.300517
1523.477994,1000,270.707598
1245.935312,1000,271.825264
1184.680978,1000,273.223534
1450.646328,1000,274.28268
1460.04763,1000,275.643291
1451.121027,1000,276.735741
427.175665,1000,278.173691
1462.130549,1000,279.353394
1293.698113,1000,280.807607
1465.520388,1000,281.911759
1503.559177,1000,283.290822
243.815925,1000,284.407022
1492.550925,1000,285.842856
1542.572577,1000,286.931155
1536.979568,1000,288.336861
1272.960086,1000,289.40856
1365.616687,1000,290.850571
1362.900893,1000,291.947561
1476.533101,1000,293.304553
1429.785945,1000,294.402631
60.688078,1000,295.771653
1419.892414,1000,296.825307
-83.889071,1000,298.251428
1724.758583,1000,299.336288
1521.330819,1000,300.794055
-159.484198,1000,301.911375
1461.082086,1000,303.345384
1322.660997,1000,304.446611
1346.630514,1000,305.909091
1656.42609,1000,307.031656
1747.9377,1000,308.46243
1649.802389,1000,309.578295
1469.117575,1000,311.029831
1601.34632,1000,312.159869
1642.5755,1000,313.540601
1443.246014,1000,314.614123
181.482847,1000,315.695078
1473.504167,1000,317.123926
1518.431775,1000,318.150552
1414.484752,1000,319.515412
89.202651,1000,320.610754
1530.362426,1000,321.956046
1774.406725,1000,323.001606
1616.97704,1000,324.394407
1646.674763,1000,325.44854
1534.664845,1000,326.813377
1516.419901,1000,327.870871
1560.840062,1000,329.264755
