# {"t_start": 1587322713.422708, "env_id": "Hopper-v2"} 
r,l,t
5.559881,9,0.751498
15.416541,22,0.777708
5.00423,11,0.790038
12.749877,17,0.809748
7.41635,10,0.821331
19.802256,23,0.848896
38.408089,32,0.887739
14.794441,18,0.909873
7.904206,15,0.927715
7.725362,13,0.942114
17.397351,18,0.962016
10.723235,14,0.97749
17.809558,17,0.997841
12.842375,16,1.016259
9.609405,18,1.036766
6.476793,9,1.046633
9.846979,15,1.062879
18.935824,25,1.090516
5.230347,9,1.100673
15.005076,17,1.119565
8.111637,10,1.130733
7.750612,14,1.146426
48.628215,41,1.195384
6.132228,14,1.212739
21.846066,22,1.238812
3.861158,8,1.248809
9.001558,11,1.262178
9.011729,14,1.27924
8.152835,11,1.292263
8.564321,10,1.303578
24.206322,23,1.330772
12.773964,14,1.348095
9.49406,22,1.374096
9.953511,15,1.390794
6.737746,18,1.410711
12.69657,20,1.434446
20.630636,20,1.45905
97.277796,59,1.527329
18.293023,18,1.548722
5.787109,10,1.55972
6.171345,12,1.572997
8.953329,17,1.59269
8.603394,13,1.607734
26.677495,25,1.63675
15.994697,22,1.662351
13.011629,18,1.682425
7.777205,14,1.69816
13.970692,14,1.713857
10.012484,13,1.72951
18.390549,19,1.751448
13.316585,21,1.776043
16.287579,21,1.800413
36.357387,30,1.833031
6.158214,14,1.849672
8.354837,14,1.865502
11.502609,16,1.882974
23.455647,21,1.906544
10.665759,18,1.928168
6.092265,12,1.942137
25.125812,22,1.965991
27.172817,23,1.997586
12.992993,14,2.014709
8.405901,11,2.027321
13.169041,16,2.04611
45.394859,44,2.097912
6.000982,13,2.113316
10.959547,18,2.133869
5.49863,11,2.146159
20.136516,22,2.171008
12.55109,15,2.189187
10.268074,12,2.202435
14.86422,17,2.222798
13.622173,16,2.242843
8.126631,10,2.255284
4.861482,16,2.274004
11.917579,14,2.291034
27.709382,24,2.318811
12.135026,19,2.340155
8.029732,18,2.360842
15.904147,24,2.388951
8.312922,11,2.401401
8.442734,13,2.416051
21.893762,20,2.439109
5.122527,9,2.449796
10.087267,12,2.463087
22.68668,30,2.498059
15.440363,19,2.519177
10.077583,12,2.531851
11.041199,19,2.553856
5.90267,11,2.566396
8.743501,13,2.582682
38.555874,62,2.655447
20.12201,19,2.677972
9.000772,16,2.696249
16.470187,26,2.727179
9.269273,10,2.739307
11.407458,14,2.755799
33.373025,34,2.795214
25.957584,27,2.826062
6.154736,10,2.837791
9.145182,20,2.860042
11.884549,14,2.876661
16.709295,31,2.91464
17.222881,21,2.939298
7.220426,9,2.950513
7.505324,13,2.965613
11.24447,13,2.980702
6.143466,12,2.995519
6.295651,8,3.004415
9.725149,13,3.020527
6.056645,9,3.0313
8.069014,10,3.043604
8.061284,11,3.055871
9.946703,21,3.080851
30.847525,37,3.123871
9.667956,13,3.489444
12.128298,14,3.505843
5.337008,11,3.519452
17.732914,19,3.541619
26.687501,28,3.57401
8.341655,10,3.585537
12.838012,14,3.602153
9.499679,13,3.617671
7.964424,11,3.629519
8.459826,17,3.649239
16.314023,20,3.671492
73.349688,45,3.725413
18.488875,20,3.749094
7.365653,11,3.762321
6.217681,10,3.773449
82.205268,57,3.840205
10.738868,12,3.854555
16.569767,23,3.881242
9.945155,14,3.897229
7.855212,14,3.913619
8.520364,11,3.92633
24.887995,35,3.968269
68.015893,53,4.027292
59.887937,43,4.075169
36.091809,40,4.121944
10.911267,13,4.136707
34.807641,46,4.192522
14.272916,19,4.215375
10.411441,14,4.233165
7.875009,18,4.254428
10.370425,13,4.270506
11.464721,13,4.286029
8.446919,19,4.308221
22.959971,22,4.334787
10.480407,36,4.377816
8.345089,24,4.406483
11.712191,16,4.425708
70.693138,45,4.478995
11.56718,13,4.494643
7.30226,10,4.506497
6.625389,10,4.518471
36.127223,61,4.591273
10.863287,13,4.606633
7.879128,11,4.620405
12.656922,17,4.640072
14.85745,17,4.661169
11.581925,15,4.67924
8.414827,10,4.69081
7.955436,24,4.719862
10.012473,13,4.735019
11.585392,30,4.770139
57.312439,44,4.822616
7.598676,11,4.83513
38.875037,45,4.889252
11.77918,14,4.905182
8.473981,14,4.921935
7.727722,11,4.934871
13.848617,14,4.952122
39.321928,46,5.006969
8.178467,10,5.018512
30.285377,28,5.049921
13.345132,14,5.066561
3.389245,13,5.081492
10.644096,17,5.102297
10.047902,14,5.118094
11.846923,18,5.138777
7.636325,25,5.168275
39.989566,38,5.213629
7.996516,10,5.225432
11.139705,14,5.241575
14.249931,31,5.278957
6.578014,9,5.289137
19.331412,20,5.311104
12.320131,35,5.350418
5.780519,11,5.366056
47.110462,36,5.411413
9.348365,11,5.425529
67.995786,46,5.484887
26.154723,31,5.522677
64.306379,59,5.59872
13.188925,15,5.616167
9.66696,23,5.642997
10.43655,12,5.657637
35.987307,31,5.69512
12.40316,15,5.713788
36.681379,31,5.751784
11.848516,13,5.767189
8.128389,15,5.784779
23.086133,30,5.820196
7.174695,10,5.83327
6.782414,15,5.851782
51.055123,41,5.904816
53.183328,62,6.302008
10.112665,16,6.320738
61.647882,45,6.376157
39.030566,39,6.424935
34.492095,47,6.484188
15.898639,35,6.527835
9.601038,15,6.54747
6.872022,9,6.55888
10.781421,30,6.596442
9.004865,10,6.608698
23.480801,22,6.635321
17.693012,20,6.661541
16.696256,27,6.69758
9.6761,16,6.716393
88.160719,70,6.801688
36.507893,31,6.839964
8.524205,10,6.851734
89.160929,57,6.918401
7.734561,12,6.932126
96.467218,60,7.002361
71.327595,45,7.055054
67.591633,40,7.10138
6.944448,13,7.116844
21.081389,22,7.142422
11.686767,35,7.183485
7.362573,11,7.196667
6.752746,9,7.207629
113.469289,61,7.279356
8.28837,11,7.292629
13.566559,20,7.317022
24.806431,36,7.360156
12.317972,22,7.385855
14.962885,36,7.428666
9.753756,15,7.446387
61.072552,39,7.492838
15.198747,16,7.511137
102.504661,55,7.576544
18.706446,24,7.605562
150.143199,85,7.704382
8.452764,10,7.715759
56.357826,34,7.755856
16.212512,16,7.774661
43.47175,41,7.821703
32.838259,30,7.857023
93.263184,52,7.919532
83.627164,48,7.975899
97.97496,76,8.065804
12.465247,28,8.099829
16.576939,17,8.120427
9.843948,17,8.140746
136.232358,72,8.224551
32.115301,35,8.265632
10.502493,14,8.282158
9.835357,12,8.296898
62.885218,47,8.353857
26.777419,27,8.388488
10.088942,13,8.403686
6.310172,8,8.412863
62.646907,43,8.462527
11.874623,13,8.477349
48.903369,66,8.556182
69.731754,46,8.610243
80.711946,52,8.66965
15.103703,24,8.996178
28.05264,25,9.026188
90.609465,57,9.093476
79.956548,53,9.154115
128.34274,76,9.242841
100.002051,67,9.320065
95.384872,58,9.387169
52.075287,38,9.431407
29.671907,26,9.463184
152.783189,90,9.57572
69.003659,43,9.629629
99.021681,56,9.702157
89.655367,53,9.769575
144.516403,83,9.8731
107.001891,60,9.946731
158.900266,106,10.077002
82.229185,47,10.133656
210.878241,95,10.249587
94.112951,64,10.325851
10.239009,13,10.341389
137.0322,123,10.486885
6.840223,10,10.49829
22.056106,31,10.536085
129.644479,82,10.63298
62.936563,45,10.685166
