# {"t_start": 1587187740.7851892, "env_id": "Reacher-v2"} 
r,l,t
-63.052963,50,1.135255
-55.4806,50,1.222586
-65.745751,50,1.309702
-59.202215,50,1.398825
-61.259792,50,1.486616
-67.092095,50,1.574548
-65.797805,50,1.663477
-55.112029,50,1.752349
-56.976176,50,1.839884
-60.788437,50,1.927966
-69.252926,50,2.017804
-59.082651,50,2.105829
-64.495516,50,2.194275
-51.548853,50,2.282033
-67.67777,50,2.368696
-60.736099,50,2.455898
-57.14321,50,2.545507
-60.16958,50,2.633969
-55.593088,50,2.722581
-62.690293,50,2.809533
-66.520674,50,2.897719
-57.894725,50,2.985648
-52.576341,50,3.074296
-61.283202,50,3.163209
-66.195564,50,3.252536
-60.447641,50,3.341446
-63.149553,50,3.429381
-56.728595,50,3.517877
-68.140195,50,3.606156
-63.06241,50,3.694687
-66.417064,50,3.783547
-57.962156,50,3.87141
-56.244381,50,3.959356
-54.32491,50,4.047172
-63.902608,50,4.136886
-56.35126,50,4.225576
-64.678211,50,4.314202
-58.348394,50,4.402884
-66.185115,50,4.492342
-57.648168,50,4.581136
-61.322127,50,5.266693
-59.222886,50,5.355669
-64.921883,50,5.443069
-54.048798,50,5.531494
-57.979882,50,5.620717
-60.500009,50,5.708727
-62.449193,50,5.797379
-61.40285,50,5.884839
-58.156143,50,5.972369
-59.549927,50,6.061163
-62.591855,50,6.148291
-60.214137,50,6.236271
-67.222811,50,6.324164
-58.759441,50,6.412879
-53.632286,50,6.500867
-58.350533,50,6.589343
-58.204466,50,6.67781
-64.325671,50,6.765944
-61.304846,50,6.854329
-62.422471,50,6.943106
-57.513209,50,7.030166
-62.218004,50,7.117515
-60.884945,50,7.207384
-70.049034,50,7.297226
-64.484008,50,7.389149
-53.469376,50,7.48145
-63.768857,50,7.573273
-60.006746,50,7.664505
-61.799448,50,7.754247
-66.534822,50,7.84439
-65.705762,50,7.931323
-69.163862,50,8.013535
-59.867091,50,8.09572
-61.893144,50,8.186305
-57.130626,50,8.279903
-61.42614,50,8.370608
-58.206004,50,8.46066
-63.31557,50,8.553542
-61.464932,50,8.646552
-68.219183,50,8.738852
-60.715156,50,8.841505
-58.022038,50,9.486358
-61.372105,50,9.577803
-63.06374,50,9.667939
-59.475356,50,9.759655
-62.504121,50,9.850417
-64.427288,50,9.940853
-52.770125,50,10.031588
-57.819611,50,10.123425
-65.665733,50,10.215287
-54.664453,50,10.306106
-63.245653,50,10.396314
-62.197561,50,10.485625
-61.468579,50,10.576402
-61.046704,50,10.667192
-66.495309,50,10.757477
-50.683798,50,10.84922
-57.399372,50,10.940137
-53.482533,50,11.033234
-51.733673,50,11.123359
-60.921787,50,11.212652
-55.953615,50,11.304194
-65.148149,50,11.39595
-67.710347,50,11.483629
-59.754,50,11.571225
-60.920992,50,11.660094
-54.81451,50,11.747205
-59.338526,50,11.835699
-54.64916,50,11.924811
-56.61025,50,12.013785
-63.177335,50,12.101756
-56.191127,50,12.191277
-62.704339,50,12.28056
-63.974352,50,12.368498
-54.807629,50,12.456973
-55.247174,50,12.545725
-54.465771,50,12.63325
-55.130708,50,12.721007
-58.444529,50,12.810261
-58.317131,50,12.900042
-58.868691,50,12.988081
-60.194119,50,13.07681
-62.007938,50,13.688196
-66.09728,50,13.781216
-57.09608,50,13.869754
-57.656699,50,13.957721
-57.692545,50,14.045786
-60.092443,50,14.135609
-57.158241,50,14.223391
-55.200101,50,14.312518
-72.147991,50,14.401123
-62.8656,50,14.489948
-59.064597,50,14.578501
-54.898137,50,14.666373
-66.856694,50,14.754742
-63.875699,50,14.843279
-59.406596,50,14.932342
-68.086916,50,15.020344
-62.267766,50,15.109221
-58.77807,50,15.197527
-65.93246,50,15.286815
-66.780979,50,15.375572
-60.66545,50,15.46305
-62.001269,50,15.551142
-49.906386,50,15.639201
-55.660054,50,15.727588
-60.944682,50,15.816062
-64.606169,50,15.905427
-55.744405,50,15.993554
-63.48645,50,16.084675
-52.77539,50,16.172507
-53.309161,50,16.261161
-66.901071,50,16.350785
-61.742666,50,16.439867
-56.723554,50,16.528289
-61.333673,50,16.618249
-66.816751,50,16.706603
-64.540508,50,16.795326
-61.746083,50,16.883724
-59.654794,50,16.971617
-58.109255,50,17.059099
-63.10823,50,17.148258
-67.502866,50,17.237846
-57.364472,50,17.851391
-60.42349,50,17.940988
-50.12221,50,18.030067
-56.382739,50,18.117769
-61.877483,50,18.205638
-56.777184,50,18.294093
-55.466004,50,18.382966
-65.826873,50,18.470727
-62.65387,50,18.558896
-57.31086,50,18.647112
-60.638727,50,18.736038
-62.371504,50,18.825344
-53.448989,50,18.917328
-59.580336,50,19.008033
-64.537572,50,19.100679
-59.834293,50,19.19282
-68.917331,50,19.286292
-57.176368,50,19.379079
-61.240513,50,19.472509
-63.739905,50,19.565789
-54.78061,50,19.657472
-57.558391,50,19.751843
-60.51091,50,19.844717
-57.350559,50,19.93834
-50.219482,50,20.031657
-57.155323,50,20.123754
-60.695868,50,20.216167
-58.520756,50,20.313507
-59.457008,50,20.414479
-54.835892,50,20.50756
-57.038639,50,20.600707
-60.090316,50,20.69359
-60.189303,50,20.786751
-56.843816,50,20.88423
-57.481383,50,20.980072
-67.531231,50,21.075631
-56.903785,50,21.167761
-46.232147,50,21.258642
-60.336093,50,21.350998
-58.723294,50,21.442577
-48.242148,50,21.531509
-53.559546,50,22.189614
-48.442385,50,22.286823
-57.506184,50,22.380153
-54.404379,50,22.474548
-61.576706,50,22.568867
-54.893745,50,22.660966
-59.069412,50,22.758682
-59.288872,50,22.856498
-62.422243,50,22.954044
-54.355493,50,23.047094
-54.625823,50,23.140345
-57.746431,50,23.237312
-56.631731,50,23.334143
-56.569439,50,23.42609
-55.688032,50,23.523959
-57.208805,50,23.620602
-59.655334,50,23.713352
-56.298984,50,23.804977
-66.403364,50,23.903994
-53.928583,50,24.000257
-58.388363,50,24.094692
-63.308588,50,24.187967
-52.540567,50,24.279602
-55.898392,50,24.371588
-60.010322,50,24.462661
-50.004858,50,24.553549
-58.188292,50,24.646207
-53.709006,50,24.738208
-57.049908,50,24.829541
-51.905931,50,24.917728
-55.471363,50,25.00573
-62.845493,50,25.097154
-60.868446,50,25.192024
-64.727453,50,25.286487
-64.149605,50,25.375448
-51.489315,50,25.463632
-58.59829,50,25.552323
-56.759765,50,25.641839
-62.437649,50,25.732332
-60.208093,50,25.821262
-60.507478,50,25.909641
-61.842539,50,26.539201
-63.56481,50,26.630862
-56.517457,50,26.72056
-57.488175,50,26.820996
-54.734452,50,26.916658
-57.149007,50,27.006207
-63.347099,50,27.098632
-57.427077,50,27.190319
-57.287279,50,27.282766
-59.566322,50,27.374219
-60.248989,50,27.464688
-57.378329,50,27.556555
-66.097601,50,27.649733
-59.619043,50,27.742458
-59.08696,50,27.83585
-48.971943,50,27.928593
-52.36758,50,28.022316
-62.977497,50,28.119502
-50.539579,50,28.213315
-52.203162,50,28.305263
-55.877918,50,28.398835
-54.480768,50,28.495815
-60.743876,50,28.588377
-49.743219,50,28.67908
-50.747523,50,28.769893
-61.546312,50,28.862872
-49.837782,50,28.953309
-58.133032,50,29.044104
-60.727445,50,29.13589
-58.574536,50,29.227184
-46.602238,50,29.317011
-58.945672,50,29.408213
-60.404501,50,29.498761
-57.286144,50,29.589299
-59.020546,50,29.680745
-57.295742,50,29.771257
-56.931184,50,29.862385
-59.386483,50,29.953005
-59.243211,50,30.044159
-57.613939,50,30.134895
-63.324238,50,30.224894
-61.200748,50,30.838154
-70.515058,50,30.927127
-55.565926,50,31.014312
-57.925086,50,31.102378
-52.635532,50,31.190114
-47.721044,50,31.278901
-65.235275,50,31.367375
-59.61389,50,31.454688
-48.559725,50,31.542184
-51.903295,50,31.630935
-64.043758,50,31.718954
-55.153718,50,31.807099
-62.474719,50,31.895885
-55.243911,50,31.986194
-60.45768,50,32.074684
-55.535058,50,32.161976
-57.208898,50,32.250115
-52.932002,50,32.338877
-50.485884,50,32.427425
-52.336621,50,32.514789
-51.759022,50,32.603073
-53.010024,50,32.690551
-52.491219,50,32.78033
-65.087669,50,32.86895
-57.244086,50,32.956705
-56.999869,50,33.045164
-58.17901,50,33.133158
-58.38517,50,33.222224
-67.792071,50,33.310246
-56.253314,50,33.39951
-54.845438,50,33.487319
-69.566642,50,33.577832
-54.70533,50,33.66926
-58.422026,50,33.756712
-57.080869,50,33.844957
-55.624621,50,33.934826
-50.808081,50,34.025942
-52.043549,50,34.115552
-53.44605,50,34.205769
-58.377836,50,34.294443
-51.780296,50,34.392382
-58.836229,50,35.025652
-52.911458,50,35.11946
-58.313468,50,35.213622
-59.37006,50,35.30494
-54.797071,50,35.398983
-54.189071,50,35.49583
-53.212865,50,35.588637
-52.267328,50,35.678396
-45.692701,50,35.769378
-56.903892,50,35.86049
-50.350415,50,35.951496
-61.031012,50,36.042054
-59.78819,50,36.133349
-60.880884,50,36.223018
-48.384005,50,36.314761
-58.729974,50,36.406389
-48.304743,50,36.496264
-49.351067,50,36.586364
-49.743439,50,36.677414
-51.281339,50,36.768983
-53.226088,50,36.859069
-53.546908,50,36.95055
-56.695629,50,37.04233
-51.402061,50,37.134033
-46.971811,50,37.226299
-42.406444,50,37.315826
-52.745638,50,37.404861
-56.891894,50,37.493186
-54.817458,50,37.582088
-70.165551,50,37.669993
-56.272491,50,37.758308
-62.815938,50,37.846647
-48.78844,50,37.935192
-47.605234,50,38.023914
-52.78236,50,38.111267
-42.68041,50,38.199839
-49.149827,50,38.288116
-53.597914,50,38.377882
-59.912026,50,38.465253
-55.672523,50,38.552529
-60.371184,50,38.63962
-62.640521,50,39.26231
-49.594261,50,39.354485
-56.307965,50,39.44342
-56.028985,50,39.53282
-53.769149,50,39.620625
-53.498701,50,39.708584
-56.363695,50,39.795919
-55.211794,50,39.885677
-57.141672,50,39.974103
-57.861158,50,40.061801
-50.437794,50,40.149294
-50.798662,50,40.237284
-58.987488,50,40.325984
-51.22474,50,40.414535
-49.055215,50,40.501654
-48.203857,50,40.591549
-59.737283,50,40.682526
-49.740913,50,40.772527
-50.091123,50,40.864257
-46.358734,50,40.954137
-42.952367,50,41.04451
-51.853003,50,41.134864
-45.835182,50,41.22564
-44.840578,50,41.316357
-56.889737,50,41.407212
-50.453279,50,41.499433
-61.194463,50,41.590098
-55.48032,50,41.681341
-57.438703,50,41.771845
-52.646999,50,41.864827
-53.714664,50,41.956408
-49.684713,50,42.046416
-50.364038,50,42.137529
-56.720982,50,42.228757
-44.222432,50,42.320261
-50.899905,50,42.411643
-50.22568,50,42.501122
-57.105671,50,42.591556
-51.397208,50,42.682907
-47.601296,50,42.773584
-55.080519,50,42.864306
-50.397757,50,43.477131
-52.891399,50,43.567753
-43.25132,50,43.657883
-55.926034,50,43.747961
-55.20984,50,43.839539
-53.768392,50,43.928237
-51.633106,50,44.017156
-62.382392,50,44.104841
-47.049164,50,44.194072
-53.781003,50,44.283576
-47.804877,50,44.373456
-52.918607,50,44.461719
-58.135582,50,44.549124
-46.080509,50,44.636985
-55.456049,50,44.724285
-53.069608,50,44.812618
-46.366755,50,44.901645
-50.370284,50,44.990367
-58.279698,50,45.078609
-55.70915,50,45.166733
-53.188302,50,45.255693
-58.454377,50,45.344126
-49.269489,50,45.434237
-56.939789,50,45.5226
-61.152615,50,45.610528
-47.166181,50,45.698468
-50.754417,50,45.787285
-51.622446,50,45.875435
-60.204019,50,45.963733
-57.245077,50,46.051549
-55.596342,50,46.141333
-53.853979,50,46.229501
