# {"t_start": 1587090840.494394, "env_id": "Walker2d-v2"} 
r,l,t
4.702069,14,0.658298
-6.549058,32,0.696129
-13.894881,14,0.712457
1.052233,12,0.726582
-3.912624,14,0.742373
-1.994262,11,0.754797
0.447905,13,0.769694
1.612062,14,0.784152
-8.45414,15,0.801357
2.828788,19,0.823504
2.186117,15,0.84099
7.354624,21,0.86555
-4.684513,22,0.89099
-4.151443,14,0.907295
-2.594709,16,0.925337
-4.205363,17,0.944561
3.743203,19,0.966382
2.354897,21,0.99003
0.998356,15,1.00731
-3.191442,14,1.023347
-2.896308,10,1.03497
-3.023466,13,1.050628
3.123669,13,1.065483
-2.953639,11,1.078145
-5.8884,10,1.090254
-4.017482,18,1.111244
2.322124,16,1.130878
-3.091852,14,1.147655
-8.18528,22,1.174527
-1.639127,10,1.186686
-3.31983,22,1.214049
1.233222,17,1.234074
-2.291546,12,1.249241
-0.935741,19,1.271915
-5.1005,25,1.301454
0.407121,16,1.320962
14.939179,32,1.358682
-1.634746,26,1.388556
-0.786422,10,1.401198
0.644149,9,1.412148
0.577158,14,1.428957
-5.200437,14,1.445936
-0.313993,16,1.46429
-1.453417,10,1.477569
8.033628,28,1.50991
1.116551,14,1.526944
1.780338,35,1.569753
-7.071592,9,1.580697
2.800306,27,1.612877
-0.998,15,1.630172
-5.865942,22,1.656415
-0.825757,11,1.671057
-2.349617,23,1.698477
0.052645,15,1.716601
-10.282253,43,1.766891
-2.164676,9,1.777714
-1.190501,16,1.797013
-0.143175,19,1.820468
-6.073039,15,1.837684
-2.940756,13,1.85455
7.193649,34,1.894552
0.44605,21,1.919406
-3.738455,18,1.941158
8.144527,27,1.972589
-2.163338,16,1.991486
-3.374034,16,2.010054
-3.50989,11,2.023083
-2.82116,14,2.039036
0.94475,14,2.055024
2.289847,13,2.069565
-4.214522,13,2.085181
2.012422,16,2.104027
5.38521,17,2.1222
1.28865,19,2.145143
-3.095554,24,2.173369
3.27621,25,2.201854
3.001998,15,2.218656
1.229662,25,2.250415
0.729365,13,2.265963
5.942446,21,2.291287
-1.650912,14,2.308453
4.763568,15,2.325553
-1.194794,12,2.339979
-9.769684,17,2.360199
-3.201759,11,2.373749
-5.313667,32,2.413859
-0.118782,25,2.445587
-6.917395,12,2.460547
7.423084,27,2.493432
-5.185797,15,2.513213
-2.643317,8,2.523528
-2.750036,13,2.539074
0.247689,17,2.56052
2.521135,20,2.58683
2.551795,18,2.609158
1.78699,18,2.632814
4.14171,34,2.673607
-9.800123,17,2.693513
2.344586,21,2.718754
7.234004,22,2.746449
2.052321,15,2.765451
-1.888041,15,2.783433
0.415848,10,2.795055
7.141672,30,2.831735
-1.670189,9,2.842015
0.196408,29,2.876147
-4.37641,11,2.889202
1.544349,32,2.926665
-0.878363,17,2.946865
-4.940836,10,2.958809
-0.476394,9,2.970123
-3.052698,14,2.986502
-0.505149,14,3.003225
2.417379,17,3.022955
11.634059,23,3.050417
-6.217955,18,3.071991
2.716656,13,3.465697
-3.953941,24,3.495514
0.377712,11,3.50862
-3.801574,15,3.527767
0.423429,9,3.539028
6.981711,30,3.574625
3.28114,20,3.598213
10.419627,19,3.621189
8.107538,18,3.64275
-0.709725,17,3.662343
12.69431,29,3.695215
-4.362987,8,3.70406
-1.853116,19,3.725363
6.274775,24,3.753438
-0.535983,12,3.767058
-3.018278,8,3.777156
1.156927,22,3.804105
6.575519,25,3.83499
6.242887,17,3.856844
-5.148896,21,3.881208
2.280254,18,3.902133
4.781937,18,3.922633
3.39638,22,3.947576
3.654944,17,3.967073
1.408548,14,3.982787
-1.858867,16,4.000851
-3.907813,8,4.010049
-1.013263,12,4.023875
9.222136,27,4.055008
-0.742844,31,4.092277
