# {"t_start": 1587283001.179945, "env_id": "Hopper-v2"} 
r,l,t
13.723454,22,1.613373
12.771704,36,1.699006
11.136424,14,1.732166
13.976323,20,1.778829
7.243761,12,1.808374
9.899129,18,1.853164
8.929775,29,1.917153
7.79858,12,1.946389
28.819998,34,2.023462
13.719828,22,2.073693
9.331834,22,2.122524
14.526118,21,2.168257
38.912889,31,2.234197
24.915965,24,2.286757
10.718823,14,2.317473
21.917697,26,2.373549
8.489042,11,2.397681
12.945013,15,2.430784
9.806576,13,2.45917
11.967718,20,2.502925
2.986341,13,2.535051
8.117907,11,2.560677
7.381642,12,2.589828
7.369212,13,2.618657
5.463162,9,2.639001
7.134065,9,2.659737
13.137611,20,2.704202
21.094428,22,2.752466
8.046464,12,2.778983
23.267551,35,2.855122
14.190321,15,2.887487
19.791712,19,2.928666
22.658422,25,2.982124
22.53204,27,3.041235
3.724642,24,3.092707
6.928625,10,3.11471
7.623005,10,3.13689
4.931955,32,3.20566
10.72741,13,3.235432
9.834033,14,3.270318
23.701529,28,3.331044
9.96145,17,3.370335
13.972418,16,3.405118
7.174516,14,3.436502
8.069516,12,3.463337
52.356286,39,3.547874
7.288054,12,3.574292
15.039612,25,3.628295
19.2525,18,3.668037
17.086847,18,3.707375
15.4228,19,3.749066
11.355784,16,3.783996
6.670076,9,3.804178
36.550713,36,4.240496
13.20647,16,4.276227
29.446933,24,4.327747
39.06533,45,4.427988
8.689963,12,4.45499
6.519728,10,4.47733
8.429716,13,4.505719
16.288135,21,4.551449
5.121275,23,4.600695
12.912303,15,4.632712
14.440332,19,4.67451
9.475727,12,4.700952
10.503426,12,4.728604
47.339398,41,4.817081
11.754772,23,4.871156
32.570588,30,4.93652
7.024328,10,4.958375
25.691239,20,5.002608
7.750483,11,5.027037
15.960071,20,5.070838
4.949858,7,5.086849
20.33374,26,5.143176
8.579529,19,5.184775
15.423613,19,5.22651
14.174198,15,5.260222
73.844852,53,5.375246
18.33993,29,5.439262
145.581338,95,5.642484
67.919864,53,5.757645
8.185498,14,5.78805
7.081475,12,5.814548
18.998979,19,5.855745
12.04856,14,5.886182
27.43677,31,5.952104
4.343585,13,5.979704
23.068556,29,6.042033
8.443951,14,6.072333
28.922593,31,6.137922
106.095917,60,6.262334
5.427088,8,6.280087
9.598966,11,6.305056
13.95622,15,6.337175
6.856159,10,6.358631
30.169536,28,6.416011
110.65549,89,6.740986
16.919516,17,6.776922
14.802219,35,6.851039
55.739636,34,6.922626
135.381429,102,7.13656
10.618954,18,7.174576
12.878607,24,7.226573
8.562261,11,7.250679
12.508869,15,7.283106
101.786162,55,7.399189
6.986398,10,7.42095
19.474917,20,7.463346
77.198253,47,7.562279
14.225224,14,7.593516
10.551089,18,7.63203
7.241317,14,7.661417
25.176177,41,7.752878
10.298842,17,7.789056
52.634925,41,7.87897
10.881468,19,7.91978
94.295079,54,8.034209
9.813255,18,8.073414
41.230078,34,8.145224
11.823284,21,8.19023
26.513062,26,8.246364
17.907441,34,8.31715
10.414125,14,8.346566
9.659677,14,8.375702
8.119255,17,8.413033
17.488554,19,8.454733
31.204977,26,8.511159
99.05152,54,8.626191
31.232975,26,8.681381
8.525249,12,8.70719
53.314681,32,8.908935
83.39826,48,9.01098
58.038882,39,9.091228
8.065458,12,9.117223
27.885,24,9.170761
19.691453,22,9.218234
86.636048,65,9.357796
58.658936,70,9.506287
96.357225,81,9.677192
182.10089,87,9.859741
26.903605,27,9.918074
12.986039,21,9.963519
32.219742,30,10.029307
6.686032,9,10.049625
8.711482,13,10.077975
8.930106,18,10.118229
17.701638,18,10.159015
6.587003,12,10.186757
169.333717,94,10.39337
21.974277,19,10.435997
17.977661,19,10.477695
46.23735,39,10.562151
98.493141,56,10.680733
8.601233,10,10.702818
31.73925,28,10.763317
23.947597,28,10.824587
12.158171,17,10.863441
20.203366,17,10.900312
96.200452,68,11.046071
150.708925,84,11.363226
11.756699,26,11.418898
130.826967,66,11.557702
120.107681,65,11.697812
13.010938,15,11.730102
58.93814,39,11.813881
62.228824,39,11.896928
29.115461,31,11.960774
111.345594,58,12.08037
24.721677,23,12.128975
82.508569,48,12.228926
71.006458,44,12.323895
22.853899,22,12.370386
115.974926,65,12.508255
84.868237,61,12.639417
57.386841,42,12.729397
131.070048,73,12.883463
48.659038,29,12.945127
31.251156,29,13.00733
24.539827,29,13.072032
13.879673,16,13.106641
62.041545,43,13.199065
9.180339,19,13.240777
66.433154,52,13.35054
7.336349,9,13.370272
23.031036,21,13.550164
60.494313,36,13.628248
124.641922,69,13.772545
130.078207,91,13.964557
137.142193,87,14.157405
42.804402,33,14.230728
211.457887,119,14.496973
62.325725,38,14.596183
52.151162,32,14.675611
52.686888,32,14.75088
16.182746,21,14.800403
28.615305,47,14.906767
87.686474,53,15.022745
63.013443,38,15.109317
113.781341,66,15.251677
99.329632,57,15.377194
8.002653,12,15.404719
59.477655,36,15.482617
24.67015,22,15.531771
154.404269,93,15.728481
122.422488,63,15.996244
160.528728,90,16.190989
101.043666,58,16.313542
13.170941,15,16.346671
26.707076,29,16.410416
127.943443,75,16.571668
162.888229,76,16.732958
71.059473,53,16.857545
147.897298,77,17.029421
78.828876,52,17.143113
211.967774,103,17.381104
188.855206,88,17.578883
77.681836,45,17.678208
99.322982,54,17.797042
100.346745,56,17.954578
201.409039,94,18.199567
12.020111,18,18.242665
71.608009,46,18.483799
132.994362,72,18.637395
103.068046,57,18.760912
146.798796,72,18.929329
129.707764,68,19.096726
106.021578,60,19.233204
131.78064,66,19.387201
65.18285,39,19.474068
134.149389,72,19.629836
118.656867,66,19.780788
154.403762,96,20.001306
51.792623,32,20.071845
160.654307,82,20.251953
211.768512,94,20.461578
146.072097,72,20.623159
66.344873,44,20.716929
172.966724,99,21.091286
197.544108,93,21.295273
50.9558,31,21.362782
52.320545,34,21.440465
217.817679,98,21.65865
130.694167,66,21.800899
223.605402,100,22.017942
116.45082,62,22.155172
123.932144,85,22.346624
66.030184,40,22.435957
158.349347,76,22.60529
199.740764,93,22.810367
176.91151,86,23.000458
122.166757,65,23.290376
179.179953,82,23.465307
99.752874,59,23.588849
192.953474,106,23.81904
175.249747,90,24.022179
198.572128,89,24.211529
97.789179,54,24.323082
125.922798,72,24.476711
228.771328,138,24.771562
249.102031,122,25.044922
68.167009,41,25.136355
186.812122,90,25.337798
151.306614,76,25.513678
203.835086,102,25.881248
213.311491,93,26.081145
117.681426,61,26.219839
215.127439,97,26.43546
119.07844,62,26.573165
186.857817,85,26.755734
214.825701,92,26.959695
192.67416,102,27.182246
295.004686,145,27.502549
195.975269,90,27.704471
216.631224,105,28.083642
187.896579,87,28.275052
202.236986,95,28.48766
223.471736,109,28.727535
203.707138,96,28.93558
194.131367,89,29.126025
225.587245,101,29.341004
206.33558,99,29.549726
191.084463,90,29.741433
225.904602,112,29.99198
164.427567,85,30.186787
201.932028,88,30.532587
