#{"t_start": 1587179577.873366, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-276.593409,159,1.218254
-393.031079,79,1.25983
-558.551248,119,1.335592
-250.481896,108,1.396021
-377.284677,91,1.446359
-428.266466,103,1.503948
-419.204215,121,1.573744
-266.08385,134,1.652417
-47.079799,69,1.691096
-270.161656,84,2.472219
-149.42265,71,2.50927
-339.096564,92,2.559899
-298.289394,114,2.620049
-113.735537,149,2.713527
-102.071752,139,2.800719
-70.719553,169,2.907103
-293.031579,189,3.031171
-406.415527,117,3.378626
-607.967165,133,3.458987
-178.697871,81,3.503974
-400.108394,105,3.560303
-338.984121,105,3.615975
-197.007298,88,3.661446
-267.903391,110,3.719206
-231.197055,71,3.75558
-41.985318,85,3.804025
-253.811712,115,3.867865
-242.693201,240,4.318535
-264.118146,78,4.360337
-38.770672,88,4.404753
-345.913277,155,4.482741
-275.886614,102,4.530601
-253.914346,119,4.588647
-153.28823,105,4.643747
-369.772932,107,4.701174
-443.722056,151,5.07314
-75.22176,98,5.131454
-147.453248,105,5.188245
-81.874221,84,5.231321
-144.974655,122,5.301175
-174.674865,199,5.425488
-341.113494,118,5.491136
-291.190583,144,5.571352
-281.147759,117,5.900957
-244.889744,107,5.961492
-54.021321,137,6.049515
-396.760815,144,6.136876
-68.123756,73,6.174979
-271.335308,94,6.227338
-24.792133,82,6.271365
-121.427481,113,6.334991
-79.421059,99,6.393204
-76.862958,149,6.486442
-107.997694,117,6.814347
-75.72579,85,6.862011
-447.142363,78,6.910034
-72.226473,105,6.972382
-154.354031,95,7.027482
-63.305697,135,7.11361
-144.631866,95,7.166389
-517.143321,84,7.212114
-509.796078,137,7.28952
-443.284127,152,7.643446
-195.869672,79,7.684947
-439.800288,103,7.738135
-231.095493,97,7.787054
-357.035444,164,7.873443
-69.979799,73,7.907309
-46.674813,79,7.943536
-50.365143,142,8.015303
-117.23487,91,8.061714
-245.341891,88,8.109659
-264.928021,97,8.455971
-99.294266,85,8.508468
-36.412973,99,8.567882
-224.127375,117,8.637441
-121.574401,110,8.698169
-305.00718,181,8.830334
-220.415686,160,8.922178
-165.057941,106,8.972763
-256.432081,144,9.284623
-8.599175,128,9.369009
-21.46538,97,9.426055
-131.034788,93,9.479317
-280.341495,109,9.539539
-88.767092,114,9.602292
-95.840763,105,9.651847
-97.661719,79,9.688241
-99.134932,87,9.72836
-389.667393,129,9.791111
-327.288621,178,10.140145
-104.210638,157,10.229564
-103.741795,101,10.277919
-343.779641,118,10.338517
-171.62663,153,10.416807
-255.764113,116,10.473622
-65.23711,121,10.535843
-107.931153,132,10.603831
-87.415082,80,10.886052
-409.577908,132,10.955044
-364.357597,91,10.996436
-451.595504,107,11.047242
-93.695005,129,11.112368
-93.888516,153,11.19583
-348.526941,121,11.25453
-177.08887,81,11.293556
-193.983195,127,11.363504
-40.763573,145,11.687841
-59.564074,88,11.730931
-282.215223,131,11.797835
-426.021729,116,11.85699
-246.553853,113,11.911026
-43.667446,117,11.969796
-551.28832,107,12.022009
-11.816752,94,12.068215
-310.978118,109,12.122512
-249.21624,90,12.434986
-84.021591,103,12.500097
-257.785358,85,12.550035
-214.625446,532,13.262449
-38.51864,137,13.333357
-63.294385,71,13.365983
-152.321464,77,13.670453
-214.623507,102,13.728194
-65.835815,174,13.820921
-243.325688,85,13.859877
-69.275739,70,13.892151
-54.608735,126,13.957317
-18.35246,83,13.997873
-27.494219,118,14.05515
-155.383185,90,14.099305
-368.147831,112,14.155943
-394.490148,98,14.436606
-108.26719,126,14.501266
-29.05046,76,14.539336
-150.265919,136,14.604665
-169.182501,116,14.660469
-450.070011,187,14.767728
-8.958881,91,14.810094
-241.284563,146,14.884178
-81.850895,74,15.165828
-55.822538,95,15.212729
-116.766131,94,15.256763
-70.957052,139,15.32493
-5.534791,78,15.361459
-127.772186,127,15.422472
-304.649208,170,15.523221
-45.841215,104,15.573155
-72.512308,115,15.627629
-56.854088,73,15.661349
-107.298481,73,15.946201
-20.51838,115,16.001764
-443.965149,121,16.065692
-228.161442,112,16.119137
-0.757342,92,16.162627
-44.510836,90,16.20425
-39.195053,128,16.267101
-322.639077,115,16.327426
-50.94334,75,16.36337
-167.295385,121,16.425081
-103.144477,137,16.748085
-220.034497,150,16.827786
-264.127372,93,16.87119
-130.807324,132,16.937821
-51.061606,142,17.008869
-34.665886,89,17.050926
-116.137052,154,17.127389
-244.259566,87,17.168433
-37.964836,141,17.480149
-76.77951,131,17.546819
-282.922935,95,17.595104
-66.41238,146,17.664333
-88.724687,96,17.709138
-31.165463,97,17.755419
-58.719446,142,17.826643
-33.188146,106,17.880667
-23.35491,112,17.935298
-33.417106,116,18.24968
-380.091599,129,18.317112
-190.791678,148,18.390907
-3.754012,91,18.43875
-8.043575,139,18.512518
-32.915019,121,18.571049
-55.588329,106,18.622105
-77.885203,107,18.672687
-8.590407,116,18.972307
-165.533292,96,19.016255
-139.081548,185,19.122995
-47.48689,143,19.193667
-8.336594,127,19.274301
-30.303558,84,19.32607
-37.31737,88,19.380199
-42.278991,134,19.470476
-104.8148,134,19.802995
-296.253001,161,19.8974
