# {"t_start": 1587358048.048555, "env_id": "InvertedPendulum-v2"} 
r,l,t
5.0,5,1.401465
4.0,4,1.40959
7.0,7,1.422794
13.0,13,1.446149
4.0,4,1.454188
8.0,8,1.468662
6.0,6,1.480285
5.0,5,1.490208
14.0,14,1.514843
8.0,8,1.529339
6.0,6,1.540583
7.0,7,1.55373
10.0,10,1.572224
4.0,4,1.580028
5.0,5,1.589669
7.0,7,1.602744
5.0,5,1.612362
6.0,6,1.623967
6.0,6,1.635298
8.0,8,1.650329
5.0,5,1.660381
8.0,8,1.675152
3.0,3,1.681408
6.0,6,1.69258
7.0,7,1.70582
4.0,4,1.713754
10.0,10,1.731635
3.0,3,1.738064
5.0,5,1.747831
8.0,8,1.762635
8.0,8,1.777483
11.0,11,1.797091
9.0,9,1.813736
4.0,4,1.821667
3.0,3,1.828232
11.0,11,1.848094
5.0,5,1.85788
8.0,8,1.872765
10.0,10,1.890865
14.0,14,1.915622
8.0,8,1.930663
23.0,23,1.971844
8.0,8,1.986902
15.0,15,2.014082
7.0,7,2.027199
4.0,4,2.035207
12.0,12,2.057008
6.0,6,2.068656
4.0,4,2.076739
8.0,8,2.091747
7.0,7,2.104616
5.0,5,2.114458
6.0,6,2.12629
4.0,4,2.134648
12.0,12,2.15692
5.0,5,2.166478
14.0,14,2.191449
5.0,5,2.200925
12.0,12,2.222347
9.0,9,2.238575
6.0,6,2.250011
8.0,8,2.264541
10.0,10,2.282666
7.0,7,2.295989
5.0,5,2.305809
12.0,12,2.327451
4.0,4,2.33564
9.0,9,2.352488
10.0,10,2.370634
6.0,6,2.382352
7.0,7,2.395228
4.0,4,2.403503
7.0,7,2.416348
3.0,3,2.423039
6.0,6,2.434524
10.0,10,2.452759
5.0,5,2.462453
9.0,9,2.479173
9.0,9,2.49566
14.0,14,2.520796
3.0,3,2.52706
20.0,20,2.562369
5.0,5,2.571998
10.0,10,2.591084
6.0,6,2.602495
5.0,5,2.611985
7.0,7,2.625482
8.0,8,2.640422
4.0,4,2.648828
13.0,13,2.672352
10.0,10,2.690639
8.0,8,2.70561
6.0,6,2.716865
6.0,6,2.728439
4.0,4,2.736606
7.0,7,2.749611
11.0,11,2.769275
8.0,8,2.784367
11.0,11,2.804613
16.0,16,2.832848
5.0,5,2.842468
6.0,6,2.8538
14.0,14,2.878451
9.0,9,2.894946
3.0,3,2.901195
4.0,4,2.909112
6.0,6,2.920756
4.0,4,2.928817
8.0,8,2.943578
5.0,5,2.953335
5.0,5,2.96331
30.0,30,3.017486
12.0,12,3.039641
4.0,4,3.048227
9.0,9,3.064937
5.0,5,3.075131
10.0,10,3.094543
7.0,7,3.108207
4.0,4,3.116625
7.0,7,3.129891
5.0,5,3.140016
8.0,8,3.155034
14.0,14,3.18108
5.0,5,3.19131
13.0,13,3.215093
6.0,6,3.226878
9.0,9,3.243873
14.0,14,3.269005
5.0,5,3.279035
4.0,4,3.287256
28.0,28,3.666419
7.0,7,3.680171
4.0,4,3.688073
7.0,7,3.701333
7.0,7,3.714346
6.0,6,3.726044
6.0,6,3.737607
5.0,5,3.747329
21.0,21,3.784101
4.0,4,3.792231
7.0,7,3.805111
4.0,4,3.813303
5.0,5,3.82305
6.0,6,3.83446
5.0,5,3.844084
9.0,9,3.860457
