# {"t_start": 1587189687.728178, "env_id": "Reacher-v2"} 
r,l,t
-53.267853,50,1.534209
-64.391195,50,1.626843
-63.568163,50,1.721746
-60.049768,50,1.815958
-61.733657,50,1.910709
-72.271328,50,2.005048
-63.301268,50,2.096236
-60.955884,50,2.188897
-59.513812,50,2.28064
-66.020656,50,2.371578
-59.17589,50,2.463105
-61.935068,50,2.554627
-51.250296,50,2.648217
-63.183333,50,2.741487
-61.771617,50,2.834942
-66.588025,50,2.926487
-61.842134,50,3.018823
-53.718517,50,3.111342
-62.704319,50,3.20411
-65.510754,50,3.297486
-56.516132,50,3.733644
-53.375201,50,3.824876
-59.49665,50,3.915708
-64.483883,50,4.00717
-62.754775,50,4.098021
-55.936564,50,4.192717
-67.906155,50,4.286554
-58.515963,50,4.378097
-62.294211,50,4.46926
-60.61449,50,4.559916
-55.545408,50,4.651978
-59.327855,50,4.744272
-62.036474,50,4.836107
-59.15582,50,4.927905
-63.558054,50,5.019324
-57.700222,50,5.110511
-57.476161,50,5.202616
-55.867661,50,5.293482
-59.960019,50,5.384819
-59.11289,50,5.477077
-55.911028,50,5.697396
-58.944373,50,5.789806
-47.331781,50,5.882866
-62.481453,50,5.973458
-58.418954,50,6.065363
-68.881268,50,6.157058
-61.147209,50,6.250737
-63.858567,50,6.34239
-59.769632,50,6.433581
-65.824084,50,6.524585
-65.869904,50,6.614428
-56.899824,50,6.708105
-53.197183,50,6.799074
-67.74614,50,6.890208
-59.846831,50,6.980742
-60.571241,50,7.073223
-63.876488,50,7.164618
-58.130308,50,7.255131
-59.742886,50,7.346534
-60.807809,50,7.439125
-54.508925,50,7.532762
-57.007082,50,7.7571
-57.588318,50,7.849822
-60.21093,50,7.942999
-59.705285,50,8.037074
-59.074989,50,8.132189
-61.669447,50,8.226502
-50.667351,50,8.320175
-60.86424,50,8.413014
-61.648404,50,8.516645
-58.053376,50,8.608938
-61.299982,50,8.70186
-56.694206,50,8.793154
-61.460092,50,8.884945
-58.504314,50,8.97627
-53.108431,50,9.066917
-66.868906,50,9.159366
-61.004972,50,9.252031
-56.390199,50,9.344162
-52.261094,50,9.438766
-60.216306,50,9.530451
-58.894573,50,9.751712
-64.877638,50,9.84384
-57.634096,50,9.935831
-62.919011,50,10.027389
-61.500047,50,10.118384
-59.831692,50,10.211116
-59.953888,50,10.30214
-57.116073,50,10.394869
-55.172411,50,10.485625
-56.506407,50,10.57632
-60.59645,50,10.666649
-53.641544,50,10.754019
-58.878608,50,10.839321
-56.705371,50,10.933179
-56.620043,50,11.024999
-59.804912,50,11.116852
-62.479259,50,11.208133
-60.18409,50,11.300784
-63.335087,50,11.393088
-61.073585,50,11.485232
-56.592524,50,11.576805
-52.348185,50,11.798467
-60.451016,50,11.889407
-60.424027,50,11.981217
-63.713049,50,12.073215
-58.895976,50,12.166378
-59.142066,50,12.258766
-60.665793,50,12.349035
-58.610027,50,12.440978
-55.112653,50,12.532595
-49.953831,50,12.624509
-53.374628,50,12.715921
-56.361488,50,12.80727
-60.532825,50,12.899386
-59.371856,50,12.990807
-58.01685,50,13.081831
-53.274,50,13.173017
-51.270699,50,13.264318
-57.627305,50,13.355473
-50.346719,50,13.446392
-63.011799,50,13.537067
-62.365448,50,13.756459
-55.087045,50,13.847954
-56.364962,50,13.939519
-56.957901,50,14.0306
-60.37932,50,14.123935
-56.279321,50,14.215808
-58.767927,50,14.307433
-60.294536,50,14.399571
-59.44791,50,14.490807
-52.344068,50,14.582186
-61.935361,50,14.673787
-53.333918,50,14.766542
-59.000716,50,14.857487
-62.776572,50,14.950621
-49.074918,50,15.041911
-64.929638,50,15.133392
-69.125523,50,15.225915
-57.367372,50,15.317775
-57.410781,50,15.409424
-61.268331,50,15.500967
-66.561478,50,15.591946
-59.877252,50,15.817077
-56.232233,50,15.909998
-52.035848,50,16.000287
-61.631631,50,16.091374
-68.054517,50,16.18446
-58.105833,50,16.276023
-55.750936,50,16.366815
-53.546295,50,16.458368
-56.897139,50,16.549406
-49.049314,50,16.640569
-56.320548,50,16.732196
-61.428961,50,16.824598
-49.323993,50,16.917093
-60.919622,50,17.01136
-57.976327,50,17.101841
-58.747756,50,17.191589
-58.426456,50,17.282987
-53.454762,50,17.375669
-50.260045,50,17.467317
-49.035778,50,17.55986
-46.253571,50,17.780456
-58.063374,50,17.874128
-53.857596,50,17.965297
-50.380246,50,18.057826
-57.940659,50,18.149625
-50.754828,50,18.242026
-53.384173,50,18.332332
-64.408074,50,18.424661
-51.464569,50,18.515399
-57.303723,50,18.607678
-53.963607,50,18.69923
-63.89385,50,18.791636
-59.811782,50,18.882799
-56.862082,50,18.974575
-58.821569,50,19.065334
-54.96211,50,19.158281
-55.645227,50,19.250337
-53.572087,50,19.342939
-61.014644,50,19.434642
-47.161612,50,19.525724
-57.935568,50,19.616673
-44.651741,50,19.839442
