# {"t_start": 1587252505.58048, "env_id": "Walker2d-v2"} 
r,l,t
1.529415,22,1.530985
-1.186701,12,1.557419
4.342045,19,1.597648
-5.134334,22,1.64478
2.186973,17,1.68065
-5.168498,24,1.73308
4.296181,23,1.781474
0.564197,12,1.807208
-0.601236,29,1.870032
3.011349,22,1.917307
3.485092,45,2.011981
-1.833753,12,2.038221
-1.731153,19,2.078198
-2.613164,22,2.12425
1.200949,12,2.149762
-0.726292,14,2.181313
-1.687175,31,2.246002
0.011222,13,2.273677
-3.143916,7,2.289519
-2.292738,10,2.311663
-5.033727,12,2.337599
1.160926,13,2.365663
4.157544,19,2.405768
1.066523,12,2.431644
3.447177,26,2.485703
4.135769,17,2.520991
-7.965814,21,2.565283
0.066042,32,2.632991
-9.697983,22,2.679207
-0.714153,12,2.706132
-5.248987,18,2.743718
2.320545,20,2.786964
0.547058,33,2.856021
-1.314611,18,2.894084
2.570006,26,2.948679
-1.007725,13,2.976418
-9.184598,19,3.016637
5.253306,22,3.063127
12.361859,23,3.112221
0.50666,12,3.138625
0.686268,12,3.163684
-5.655518,16,3.196798
2.617887,16,3.230713
-3.531457,9,3.250507
-6.552138,23,3.298878
4.199744,38,3.376932
14.759337,34,3.447409
3.693364,15,3.479084
-2.670586,18,3.517508
-3.732397,9,3.536689
-7.135485,16,3.571079
-7.513349,19,3.610839
0.615806,10,3.632943
0.133851,18,4.027481
-3.601577,14,4.058442
1.192472,10,4.080411
9.629141,33,4.149623
7.120326,17,4.186126
4.325209,16,4.220905
-2.038795,10,4.243566
7.022815,21,4.287727
1.266219,11,4.311886
0.364491,12,4.338025
-8.306445,13,4.365836
10.52188,31,4.430586
8.471883,31,4.497456
5.409647,39,4.5797
2.727091,12,4.605826
2.177616,14,4.635557
15.908351,54,4.747375
-5.900092,17,4.783702
3.479351,18,4.821789
-5.797115,14,4.851686
1.646135,14,4.881449
-3.795405,10,4.902824
-6.97123,11,4.926419
-4.164249,9,4.946546
-3.363129,11,4.97028
2.107972,14,5.001414
-1.832331,14,5.030886
-7.940962,21,5.074853
4.194312,18,5.112963
0.428718,12,5.139065
1.242945,16,5.173206
-2.848361,11,5.196737
2.21598,17,5.232848
2.493836,26,5.287898
-1.136121,12,5.313998
4.874041,16,5.34785
1.297105,14,5.378863
-0.006274,10,5.400602
8.600387,16,5.434209
-0.67893,15,5.465961
-3.740098,11,5.490003
7.027756,19,5.53021
-2.036724,22,5.576666
-2.966331,13,5.603944
10.539812,24,5.657102
0.930487,25,5.709428
0.985292,16,5.743731
2.001699,16,5.778455
5.86797,27,5.835121
-3.111034,20,5.879152
5.392723,28,5.937565
-2.149619,17,5.973918
6.51391,29,6.034665
-3.565801,20,6.077296
-3.435002,12,6.102714
7.779678,20,6.147991
1.26222,16,6.183379
1.194092,28,6.376832
3.344064,46,6.472986
-2.634152,14,6.503452
-3.328216,24,6.553838
3.271582,16,6.587375
3.238214,21,6.631693
1.270004,12,6.657608
-4.374849,17,6.693441
2.139387,24,6.744082
-2.194918,8,6.764003
0.279776,29,6.825843
8.854381,32,6.891868
4.181214,18,6.930071
-2.375022,10,6.951988
-1.673519,19,6.990699
-0.958443,9,7.009913
-5.397627,22,7.055025
6.788222,22,7.100242
0.860668,16,7.132979
7.522784,27,7.188032
6.336145,29,7.247338
0.943349,15,7.281057
4.818565,28,7.336902
1.258364,16,7.369738
3.596272,17,7.404523
0.735299,16,7.43802
-1.917142,11,7.460844
-4.240848,7,7.4761
-0.934049,10,7.49723
-3.235664,10,7.518739
6.008314,27,7.573747
-1.636641,16,7.607434
-0.543889,14,7.636429
6.724791,22,7.681527
-7.112053,19,7.720267
1.562534,23,7.767254
-3.41634,11,7.791194
4.085983,16,7.823938
-6.833721,19,7.863159
-2.727908,17,7.897506
-7.520521,15,7.930842
1.727706,13,7.958883
30.767849,39,8.039712
-3.319695,31,8.103111
-1.034893,10,8.124831
-0.649884,20,8.166746
-3.508966,8,8.184008
-2.036692,13,8.211686
6.14725,39,8.291365
-0.671817,11,8.314402
-5.559832,8,8.331804
11.190935,27,8.386512
6.273941,22,8.431535
3.741273,27,8.618164
-8.381898,25,8.669782
-0.205331,16,8.702721
4.332452,19,8.742697
3.673915,17,8.77781
7.334345,32,8.843738
2.326917,19,8.883245
-5.409865,13,8.910738
6.908511,17,8.946354
6.098859,22,8.992575
-2.093207,16,9.028043
-0.537859,16,9.063642
1.347925,22,9.109515
-1.332543,9,9.128943
4.031005,30,9.193091
-2.205454,12,9.218766
2.790267,14,9.249069
8.819553,23,9.297698
20.400095,43,9.386792
1.231139,21,9.431549
0.519273,21,9.47576
9.540868,39,9.558846
4.460221,15,9.591737
16.040458,27,9.649809
-0.810578,17,9.686484
-0.809624,14,9.716967
-0.960658,16,9.752684
3.61761,48,9.85395
6.237061,16,9.888531
1.351543,22,9.935836
-1.689188,15,9.968778
6.993495,18,10.00787
18.085228,29,10.069509
0.639018,11,10.09485
26.09228,43,10.187883
11.347802,32,10.25812
1.970216,13,10.286618
1.767801,34,10.359004
12.978626,37,10.437831
-5.977871,14,10.467612
-6.019645,22,10.513996
-5.514966,27,10.571613
13.241669,38,10.659619
-7.03849,18,10.700375
2.657436,12,10.73436
13.612671,29,10.801586
-5.719456,27,11.004852
3.674017,78,11.1821
-2.837252,16,11.226102
31.54201,38,11.330103
28.850803,51,11.449357
11.532966,40,11.54379
12.116176,41,11.637199
-1.767,11,11.664136
32.56031,107,11.899891
14.616392,39,11.984774
13.52567,42,12.07516
4.798192,18,12.11373
10.761399,31,12.178501
1.961313,12,12.204853
-2.551752,15,12.238279
16.732305,45,12.326412
-3.606307,10,12.345897
-2.791019,13,12.37134
1.094622,17,12.40613
-3.710556,11,12.42754
0.848091,11,12.449842
24.502779,42,12.532268
21.188949,58,12.650065
14.519499,25,12.699832
7.926438,24,12.747546
13.011312,45,12.827027
6.695097,33,12.886392
13.271703,28,12.938135
24.683644,49,13.025765
4.119388,18,13.056703
5.425872,26,13.101648
-1.273018,9,13.233152
-1.129071,9,13.250285
2.808795,25,13.297834
4.098563,25,13.343191
9.738783,23,13.38475
1.792208,11,13.405664
8.88613,51,13.4912
22.587099,46,13.567977
12.282288,32,13.624778
-0.30832,17,13.6559
4.87911,17,13.688789
-2.590918,11,13.71228
38.439082,53,13.807706
-0.577131,14,13.833563
6.041499,19,13.869198
68.981077,121,14.088071
-0.639054,31,14.154467
25.123083,39,14.241691
-0.421667,12,14.268655
-4.766442,10,14.292449
26.6984,57,14.408164
4.041068,26,14.460963
150.47433,96,14.653495
10.751588,53,14.765857
-5.271548,14,14.797106
12.854296,35,14.869589
28.773282,34,14.941364
3.123917,30,15.006256
-1.185776,12,15.032969
26.76331,52,15.143613
12.84636,45,15.242226
8.362923,43,15.467925
20.899994,48,15.569427
2.506568,46,15.673416
16.999189,37,15.755456
1.957888,24,15.808964
5.286636,33,15.882103
16.704596,46,15.980849
2.263897,12,16.007474
25.038446,65,16.142915
9.202712,36,16.219204
11.176376,21,16.265071
-6.442181,17,16.301253
5.003072,21,16.345549
24.082432,47,16.443782
7.770981,22,16.490644
-5.403733,18,16.52948
30.038523,44,16.62051
7.452255,23,16.669205
28.388692,63,16.805507
18.938146,34,16.877402
-0.969454,25,16.930524
64.48369,92,17.123781
-0.624923,13,17.152725
28.484825,43,17.245306
19.498209,45,17.340246
2.5261,19,17.38109
18.583897,37,17.457887
18.181103,51,17.562932
211.215477,135,17.991814
0.399905,11,18.016667
7.291413,45,18.11511
0.620469,48,18.219887
1.799007,32,18.289246
78.523776,101,18.509829
34.595075,64,18.650596
12.586908,27,18.71194
10.774492,28,18.775835
0.664282,25,18.833447
0.716574,15,18.868632
29.882351,51,18.983439
8.498791,17,19.021805
-4.933439,17,19.060938
-0.204651,12,19.089471
5.665854,22,19.141112
5.572445,15,19.175537
34.113744,45,19.276287
41.661296,59,19.406033
-1.504213,11,19.43108
