#{"t_start": 1583971211.283063, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.864002
-500.0,500,1.182713
-500.0,500,1.495014
-500.0,500,1.819763
-500.0,500,2.12333
-500.0,500,2.446384
-500.0,500,2.760632
-500.0,500,3.070003
-500.0,500,3.403233
-500.0,500,3.713723
-500.0,500,4.032399
-365.0,366,4.266236
-317.0,318,4.466646
-224.0,225,4.603852
-194.0,195,4.736609
-196.0,197,4.859868
-162.0,163,4.958422
-160.0,161,5.059414
-169.0,170,5.170761
-144.0,145,5.262196
-154.0,155,5.361278
-189.0,190,5.481925
-224.0,225,5.623742
-226.0,227,5.772024
-172.0,173,5.883524
-141.0,142,5.97768
-181.0,182,6.093348
-219.0,220,6.234493
-181.0,182,6.350565
-225.0,226,6.486452
-141.0,142,6.573729
-237.0,238,6.733344
-140.0,141,6.821068
-176.0,177,6.934943
-133.0,134,7.021639
-111.0,112,7.092503
-126.0,127,7.170681
-136.0,137,7.258361
-104.0,105,7.322989
-128.0,129,7.402005
-147.0,148,7.492726
-103.0,104,7.561716
-126.0,127,7.644106
-124.0,125,7.72588
-126.0,127,7.806253
-135.0,136,7.895327
-91.0,92,7.955849
-157.0,158,8.055809
-150.0,151,8.149307
-127.0,128,8.232334
-135.0,136,8.316925
-135.0,136,8.40056
-158.0,159,8.507993
-179.0,180,8.62541
-146.0,147,8.716144
-166.0,167,8.820733
-130.0,131,8.908005
-111.0,112,8.979125
-135.0,136,9.067698
-125.0,126,9.14973
-142.0,143,9.243658
-142.0,143,9.337695
-167.0,168,9.443665
-109.0,110,9.516298
-184.0,185,9.63732
-135.0,136,9.723386
-147.0,148,9.819105
-140.0,141,9.908824
-136.0,137,9.994872
-294.0,295,10.183719
-122.0,123,10.261339
-131.0,132,10.346643
-157.0,158,10.450026
-140.0,141,10.541707
-95.0,96,10.603826
-125.0,126,10.683244
-139.0,140,10.773539
-147.0,148,10.868436
-146.0,147,10.963018
-187.0,188,11.084772
-156.0,157,11.186952
-172.0,173,11.297277
-231.0,232,11.449038
-230.0,231,11.596931
-269.0,270,11.769121
-202.0,203,11.899102
-338.0,339,12.116263
-189.0,190,12.2372
-370.0,371,12.479787
-322.0,323,12.690507
-302.0,303,12.888343
-203.0,204,13.019085
-431.0,432,13.309195
-500.0,500,13.641762
-500.0,500,13.957409
-500.0,500,14.285244
-425.0,426,14.556185
-392.0,393,14.81196
-489.0,490,15.123904
-500.0,500,15.444463
-500.0,500,15.764635
-500.0,500,16.078877
-500.0,500,16.399826
-500.0,500,16.713298
-500.0,500,17.025972
-500.0,500,17.338932
-458.0,459,17.626389
-500.0,500,17.939668
