#{"t_start": 1587113555.8827, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.972147
-500.0,500,1.240092
-500.0,500,1.506078
-500.0,500,1.767313
-500.0,500,2.033084
-500.0,500,2.294433
-500.0,500,2.557756
-500.0,500,2.818203
-500.0,500,3.07737
-500.0,500,3.346272
-500.0,500,3.590895
-500.0,500,3.848147
-500.0,500,4.114964
-500.0,500,4.379704
-500.0,500,4.651036
-500.0,500,4.910638
-422.0,423,5.12332
-500.0,500,5.39277
-328.0,329,5.573865
-480.0,481,5.828871
-308.0,309,5.984834
-345.0,346,6.167234
-336.0,337,6.326453
-334.0,335,6.507109
-366.0,367,6.698148
-300.0,301,6.84911
-324.0,325,7.029331
-381.0,382,7.232627
-227.0,228,7.336951
-340.0,341,7.52747
-282.0,283,7.672446
-221.0,222,7.797005
-393.0,394,8.00134
-500.0,500,8.267619
-357.0,358,8.459978
-358.0,359,8.650549
-474.0,475,8.89233
-237.0,238,9.018813
-386.0,387,9.224619
-181.0,182,9.332295
-289.0,290,9.48045
-298.0,299,9.640591
-352.0,353,9.83476
-296.0,297,9.9872
-254.0,255,10.12223
-223.0,224,10.243435
-292.0,293,10.394075
-433.0,434,10.632078
-295.0,296,10.779787
-440.0,441,10.99781
-244.0,245,11.125513
-278.0,279,11.291956
-281.0,282,11.434516
-231.0,232,11.557822
-214.0,215,11.656799
-298.0,299,11.824222
-296.0,297,11.971357
-231.0,232,12.100046
-233.0,234,12.226025
-257.0,258,12.361872
-190.0,191,12.453832
-275.0,276,12.596715
-424.0,425,12.85226
-317.0,318,13.013002
-198.0,199,13.128389
-182.0,183,13.218729
-164.0,165,13.300711
-254.0,255,13.43429
-176.0,177,13.536908
-223.0,224,13.642981
-171.0,172,13.748849
-168.0,169,13.834152
-180.0,181,13.940204
-316.0,317,14.128054
-234.0,235,14.314852
-190.0,191,14.417671
-158.0,159,14.516606
-160.0,161,14.597678
-186.0,187,14.691908
-178.0,179,14.801079
-135.0,136,14.876858
