#{"t_start": 1587114348.292941, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.069959
-500.0,500,1.249624
-500.0,500,1.874322
-500.0,500,2.052321
-500.0,500,2.288224
-500.0,500,2.471926
-500.0,500,2.707285
-500.0,500,2.884384
-500.0,500,3.130552
-500.0,500,3.318643
-500.0,500,3.560771
-500.0,500,3.740001
-500.0,500,3.982818
-500.0,500,4.165194
-500.0,500,4.396916
-500.0,500,4.578686
-500.0,500,4.812096
-500.0,500,4.99847
-500.0,500,5.2331
-500.0,500,5.412082
-500.0,500,5.641991
-500.0,500,5.829515
-500.0,500,6.074781
-500.0,500,6.25675
-500.0,500,6.498639
-500.0,500,6.676161
-500.0,500,6.907249
-500.0,500,7.084148
-500.0,500,7.326788
-500.0,500,7.511519
-500.0,500,7.749372
-500.0,500,7.934628
-500.0,500,8.16524
-500.0,500,8.345473
-500.0,500,8.581065
-500.0,500,8.768252
-500.0,500,9.003149
-500.0,500,9.184234
-500.0,500,9.415233
-500.0,500,9.602872
-500.0,500,9.842097
-500.0,500,10.021176
-500.0,500,10.197192
-419.0,420,10.408274
-500.0,500,10.585927
-500.0,500,10.820895
-437.0,438,10.98083
-470.0,471,11.203854
-475.0,476,11.381069
-452.0,453,11.598245
-335.0,336,11.720525
-500.0,500,11.90054
-500.0,500,12.152964
-500.0,500,12.336319
-500.0,500,12.571107
-500.0,500,12.752734
-500.0,500,12.986358
-500.0,500,13.180291
-500.0,500,13.429434
-500.0,500,13.604095
-500.0,500,13.84548
-500.0,500,14.040927
-500.0,500,14.278935
-500.0,500,14.458756
-500.0,500,14.692886
-500.0,500,14.873575
-500.0,500,15.10952
-500.0,500,15.290938
-500.0,500,15.522839
-500.0,500,15.701948
-248.0,249,15.844314
-500.0,500,16.023903
-500.0,500,16.253926
-500.0,500,16.437876
-500.0,500,16.619456
-500.0,500,16.853906
-342.0,343,16.975578
-470.0,471,17.196271
-500.0,500,17.394447
-266.0,267,17.545467
-253.0,254,17.640376
-305.0,306,17.751514
-354.0,355,17.877388
-315.0,316,18.04499
-435.0,436,18.208492
-416.0,417,18.423942
-407.0,408,18.571755
-500.0,500,18.748247
-443.0,444,18.965989
-256.0,257,19.060573
-412.0,413,19.257422
-484.0,485,19.431102
-345.0,346,19.55624
-302.0,303,19.723165
-234.0,235,19.809746
-286.0,287,19.912325
-302.0,303,20.014639
-445.0,446,20.224173
-449.0,450,20.383734
-286.0,287,20.54015
-222.0,223,20.617362
-389.0,390,20.753461
-223.0,224,20.833958
-293.0,294,21.000166
-249.0,250,21.094851
-264.0,265,21.190399
-500.0,500,21.425816
-217.0,218,21.505821
-352.0,353,21.634186
-199.0,200,21.707476
-258.0,259,21.859808
-181.0,182,21.925277
-197.0,198,21.997802
-292.0,293,22.1019
-287.0,288,22.259412
-500.0,500,22.443348
-324.0,325,22.561516
-301.0,302,22.734787
-312.0,313,22.849979
-357.0,358,22.976653
-302.0,303,23.142772
-314.0,315,23.256682
-237.0,238,23.346987
-177.0,178,23.413002
-256.0,257,23.55999
-197.0,198,23.631898
-258.0,259,23.724003
-296.0,297,23.831172
-257.0,258,23.977338
-265.0,266,24.0711
-272.0,273,24.174299
-214.0,215,24.250842
-303.0,304,24.413983
-284.0,285,24.523037
-347.0,348,24.65044
-331.0,332,24.824675
-500.0,500,25.001383
-375.0,376,25.136028
-297.0,298,25.306011
