#{"t_start": 1581951099.627019, "env_id": "CartPole-v1"}
r,l,t
33.0,33,1.084974
17.0,17,1.089111
17.0,17,1.092842
22.0,22,1.097585
10.0,10,1.099945
22.0,22,1.104689
20.0,20,1.108968
11.0,11,1.111352
42.0,42,1.120405
30.0,30,1.126735
42.0,42,1.135555
11.0,11,1.137913
12.0,12,1.140484
21.0,21,1.144916
14.0,14,1.147898
10.0,10,1.150043
23.0,23,1.155005
13.0,13,1.157785
27.0,27,1.163561
21.0,21,1.168305
74.0,74,1.184081
18.0,18,1.187946
20.0,20,1.192917
13.0,13,1.196196
21.0,21,1.201133
55.0,55,1.214407
15.0,15,1.218524
23.0,23,1.225853
15.0,15,1.232207
23.0,23,1.237754
65.0,65,1.253414
18.0,18,1.257868
26.0,26,1.264325
31.0,31,1.271126
20.0,20,1.275685
19.0,19,1.280212
23.0,23,1.285176
11.0,11,1.287828
25.0,25,1.294653
19.0,19,1.299354
12.0,12,1.302026
21.0,21,1.307166
16.0,16,1.31069
10.0,10,1.313326
12.0,12,1.315925
24.0,24,1.737148
31.0,31,1.747844
27.0,27,1.757361
21.0,21,1.762262
17.0,17,1.766123
22.0,22,1.771727
41.0,41,1.78131
30.0,30,1.787996
18.0,18,1.791967
61.0,61,1.805767
23.0,23,1.811056
20.0,20,1.816236
75.0,75,1.836191
27.0,27,1.84224
15.0,15,1.845704
22.0,22,1.850637
13.0,13,1.85354
16.0,16,1.857058
17.0,17,1.860815
41.0,41,1.869931
38.0,38,1.878747
12.0,12,1.881384
54.0,54,1.894722
15.0,15,1.898254
20.0,20,1.902562
25.0,25,1.907972
33.0,33,1.91571
44.0,44,1.926626
21.0,21,1.93134
43.0,43,1.941708
20.0,20,1.946386
59.0,59,1.959696
23.0,23,1.964792
11.0,11,1.967216
26.0,26,1.973131
20.0,20,1.977444
25.0,25,2.040993
170.0,170,2.085233
18.0,18,2.089457
51.0,51,2.101276
31.0,31,2.109221
38.0,38,2.118747
35.0,35,2.127011
21.0,21,2.132734
8.0,8,2.134758
29.0,29,2.141648
51.0,51,2.154343
82.0,82,2.173626
80.0,80,2.193592
19.0,19,2.199934
44.0,44,2.213024
27.0,27,2.219892
39.0,39,2.229678
24.0,24,2.235428
24.0,24,2.240969
19.0,19,2.245246
37.0,37,2.255071
67.0,67,2.271705
55.0,55,2.284716
20.0,20,2.289842
76.0,76,2.360903
11.0,11,2.364443
81.0,81,2.38679
40.0,40,2.396402
28.0,28,2.403213
111.0,111,2.430917
90.0,90,2.4535
32.0,32,2.461275
87.0,87,2.481907
187.0,187,2.527313
62.0,62,2.542941
58.0,58,2.556817
43.0,43,2.567127
46.0,46,2.577823
26.0,26,2.584703
89.0,89,2.658422
25.0,25,2.664423
125.0,125,2.695787
129.0,129,2.723693
58.0,58,2.737377
22.0,22,2.742685
123.0,123,2.769706
127.0,127,2.797451
72.0,72,2.816358
142.0,142,2.84896
32.0,32,2.856419
123.0,123,2.882148
158.0,158,2.97182
97.0,97,2.993736
153.0,153,3.031105
104.0,104,3.055772
18.0,18,3.059461
121.0,121,3.088754
210.0,210,3.139928
121.0,121,3.168443
250.0,250,3.285826
139.0,139,3.318848
406.0,406,3.42094
187.0,187,3.464958
472.0,472,3.633842
180.0,180,3.676226
191.0,191,3.723553
313.0,313,3.855277
160.0,160,3.894726
445.0,445,4.003733
205.0,205,4.053534
18.0,18,4.057554
95.0,95,4.079734
260.0,260,4.195493
410.0,410,4.293544
348.0,348,4.380395
265.0,265,4.500277
368.0,368,4.589231
221.0,221,4.645588
330.0,330,4.777607
435.0,435,4.88222
391.0,391,4.975754
197.0,197,5.08569
227.0,227,5.149247
210.0,210,5.201237
287.0,287,5.272452
225.0,225,5.379488
317.0,317,5.459617
226.0,226,5.51722
123.0,123,5.549472
199.0,199,5.6002
232.0,232,5.726771
348.0,348,5.808943
198.0,198,5.858263
354.0,354,5.95033
194.0,194,6.05151
417.0,417,6.157888
247.0,247,6.214839
188.0,188,6.256206
176.0,176,6.341912
260.0,260,6.398189
425.0,425,6.492139
246.0,246,6.595145
216.0,216,6.641832
173.0,173,6.678628
206.0,206,6.723483
180.0,180,6.763743
403.0,403,6.898699
237.0,237,6.949443
294.0,294,7.013861
316.0,316,7.128796
164.0,164,7.16445
306.0,306,7.23087
185.0,185,7.268921
192.0,192,7.311353
252.0,252,7.416954
190.0,190,7.463725
157.0,157,7.503679
197.0,197,7.554846
205.0,205,7.607283
268.0,268,7.732565
205.0,205,7.783552
303.0,303,7.863892
167.0,167,7.906182
319.0,319,8.027492
254.0,254,8.081547
500.0,500,8.191191
196.0,196,8.282137
500.0,500,8.420742
210.0,210,8.472554
398.0,398,8.618658
500.0,500,8.736797
500.0,500,8.932965
295.0,295,9.006589
261.0,261,9.070242
500.0,500,9.24893
500.0,500,9.366564
268.0,268,9.435775
438.0,438,9.598521
316.0,316,9.678603
203.0,203,9.728854
500.0,500,9.902065
389.0,389,9.993833
154.0,154,10.031809
194.0,194,10.079317
396.0,396,10.229914
500.0,500,10.346855
336.0,336,10.481881
215.0,215,10.533435
265.0,265,10.598752
175.0,175,10.639014
276.0,276,10.758254
500.0,500,10.884777
500.0,500,11.064358
500.0,500,11.184589
500.0,500,11.354724
229.0,229,11.412198
318.0,318,11.489921
211.0,211,11.541638
500.0,500,11.713636
496.0,496,11.833864
188.0,188,11.880217
500.0,500,12.047453
257.0,257,12.104991
500.0,500,12.288153
267.0,267,12.354391
258.0,258,12.41429
385.0,385,12.555715
331.0,331,12.63637
244.0,244,12.688197
500.0,500,12.880051
352.0,352,12.963162
427.0,427,13.067432
300.0,300,13.191944
408.0,408,13.289579
300.0,300,13.364038
392.0,392,13.510554
410.0,410,13.607565
276.0,276,13.673092
262.0,262,13.786822
360.0,360,13.873941
325.0,325,13.952963
182.0,182,14.056534
212.0,212,14.112884
310.0,310,14.188909
212.0,212,14.241661
363.0,363,14.378929
317.0,317,14.449906
410.0,410,14.541503
364.0,364,14.678525
414.0,414,14.773455
500.0,500,14.948486
271.0,271,15.015557
500.0,500,15.137212
132.0,132,15.166374
486.0,486,15.33661
323.0,323,15.417653
179.0,179,15.460907
311.0,311,15.589675
322.0,322,15.669884
294.0,294,15.741292
351.0,351,15.875804
224.0,224,15.928179
335.0,335,16.00754
315.0,315,16.083141
