_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-769.72,-20.190889143088924,252.0273855154327,1,499,20848.780216343814,2.492485374218277,0,5,2.9068932984042024,-8.385465007457305e-17,-3.6499357875780998,5.364034904255857,0.999999724932789,-19.002604616843076,-45.53820037488662,20.0,52.86097882243283,100,53.31884500908868,-1.106815306073372e-09,-8.233791775724697e-06
-415.64,-10.496130007459108,228.88480405084655,1,499,22280.942476504406,1.9554828841183607,0,5,2.2807335594807685,-5.546723186481082e-17,-4.847271503734047,5.541231534519011,0.9999996394790243,-10.740099583153984,-37.63050091589268,20.0,30.775185704628022,200,48.80133841682142,-0.004410761766441729,-4.087061133972725e-09
-228.32,-7.04084768350119,246.573368934293,1,499,23759.49223715272,1.7068725330856744,0,5,1.7207862951057966,-2.581842074447543e-16,-7.163836377778524,7.250698874460716,0.9999994537463861,-6.46294758106568,-32.775959441572056,20.0,13.363062272298208,300,18.400954717436377,-0.0013659390518139247,-0.009260318306607562
-161.76,-5.91290752661607,242.1201219108196,1,499,24554.679866095255,1.6430133174319221,0,5,1.5805045885061413,5.649316126098987e-17,-9.067681210830338,8.963052841263877,0.9999992894050086,-5.202069634224713,-30.733453187398304,20.0,7.917824871753246,400,8.269634128385482,-0.0002811748844502304,-0.0013902369197233977
-131.0,-5.016031912158379,255.06989165267817,1,499,23037.56355709188,1.5930871356630552,0,5,1.513881710246534,2.168602886495041e-18,-5.039753559761821,8.3949175557951,0.9999993242893932,-4.844619810402614,-19.764563546636733,20.0,8.761539586732706,500,8.859660249941522,-0.000205909956246364,-0.00010856325017538637
-109.51,-5.2349350330779885,269.3038246669532,1,499,23176.720668655118,1.6019767941555652,0,5,1.4928882280820304,1.0381801897655095e-17,-4.537420876106539,7.535901842574083,0.9999993874497868,-4.526087321595945,-19.33023822607055,20.0,10.669472853057027,600,10.686571789635527,-0.0003401234658797492,-0.00030295598764884524
-74.38,-4.900235953327978,269.26535138921315,1,499,22669.630382476338,1.5861545645575532,0,5,1.5437681451501895,3.732713414569753e-18,-5.283647975845203,5.886402664548249,0.9999995131077829,-4.112760403767081,-25.80813297317578,20.0,16.882687349831873,700,16.909294234236924,-0.0007447705565255536,-0.00024074128441453624
-83.87,-4.812625638678984,276.5961397251652,1,499,22547.821162062508,1.577048148536662,0,5,1.5416614009126006,0.0,-5.759442297102163,6.1809488073910925,0.9999994901528756,-4.196994623363937,-26.78407813955584,20.0,15.399920165378362,800,15.418871864280387,-0.0008058211416293037,-0.0005968897433508147
-68.18,-4.620764982805453,272.54695062923525,1,499,22347.623158658746,1.5493707647628268,0,5,1.4585983455925418,1.0317658312102133e-17,-4.422310274069452,5.755834045894769,0.9999995193556585,-3.9014634567857973,-22.294397893754173,20.0,17.332553773865587,900,17.404074647140607,-0.0016013669217724846,-0.000784536885398035
-55.28,-4.382178726111201,275.2201168257587,1,499,20585.388362944042,1.5674597521014388,0,5,1.5396506350448735,-1.012313343439379e-17,-3.057512667249502,5.219155409696435,0.999999559656002,-3.688150521378476,-17.56834083792826,20.0,20.681995561575974,1000,20.758596654627762,-0.0034020817061284347,-0.0015593167850522782
-60.34,-4.62053568535486,259.8771394454027,1,499,22415.360253565937,1.6011675733050286,0,5,1.4972946431411591,3.770957865251958e-18,-3.2180996796650643,5.391810892572373,0.9999995461739123,-3.757700109573844,-17.90431255822336,20.0,19.53426763518197,1100,19.652721292592236,-0.005131454924516499,-0.004928233201874965
-56.14,-4.422128407648152,242.91531038456,1,499,22111.39164662338,1.6364683854241682,0,5,1.4873176155567627,-1.6374310488494315e-17,-3.8418718238545573,5.231863668402041,0.9999995601339429,-3.788153339614107,-21.200000000001467,20.0,20.81332122060391,1200,20.944021604836074,-0.0061490861631008364,-0.005408833836159976
-48.61,-4.3493709345117075,261.92204132748907,1,499,22417.675199840494,1.6023794614902942,0,5,1.5375773062281382,2.669540647815029e-17,-4.102309344494132,4.977313101098521,0.9999995768205296,-3.532443898903463,-24.88617164036917,20.0,22.500487519401503,1300,22.692960549186278,-0.0076198876057220755,-0.004598761392786477
-41.65,-4.201161895204183,286.34450587422253,1,499,20035.09416988369,1.5886316516931582,0,5,1.5538237668765391,2.45522714498998e-17,-2.3661694305363454,4.7385928910980235,0.9999995929194031,-3.307625300953409,-14.90592135061927,20.0,24.436466812283548,1400,25.326322937041216,-0.03546883996758443,-0.004553103683024862
-44.19,-4.087247842173652,275.1171217585437,1,499,20787.18325999668,1.6201270822600033,0,5,1.5008966350608155,0.0,-3.625508579392368,4.887593344744854,0.9999995844167827,-3.5136700778173697,-20.96941569907863,20.0,24.340960231144635,1500,25.154362870084324,-0.03341078800803854,-0.026006010514215028
