_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-759.39,-19.3847533548934,255.50244002671187,1,498,20873.47216489951,2.507011866235167,0,5,2.9104532223896284,1.708193354578142e-16,-3.746139071426532,5.294151236095336,0.9999997304073034,-19.106236125650728,-46.88380501459149,20.0,55.016363313576576,100,56.2854955805045,-2.10742885364823e-08,-4.976956624913598e-05
-203.96,-5.102438952315504,438.865,2,494,1249.761775,0.0489,0,4,0.13430879,6.963318810448982e-16,-25.965588641251433,3.1716797923573714,0.9999984129510058,-4.996951220953691,-37.71878780763309,-1.0,1.5881017127232406,200,50.4916701508115,-5.475157882628423e-09,-2.9755344854720533e-09
-200.0,-4.999999999999999,449.925,6,494,1074.484375,0.0,0,0,0.0,2.105338126057177e-15,-0.23170883009157694,8.46580352102501,0.9999956585675823,-4.9,-4.999999999999998,-1.0,0.21222222222222226,300,0.21574148634000204,-2.3156539508129015e-07,-1.1309924552449502e-08
-200.0,-4.999999999999999,446.015,3,494,1338.7497749999998,0.0,0,0,0.0,1.3500311979441904e-17,-0.3128983235330765,8.465788289708206,0.9999956585829732,-4.9,-4.999999999999998,-1.0,0.21222222222222226,400,0.21223633231904518,-1.03504587944947e-06,-9.838997647726444e-07
-200.0,-4.999999999999999,442.585,11,494,1266.837775,0.0,0,0,0.0,4.618527782440651e-18,-0.25321917597191984,8.465797292091692,0.9999956585743681,-4.9,-4.999999999999998,-1.0,0.21222222222222226,500,0.21236936305518916,-1.709726098475528e-07,-1.9668316264542796e-07
-200.0,-4.999999999999999,451.395,2,494,1320.893975,0.0,0,0,0.0,2.3447910280083306e-17,-0.31867199097620885,8.465789961938057,0.99999565858086,-4.9,-4.999999999999998,-1.0,0.21222222222222226,600,0.21222847606164869,-6.573987885172272e-07,-9.735029979918153e-07
-200.0,-4.999999999999999,439.815,8,493,1357.945775,0.0,0,0,0.0,1.7053025658242403e-17,-0.25732545043314115,8.465798314345367,0.9999956585737989,-4.9,-4.999999999999998,-1.0,0.21222222222222226,700,0.21245972143167327,-7.97571801935959e-08,-1.7225132320497494e-07
-200.0,-4.999999999999999,445.995,4,494,1363.079975,0.0,0,0,0.0,7.105427357601002e-18,-0.26320999275077,8.465796224558423,0.9999956585755483,-4.9,-4.999999999999998,-1.0,0.21222222222222226,800,0.21226252330672662,-1.2152932860054477e-07,-3.045750971431005e-07
-200.0,-4.999999999999999,440.98,2,494,1308.6896,0.0,0,0,0.0,-1.6342482922482304e-17,-0.2539531185873323,8.46579846292017,0.9999956585736456,-4.9,-4.999999999999998,-1.0,0.21222222222222226,900,0.212222476386596,-5.580965489748735e-08,-1.667720299636244e-07
-200.0,-4.999999999999999,444.095,2,494,1384.130975,0.0,0,0,0.0,3.552713678800501e-18,-0.23846100158216274,8.465800292189748,0.9999956585715996,-4.9,-4.999999999999998,-1.0,0.21222222222222226,1000,0.21253814259642334,-1.620326273155115e-08,-6.243419403695327e-08
