_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-772.09,-41.10940795341166,244.44297202974053,1,499,20627.434345807673,2.5096859035961763,0,5,2.919068087070018,3.6657406831991413e-17,-3.498636132067038,5.039599027152058,0.9999998239253016,-37.180290973745876,-76.91412436671821,20.0,129.01953516084288,100,522.8283492988479,-3.593894071229897e-10,-5.7310872949578595e-06
-670.12,-36.83229884578843,252.11919672894777,1,499,20928.104264268582,2.371357590186843,0,5,2.8051606692412085,6.472518062925192e-17,-3.7817666960330274,4.845340578764581,0.99999981704592,-32.967803480088534,-74.3089859312808,20.0,119.50226607086952,200,119.5567531419015,-7.815792457677162e-11,-5.437041927791597e-10
-596.28,-29.9686352191382,242.1753511554146,1,499,21966.802409098607,2.1970497910688214,0,5,2.6242132164203107,4.292661143392842e-17,-5.070241741558349,4.9916727376052386,0.9999997948420648,-28.661744364032412,-78.08944837749257,20.0,95.0349742081975,300,99.60797964240837,-4.1657077787249364e-10,-1.30655264385382e-10
-484.5,-26.364179983531542,247.45254499813063,1,498,21929.889792566944,2.0885007744485393,0,5,2.461056145742604,1.2144083503884637e-17,-3.619455877062327,4.735628225427269,0.99999978768744,-24.609957699878315,-58.70550909608147,20.0,88.73780383082844,400,92.99852547972529,-1.1673100770437372e-06,-4.7932546820561583e-11
-381.13,-22.076023644774914,249.98065042545753,1,498,21006.698541551537,1.9823988809884603,0,5,2.271050499012619,-1.2423523763144309e-17,-4.049754618894656,4.571532047115879,0.9999997773031924,-21.054993514378285,-57.42623691758871,20.0,80.66438424445266,500,83.83325670342053,-0.001728701479263517,-2.8825295899093106e-06
-317.24,-19.12069130209799,250.17195514732197,1,499,21177.612743248857,1.9048669927233688,0,5,2.1133999077534167,-1.7799591376550284e-17,-3.945037601260268,4.668302443086877,0.9999997540568537,-17.895227116074906,-50.04333881296182,20.0,65.6644240804578,600,69.03428943211668,-0.0007172699746056388,-0.0060818979164163345
-246.53,-16.834655280001154,246.9190324633991,1,498,21398.240038783795,1.8321451304901337,0,5,1.9984956530300748,3.075550988649702e-17,-5.038429296622834,4.716819738460179,0.9999997285759915,-14.728122867472884,-51.88198852453502,20.0,54.30506859045493,700,57.190806122984256,-6.211217928875357e-05,-0.0010335648208050774
-195.15,-14.84431706332146,259.9610333692142,1,498,20326.5270068977,1.7588087549336204,0,5,1.8919523663675561,-7.954407375570551e-17,-4.141896296449948,4.555615101554553,0.9999997243350679,-13.045576938859757,-43.10205115790456,20.0,52.66035776730602,800,54.093816274753536,-0.006865862908522757,-5.959690766532688e-05
-141.7,-12.833978411525322,244.54841201716738,1,498,20524.453149838828,1.7462660944206008,0,5,1.8787950708246606,2.4396317107642924e-17,-3.936597913730115,4.3312780472204295,0.9999997222232391,-11.17162398537573,-39.52892613163715,20.0,52.0744953599148,900,53.57117722071111,-0.004262553928260138,-0.0033799666528113725
-91.54,-10.730322887162274,277.64344120695614,1,496,20979.700114473882,1.7025221697569963,0,5,1.8070499556008661,-1.636629588299206e-17,-3.26654257136534,3.8080130206104483,0.9999997416056563,-9.430232569567426,-34.757779139785285,20.0,60.537644162501486,1000,62.189507156544636,-0.011249720122552098,-0.006741666520919676
-88.71,-11.256325924368344,244.81292154774582,1,498,20185.157404918587,1.7084368713761684,0,5,1.7322906698699423,-5.0446768602066044e-17,-3.226044416887082,3.621663237023224,0.9999997532727171,-9.298225851149983,-35.508166737258904,20.0,66.40473712680958,1100,67.09898067172976,-0.010447872358159138,-0.008266926993374835
