_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-783.25,-37.839269020974754,242.8061035238577,1,498,20030.631768513307,2.511380880121396,0,5,2.9232813674914526,-4.600377854187801e-16,-3.1552352482759756,5.025755523767844,0.9999998263858586,-37.89553150637951,-74.24336380945891,20.0,132.70426663423865,60,758.1446494137012,-1.6143419934167014e-09,-3.01699243143716e-07
-759.4667,-36.84098785219728,239.33096531550356,1,498,20486.448255524498,2.4660259089009613,0,5,2.8995770607578977,-3.325565666741798e-16,-3.770114029493733,5.045044138762085,0.9999998211667427,-36.421718893423616,-78.58521742538272,20.0,125.07333797436998,120,209.29194484877607,-1.2780621005958892e-10,-2.531325593579936e-09
-706.6,-37.92558664403818,234.05124236952972,1,498,21311.30164728293,2.4095950477173074,0,5,2.861034235463395,1.679986693612136e-16,-3.9152033048181023,5.032632234159665,0.999999815958114,-34.69006819811018,-77.23690908343971,20.0,118.09367556476336,180,119.34250432092648,-3.975286766433328e-11,-7.91060550398015e-11
-689.6,-33.74520741478664,239.49469873286785,1,498,19643.048868543407,2.3839324196189984,0,5,2.8199262997170056,-9.799744653186452e-18,-3.6585975308315497,5.008717052641564,0.9999998148181687,-34.09512869545861,-73.60869984163271,20.0,116.64426255461126,240,116.69669789452898,-1.8187229500199464e-11,-1.7078116698598933e-11
-673.43335,-33.36692781536271,257.1656159482024,1,499,21076.558531487197,2.342221843584938,0,5,2.7943682786095847,-2.239741116299515e-17,-3.6189882360440997,4.773266883129682,0.999999819496001,-32.88821425964425,-72.98692346790611,20.0,122.76839836898397,300,123.14970319335015,-1.3506995522050147e-10,-6.303579880295729e-11
-632.3333,-32.88298374558606,259.4276872112283,1,499,21139.726943295416,2.2719030598901577,0,5,2.8099498174703688,0.0,-3.966080306937356,4.817495305930416,0.9999998130099131,-31.526736010581786,-73.9469644760386,20.0,114.39928969888705,360,115.02604447112249,-0.001143467891744132,-1.730660059706679e-10
-611.5333,-33.979275351141176,251.06436027952722,1,499,22056.701060066556,2.2746096109050127,0,5,2.735994962340553,-7.356149451402987e-18,-3.4531872193908204,4.820259033589739,0.9999998077172761,-30.072572798756262,-66.05501837635026,20.0,108.42633468947878,420,109.05200762047673,-0.0041145452287700834,-0.0025696042312082223
-584.43335,-32.099602369049656,254.5226471624956,2,498,22051.131404624535,2.234578780401833,0,5,2.658049990004434,1.5027340199367645e-17,-3.828252579457235,4.8009262973462175,0.9999998056731925,-29.373124314479487,-68.81100495860815,20.0,106.15912364482952,480,106.49359233906782,-0.0020115314352200375,-0.0015952431808938794
-568.7833,-30.08135814608806,247.97202308095822,1,498,20969.68884834638,2.2100891764294457,0,5,2.6338656853505893,2.4848495742615848e-17,-3.7197486141567566,4.805748839342299,0.9999998016471037,-28.416337349284184,-65.96292684998852,20.0,101.77970068734594,540,102.1315664295236,-0.0013880121647640298,-0.0017481355703306
-438.68332,-25.688643976166265,250.2928965911255,1,499,21373.283284144516,2.084555322795658,0,5,2.4339092433210303,-4.059470971777377e-17,-4.1341312277655735,4.660644132701745,0.9999997871404652,-23.741966506653043,-62.62797882659435,20.0,88.24997257261312,600,92.49353750316962,-0.0005606524716481598,-0.0021230010193942217
-370.58334,-23.86433015083327,257.58336697618086,1,498,22854.468322454348,2.0076705692369803,0,5,2.3126177873171168,4.4821276730930824e-17,-3.488409888970638,4.535898680970213,0.9999997797502395,-21.140821731787454,-52.83085026801188,20.0,82.6662822134835,660,85.60190745142457,-0.0030319527214150988,-0.0005487925323341969
-305.1,-21.343516497131116,253.11193548387098,1,499,22209.463491952825,1.8989247311827957,0,5,2.2158052954098744,-3.361707567037033e-17,-4.286330155289838,4.43735244470605,0.9999997693822976,-18.444570009844007,-55.65491768157347,20.0,75.29734322560809,720,77.46967418770906,-0.0030226167850118113,-0.0039194408521603386
-246.71666,-19.074138052342512,246.62591369959915,1,498,21732.583355832212,1.84248997877859,0,5,1.9949972425899782,4.188532986088777e-17,-3.936134670801004,4.372500395124445,0.9999997589756783,-16.237911512819508,-48.93812830240966,20.0,69.29961300408664,780,70.91702527062463,-0.007059033171632034,-0.00518306617309805
-186.83333,-17.575605388026695,247.47414726583648,1,498,22177.800224976687,1.7980508933405523,0,5,1.9662549990341236,-3.077607951316081e-17,-4.05252133202116,4.093769093614093,0.9999997588422896,-13.888626568823174,-47.55372460161926,20.0,68.87704492603878,840,70.92207360377189,-0.0013684237457511905,-0.002691452595243282
-172.13333,-16.51203913211335,258.16330559864616,1,498,21380.624297294704,1.7530672683683544,0,5,1.8951658139772936,2.0040692025387115e-17,-5.1748468616599315,4.101892996032773,0.9999997541079657,-13.307502308371006,-55.42331017203201,20.0,66.63605790150676,900,67.08642628521865,-0.006732533069208957,-0.004396640110895023
-136.91667,-12.962963867896486,225.28769525023907,1,498,20620.239673266387,1.7276059929869303,0,5,1.7557345620042497,-3.624062407447116e-17,-4.31992267100505,4.029145977608742,0.9999997484732341,-11.978004384975442,-46.3548329750656,20.0,63.914484169747716,960,65.30537694975085,-0.009631495480387331,-0.005894058706911176
-144.53334,-12.909234374418938,234.117612893858,1,496,21263.489289030924,1.7071293741832438,0,5,1.7232873453938728,2.06343178672891e-18,-3.9941293938999434,4.495590373917185,0.999999721699041,-11.579644756470712,-40.21743422915773,20.0,51.724178195818375,1020,52.210190353068235,-0.009377750276094776,-0.004571225759637532
-92.53333,-10.403400384647139,241.85368314833502,1,496,21453.656290672563,1.6657921291624622,0,5,1.7038449577987964,0.0,-3.9359182624891584,3.880471280662305,0.9999997575017836,-10.071072410149455,-42.364139355353245,20.0,69.23939670112772,1080,70.68677605066539,-0.015548292150913579,-0.019684924911642643
-63.483334,-11.323109458954347,249.0176223776224,2,496,21657.834934207054,1.6945454545454546,0,5,1.8362080101716465,-7.950128512001121e-18,-2.743130433812795,3.022225606337498,0.9999997923728453,-8.944201648157946,-35.37478339819391,20.0,94.01878054758954,1140,95.66099842312683,-0.011163539217602825,-0.011683809390800937
-89.3,-10.231981483998384,238.458835978836,1,496,19951.783543618603,1.723809523809524,0,5,1.7685865457294025,2.4060706396109214e-17,-2.6162492691886854,3.525636149062722,0.9999997705856107,-10.170313227225584,-32.95575441394058,20.0,76.51302549283085,1200,77.73879663866825,-0.011638299181317313,-0.009559154215193377
-84.5,-10.622080333752644,216.08746898263027,1,496,20757.03308532265,1.663978494623656,0,5,1.5845668018534824,1.1754222262367249e-17,-4.036478567247,3.669267361007182,0.9999997524256214,-9.297782593005289,-41.93015706732736,20.0,65.49003639232798,1260,66.18799679475877,-0.006459508371384315,-0.010724623047577042
-48.7,-8.797334956822057,239.79980657640232,1,496,20169.4109219484,1.6808510638297873,0,5,1.7550104942590232,-9.162382150355902e-18,-2.4744778382580646,2.905175636880846,0.9999997918982965,-7.8882782473617326,-31.67718515558423,20.0,93.17749019907323,1320,94.34964072082965,-0.007009313602868605,-0.005985792818559599
-55.466667,-9.247345818693855,244.64082098061573,1,496,18839.823099896115,1.652793614595211,0,5,1.6941569619660677,1.6203939241963517e-17,-2.8788780005804333,3.116619875608647,0.9999997779879529,-8.063407428137207,-33.98416165462794,20.0,81.33822432495961,1380,81.79941398140537,-0.005669454089017867,-0.0023103505730466267
