#{"t_start": 1583989992.174707, "env_id": "NChain-v0"}
r,l,t
1296,1000,1.023235
1550,1000,1.464182
1288,1000,1.879713
1338,1000,2.306317
1462,1000,2.736356
1302,1000,3.160701
1264,1000,3.590604
1244,1000,4.018889
1326,1000,4.448233
1446,1000,4.874489
1290,1000,5.294572
1308,1000,5.71732
1328,1000,6.142902
1368,1000,6.573145
1398,1000,7.000566
1452,1000,7.423857
1460,1000,7.848189
1454,1000,8.271687
1470,1000,8.689796
1472,1000,9.113681
1490,1000,9.539171
1476,1000,9.964797
1452,1000,10.381321
1520,1000,10.809562
1536,1000,11.223471
1484,1000,11.654301
1550,1000,12.069734
1516,1000,12.490369
1566,1000,12.905971
1502,1000,13.316253
1526,1000,13.727611
1562,1000,14.142797
1566,1000,14.573888
1556,1000,14.995504
1584,1000,15.415501
1548,1000,15.837598
1564,1000,16.258086
1582,1000,16.679254
1582,1000,17.106972
1570,1000,17.526746
1580,1000,17.949975
1600,1000,18.371289
1542,1000,18.792749
1626,1000,19.216188
1568,1000,19.641524
1588,1000,20.06853
1590,1000,20.488713
1530,1000,20.912543
1604,1000,21.336608
1586,1000,21.75557
1560,1000,22.180139
1620,1000,22.600418
1574,1000,23.021222
1554,1000,23.447465
1578,1000,23.863203
1574,1000,24.281911
1588,1000,24.695743
1626,1000,25.108567
1604,1000,25.540463
1562,1000,25.956009
1560,1000,26.375284
1614,1000,26.802588
1642,1000,27.222847
1606,1000,27.648867
1650,1000,28.064289
1620,1000,28.483126
1564,1000,28.899243
1592,1000,29.318031
1640,1000,29.745084
1602,1000,30.162389
1624,1000,30.587317
1646,1000,31.00928
1594,1000,31.43103
1572,1000,31.853519
1596,1000,32.275319
1584,1000,32.715852
1592,1000,33.187744
1606,1000,33.619271
1574,1000,34.061966
1592,1000,34.485459
1628,1000,34.90273
1566,1000,35.311034
1584,1000,35.716694
1594,1000,36.12628
1624,1000,36.539491
1604,1000,36.946962
1618,1000,37.353672
1540,1000,37.762097
1604,1000,38.169724
1626,1000,38.576028
1614,1000,38.984016
1632,1000,39.50646
1604,1000,40.062767
1578,1000,40.554641
1622,1000,41.008057
1598,1000,41.441702
1610,1000,41.861119
1636,1000,42.288192
1590,1000,42.724897
1632,1000,43.158911
1614,1000,43.593465
1626,1000,44.018597
1610,1000,44.442568
1632,1000,44.853592
1602,1000,45.261211
1640,1000,45.668985
1614,1000,46.076417
1574,1000,46.484111
1634,1000,46.891019
1590,1000,47.29841
1614,1000,47.713576
1640,1000,48.133024
1586,1000,48.547635
1638,1000,48.978615
1606,1000,49.390253
1568,1000,49.810917
1538,1000,50.217612
1594,1000,50.63062
1610,1000,51.052822
1582,1000,51.463032
1624,1000,51.875403
1616,1000,52.281911
1594,1000,52.68918
1588,1000,53.096815
1612,1000,53.50386
1596,1000,53.910683
1642,1000,54.317716
1648,1000,54.728049
1642,1000,55.135281
1596,1000,55.542737
1604,1000,55.957827
1564,1000,56.413663
1620,1000,56.867824
1584,1000,57.322056
1608,1000,57.751064
1582,1000,58.178873
1622,1000,58.603676
1570,1000,59.027663
1556,1000,59.459356
1602,1000,59.881345
1594,1000,60.353308
1572,1000,60.793246
1586,1000,61.240759
1580,1000,61.709489
1666,1000,62.174362
1596,1000,62.620844
1618,1000,63.070313
1620,1000,63.504426
1592,1000,63.941827
1622,1000,64.361512
1584,1000,64.772678
1608,1000,65.191209
1572,1000,65.602377
1594,1000,66.011133
1578,1000,66.420343
1598,1000,66.843005
1624,1000,67.270507
1602,1000,67.695389
1626,1000,68.1133
1588,1000,68.534903
1626,1000,68.966598
1594,1000,69.394286
1624,1000,69.822407
1602,1000,70.241716
1596,1000,70.66455
1548,1000,71.087339
1642,1000,71.543548
1624,1000,71.998919
1572,1000,72.421153
1640,1000,72.837511
1608,1000,73.278167
1560,1000,73.696207
1616,1000,74.125202
1580,1000,74.539965
1580,1000,74.954791
1636,1000,75.386562
1612,1000,75.814888
1646,1000,76.242823
1610,1000,76.670215
1562,1000,77.102675
1608,1000,77.538367
1610,1000,77.968914
1582,1000,78.38644
1606,1000,78.803144
1622,1000,79.220798
1598,1000,79.641568
1606,1000,80.053885
1616,1000,80.469023
1652,1000,80.921569
1614,1000,81.378694
1606,1000,81.798325
1620,1000,82.224517
1606,1000,82.655034
1590,1000,83.0843
1632,1000,83.524674
1598,1000,83.954881
1582,1000,84.38243
1582,1000,84.836274
1604,1000,85.296578
1582,1000,85.733089
1640,1000,86.166296
1604,1000,86.596601
1602,1000,87.018711
1574,1000,87.442395
1570,1000,87.851553
1610,1000,88.263314
1588,1000,88.675414
1610,1000,89.093255
1594,1000,89.509228
1648,1000,89.917679
1612,1000,90.332476
1606,1000,90.741145
1590,1000,91.160257
1574,1000,91.583051
1584,1000,91.999312
1628,1000,92.419272
1622,1000,92.838111
1582,1000,93.283012
1634,1000,93.730942
1630,1000,94.158058
1604,1000,94.603013
1636,1000,95.038857
1598,1000,95.468325
1614,1000,95.899683
1610,1000,96.330884
1584,1000,96.752765
1620,1000,97.168772
1596,1000,97.607244
1582,1000,98.030618
1590,1000,98.459836
1598,1000,98.897798
1604,1000,99.328455
1616,1000,99.7654
1582,1000,100.19276
1596,1000,100.616572
1554,1000,101.031432
1612,1000,101.44798
