#{"t_start": 1587118864.00942, "env_id": "NChain-v0"}
r,l,t
1372,1000,1.084465
1306,1000,1.480921
1268,1000,1.910731
1216,1000,2.301491
1262,1000,2.678529
1296,1000,3.043714
1274,1000,3.420965
1318,1000,3.792845
1334,1000,4.156991
1324,1000,4.517576
1304,1000,4.87758
1378,1000,5.235656
1410,1000,5.595935
1458,1000,5.974557
1416,1000,6.343163
1390,1000,6.718961
1418,1000,7.120082
1458,1000,7.518048
1476,1000,7.906516
1506,1000,8.307648
1488,1000,8.669263
1510,1000,9.065937
1544,1000,9.450614
1530,1000,9.815672
1484,1000,10.185651
1508,1000,10.548123
1530,1000,10.918642
1558,1000,11.295746
1550,1000,11.672413
1572,1000,12.036962
1550,1000,12.416735
1556,1000,12.796819
1544,1000,13.172483
1504,1000,13.548799
1568,1000,13.925956
1564,1000,14.288911
1602,1000,14.662647
1588,1000,15.049503
1596,1000,15.427107
1618,1000,15.800663
1554,1000,16.167061
1578,1000,16.532255
1616,1000,16.893138
1614,1000,17.257684
1568,1000,17.62769
1578,1000,18.032914
1542,1000,18.429165
1564,1000,18.819619
1572,1000,19.216214
1620,1000,19.617666
1546,1000,19.981492
1558,1000,20.35938
1552,1000,20.728172
1616,1000,21.106597
1550,1000,21.484389
1600,1000,21.86534
1610,1000,22.247669
1590,1000,22.623061
1580,1000,22.999495
1616,1000,23.36407
1610,1000,23.732111
1570,1000,24.097966
1582,1000,24.472976
1596,1000,24.83511
1596,1000,25.202902
1600,1000,25.561528
1582,1000,25.922963
1616,1000,26.288557
1626,1000,26.64364
1560,1000,27.000448
1606,1000,27.360651
1580,1000,27.719209
1606,1000,28.076577
1600,1000,28.434807
1592,1000,28.788845
1608,1000,29.14451
1618,1000,29.502559
1608,1000,29.862296
1604,1000,30.223354
1634,1000,30.577303
1586,1000,30.935072
1584,1000,31.291897
1606,1000,31.646681
1612,1000,32.002725
1600,1000,32.360152
1610,1000,32.717187
1616,1000,33.070161
1562,1000,33.426628
1614,1000,33.782558
1628,1000,34.140017
1562,1000,34.496822
1660,1000,34.854745
1592,1000,35.212002
1630,1000,35.569623
1596,1000,35.950022
1630,1000,36.349291
1612,1000,36.725073
1590,1000,37.091857
1590,1000,37.450527
1606,1000,37.812854
1636,1000,38.173279
1580,1000,38.533512
1584,1000,38.937439
1590,1000,39.334706
1540,1000,39.717211
1584,1000,40.093875
1616,1000,40.477433
1632,1000,40.857079
1600,1000,41.239787
1548,1000,41.617328
1596,1000,41.995082
1604,1000,42.370068
1576,1000,42.743053
1606,1000,43.124562
1604,1000,43.502526
1610,1000,43.895286
1624,1000,44.302912
1610,1000,44.677375
1606,1000,45.079671
1598,1000,45.488401
1588,1000,45.881694
1600,1000,46.28467
1602,1000,46.674138
1580,1000,47.041267
1610,1000,47.436507
1580,1000,47.834463
1552,1000,48.23762
1580,1000,48.621296
1570,1000,49.011544
1588,1000,49.418556
1604,1000,49.814546
1568,1000,50.227406
1576,1000,50.625282
1610,1000,50.996911
1628,1000,51.371138
1584,1000,51.740268
1548,1000,52.10266
1624,1000,52.468467
1622,1000,52.834
1556,1000,53.208684
1572,1000,53.582094
1624,1000,53.972966
1646,1000,54.362331
1638,1000,54.750068
1606,1000,55.130353
1602,1000,55.497286
1600,1000,55.863051
1590,1000,56.22817
1584,1000,56.593974
1620,1000,56.955296
1630,1000,57.316393
1608,1000,57.684637
1606,1000,58.094687
1582,1000,58.48946
1600,1000,58.883012
1620,1000,59.285606
1644,1000,59.694539
1598,1000,60.075785
1622,1000,60.456686
1620,1000,60.833329
1612,1000,61.215737
1616,1000,61.595123
1586,1000,61.973248
1632,1000,62.343781
1626,1000,62.724587
1584,1000,63.09997
1542,1000,63.477578
1582,1000,63.859601
1612,1000,64.238063
1592,1000,64.611754
1660,1000,64.988733
1568,1000,65.361569
1584,1000,65.73847
1590,1000,66.113089
1588,1000,66.49318
1584,1000,66.881277
1596,1000,67.288316
1592,1000,67.689981
1616,1000,68.089305
1608,1000,68.469644
1602,1000,68.850705
1572,1000,69.217327
1604,1000,69.601786
1580,1000,69.979858
1626,1000,70.360147
1658,1000,70.736932
1594,1000,71.11625
1662,1000,71.484348
1596,1000,71.845826
1570,1000,72.235477
1580,1000,72.635105
1612,1000,73.055288
1590,1000,73.432778
1644,1000,73.815286
1564,1000,74.209858
1596,1000,74.64883
1626,1000,75.046849
1604,1000,75.425599
1592,1000,75.817882
1650,1000,76.206405
1580,1000,76.583911
1616,1000,76.966787
1638,1000,77.398994
1594,1000,77.775514
1636,1000,78.150046
1566,1000,78.520438
1594,1000,78.885943
1592,1000,79.246346
1634,1000,79.605684
1612,1000,79.966884
1622,1000,80.332184
1620,1000,80.692875
1620,1000,81.053533
1624,1000,81.412864
1644,1000,81.772809
1584,1000,82.150348
1624,1000,82.524477
1588,1000,82.888679
1614,1000,83.249425
1618,1000,83.61085
1670,1000,83.969485
1624,1000,84.348536
1608,1000,84.740593
1586,1000,85.111559
1596,1000,85.512937
1648,1000,85.880538
1598,1000,86.272208
1578,1000,86.656788
1606,1000,87.054187
1598,1000,87.409819
1626,1000,88.247973
1600,1000,88.907359
1602,1000,89.37108
1622,1000,89.731484
1566,1000,90.253344
1626,1000,91.110833
1584,1000,91.47795
1588,1000,91.831653
1628,1000,92.512657
1602,1000,93.331414
1614,1000,93.726621
1562,1000,94.144692
1572,1000,94.64778
1626,1000,95.123517
1590,1000,95.574014
1606,1000,95.954124
1616,1000,96.323669
1636,1000,96.688303
1650,1000,97.107747
1614,1000,97.499249
1578,1000,97.876343
1612,1000,98.251211
1576,1000,98.61019
1594,1000,98.977358
1606,1000,99.361832
1600,1000,99.752818
1576,1000,100.119437
1578,1000,100.512728
1604,1000,100.913037
1568,1000,101.274783
1596,1000,101.643172
1590,1000,102.009604
1548,1000,102.369654
1586,1000,102.735941
1602,1000,103.100435
1594,1000,103.475148
1650,1000,103.87059
1642,1000,104.25775
1662,1000,104.62638
1620,1000,105.006784
1594,1000,105.379946
1588,1000,105.770011
1588,1000,106.128234
1582,1000,106.507859
1610,1000,106.880785
1638,1000,107.247368
1616,1000,107.618811
1592,1000,108.008398
1626,1000,108.388459
1634,1000,108.754464
1554,1000,109.129217
1586,1000,109.502135
1620,1000,109.874508
1594,1000,110.235313
1608,1000,110.601541
1580,1000,110.959028
1608,1000,111.322855
1580,1000,111.694932
1614,1000,112.077089
1592,1000,112.482589
1582,1000,112.851044
1624,1000,113.222732
1622,1000,113.594243
1602,1000,113.954339
1656,1000,114.306106
1594,1000,114.656276
1602,1000,115.012192
1596,1000,115.370062
1628,1000,115.73234
1624,1000,116.168242
1544,1000,116.627638
1590,1000,116.993955
1606,1000,117.358175
1592,1000,117.716357
1600,1000,118.067305
1598,1000,118.420057
1624,1000,118.775826
1648,1000,119.150114
1574,1000,119.53615
1628,1000,119.917519
1618,1000,120.295604
1614,1000,120.66064
1644,1000,121.058451
1570,1000,121.421355
1606,1000,121.775345
1620,1000,122.134632
1618,1000,122.498838
1592,1000,122.879543
1590,1000,123.265568
1626,1000,123.637358
1604,1000,124.028147
1548,1000,124.405569
1630,1000,124.766727
1544,1000,125.121748
1604,1000,125.479624
1614,1000,125.846442
1606,1000,126.253392
1648,1000,126.612186
1634,1000,126.97212
1600,1000,127.344363
1610,1000,127.69745
1666,1000,128.055805
1618,1000,128.410423
1546,1000,128.763211
1602,1000,129.116961
1626,1000,129.496845
1600,1000,129.850398
1656,1000,130.206122
1610,1000,130.886913
1628,1000,131.363711
1620,1000,131.818027
1656,1000,132.21803
1616,1000,132.64548
1620,1000,133.031378
1640,1000,133.404958
1582,1000,133.767389
1574,1000,134.135135
1608,1000,134.50172
1608,1000,134.899314
1656,1000,135.275164
1602,1000,135.655891
1556,1000,136.095871
1616,1000,136.477479
1580,1000,136.880154
1588,1000,137.251023
1596,1000,137.634834
1584,1000,138.030911
1596,1000,138.43155
1570,1000,138.853119
1618,1000,139.207758
1590,1000,139.562665
1602,1000,139.918774
1576,1000,140.273628
1594,1000,140.627455
1632,1000,140.982181
1600,1000,141.336231
1616,1000,141.690314
1630,1000,142.04678
1588,1000,142.401127
1624,1000,142.761414
1600,1000,143.116285
1578,1000,143.46868
1660,1000,143.823244
1612,1000,144.179593
1610,1000,144.535009
1644,1000,144.901343
1604,1000,145.264724
1600,1000,145.705698
1590,1000,146.065579
1610,1000,146.446808
1610,1000,146.801578
1616,1000,147.151592
1634,1000,147.50534
1618,1000,147.866439
1586,1000,148.22326
1590,1000,148.577066
1594,1000,148.929673
1610,1000,149.284694
1600,1000,149.667055
1596,1000,150.028891
1652,1000,150.393375
1604,1000,150.748032
1586,1000,151.101986
1560,1000,151.456558
1560,1000,151.81275
1558,1000,152.179195
1608,1000,152.535503
1626,1000,152.907183
1642,1000,153.26786
1602,1000,153.640087
1600,1000,154.020807
1600,1000,154.390726
1590,1000,154.76916
1616,1000,155.144091
1584,1000,155.519756
1610,1000,155.878095
1618,1000,156.257423
1596,1000,156.632322
1610,1000,156.999745
1606,1000,157.367794
1592,1000,157.731676
1580,1000,158.111212
1610,1000,158.470669
1628,1000,158.847903
1596,1000,159.207461
1598,1000,159.564096
1596,1000,159.920728
1616,1000,160.275169
1532,1000,160.626135
1612,1000,160.982782
1608,1000,161.344945
1584,1000,161.704002
1530,1000,162.064079
1626,1000,162.42428
1610,1000,162.783915
1556,1000,163.142936
1580,1000,163.502138
1590,1000,163.864246
1580,1000,164.2257
1602,1000,164.58561
1598,1000,164.946729
1608,1000,165.304162
1560,1000,165.659712
1610,1000,166.016807
1576,1000,166.37281
1558,1000,166.729147
1628,1000,167.084233
1598,1000,167.441923
1644,1000,167.80294
1622,1000,168.174015
1586,1000,168.543586
1608,1000,168.902948
1630,1000,169.266961
1582,1000,169.639497
1584,1000,170.013019
1688,1000,170.390323
1610,1000,170.795222
1606,1000,171.191818
1596,1000,171.570119
1614,1000,171.959798
1610,1000,172.326914
1624,1000,172.693221
1586,1000,173.056583
1572,1000,173.415665
1590,1000,173.781704
1584,1000,174.141502
1582,1000,174.514786
1584,1000,174.897883
1596,1000,175.279025
1636,1000,175.651427
1606,1000,176.024307
1614,1000,176.40274
1592,1000,176.780158
1656,1000,177.206238
1618,1000,177.58178
1608,1000,177.958542
1586,1000,178.349237
1588,1000,178.725055
1628,1000,179.099567
1610,1000,179.480009
1566,1000,179.850801
1602,1000,180.221085
1588,1000,180.607763
1602,1000,181.002349
1630,1000,181.384999
1612,1000,182.00503
1618,1000,182.530237
1600,1000,182.971892
1650,1000,183.379361
1662,1000,183.776031
1548,1000,184.147354
1624,1000,184.50656
1594,1000,184.881672
1658,1000,185.274764
1600,1000,185.661735
1566,1000,186.048826
1620,1000,186.431355
1600,1000,186.833851
1616,1000,187.232528
1630,1000,187.63562
1564,1000,188.001966
1566,1000,188.39464
1578,1000,188.797022
1620,1000,189.169061
1674,1000,189.528825
1574,1000,189.911733
1618,1000,190.287182
1616,1000,190.678769
1612,1000,191.063647
1666,1000,191.42994
1594,1000,191.827159
1588,1000,192.233784
1618,1000,192.614233
1644,1000,192.981778
1616,1000,193.361651
1598,1000,193.772741
1598,1000,194.149497
1588,1000,194.55756
1604,1000,194.938122
1628,1000,195.303609
1566,1000,195.672923
1612,1000,196.029516
1594,1000,196.388102
1586,1000,196.758628
1626,1000,197.127593
1656,1000,197.51503
1592,1000,197.898139
1574,1000,198.292178
1636,1000,198.684488
1586,1000,199.102943
1610,1000,199.501541
1614,1000,199.88145
1578,1000,200.270773
1650,1000,200.660041
1610,1000,201.07664
1604,1000,201.464783
1628,1000,201.845991
1568,1000,202.220359
1530,1000,202.612964
1594,1000,202.9934
1586,1000,203.365641
1574,1000,203.742163
1610,1000,204.118078
1614,1000,204.482923
1628,1000,204.847084
1628,1000,205.237773
1606,1000,205.618779
1626,1000,205.998896
1604,1000,206.371416
1582,1000,206.751985
1578,1000,207.153709
1576,1000,207.560764
1610,1000,207.953621
1616,1000,208.319921
1576,1000,208.67933
1624,1000,209.041499
1594,1000,209.408243
1608,1000,209.813867
1618,1000,210.183756
1602,1000,210.595718
1548,1000,210.982903
1632,1000,211.381731
1632,1000,211.783174
1652,1000,212.194047
1610,1000,212.593012
1606,1000,212.974317
1598,1000,213.366823
1608,1000,213.782863
1582,1000,214.147372
1596,1000,214.516921
1608,1000,214.875882
1600,1000,215.234923
1572,1000,215.5972
1624,1000,215.956779
1660,1000,216.316829
1620,1000,216.676773
1640,1000,217.036817
1620,1000,217.394902
