#{"t_start": 1583991101.067303, "env_id": "CliffWalking-v0"}
r,l,t
-20269,1954,1.492447
-66574,7768,4.828041
-24969,4872,6.938948
-70742,19955,15.584288
-246299,127499,70.713813
-14947,11581,75.767233
-9356,7079,78.820715
-4851,3762,80.438514
-651,453,80.634804
-5720,4928,82.773078
-8211,6330,85.524032
-6617,5033,87.712935
-15587,12815,93.296607
-22081,18319,101.194042
-11593,9217,105.112654
-6063,4875,107.14435
-9558,7974,110.461108
-10811,8633,114.052808
-8528,7637,117.231358
-5834,5339,119.45123
-6185,4799,121.454071
-17325,14157,127.354925
-2327,2030,128.205349
-5114,4223,129.964994
-3593,3197,131.328134
-7405,6514,134.259928
-8276,6791,137.224894
-3505,2812,138.437607
-504,405,138.616078
-1691,1394,139.217462
-1883,1487,139.851222
-4989,4692,141.881439
-3912,3417,143.355002
-7816,6430,146.141871
-557,557,146.385293
-10543,8266,149.973008
-7931,6446,152.753112
-209,209,152.842177
-1071,873,153.221228
-1245,1245,153.77214
-2039,1841,154.5734
-260,260,154.686203
-2132,1637,155.394553
-189,189,155.474031
-1923,1527,156.136654
-3580,3382,157.595023
-150,150,157.659701
-3445,3049,158.988759
-233,134,159.049727
-550,451,159.247968
-2306,1514,159.919623
-639,441,160.111509
-8734,7051,163.18745
-438,438,163.374345
-1849,1750,164.12858
-952,556,164.371667
-1224,1026,164.814859
-634,535,165.046999
-9455,8069,168.536298
-1894,1498,169.182172
-212,212,169.275797
-4161,3567,170.84412
-1264,1165,171.343198
-744,447,171.531581
-1339,1240,172.055701
-3817,2827,173.245132
-328,328,173.38953
-4424,3335,174.829241
-1327,1030,175.287177
-1935,1440,175.918238
-4319,3428,177.396215
-2771,2177,178.346642
-4587,3597,179.899815
-688,391,180.069889
-2493,2097,180.984972
-194,194,181.067283
-1733,1535,181.730921
-229,229,181.832403
-91,91,181.870302
-7240,5953,184.454218
-305,206,184.542042
-2196,1800,185.322377
-705,606,185.584815
-1347,1347,186.163561
-341,341,186.309967
-102,102,186.354216
-722,524,186.585042
-3147,2454,187.690418
-483,384,187.8576
-1980,1386,188.466528
-332,233,188.571208
-513,315,188.70351
-4562,3473,190.235385
-1436,1139,190.735995
-5422,4828,192.843237
-674,674,193.139712
-637,538,193.37409
-1797,1599,194.094767
-950,752,194.458948
-136,136,194.523681
-1162,865,194.907715
-1190,1091,195.37732
-691,493,195.61483
-1577,1478,196.300619
-73,73,196.333361
-360,360,196.492696
-844,844,196.862983
-476,278,196.985181
-391,193,197.070277
-616,517,197.301234
-1653,1257,197.856816
-233,233,197.959122
-358,358,198.114122
-177,177,198.189585
-1337,1238,198.728295
-147,147,198.792913
-3475,2287,199.78305
-703,604,200.045366
-328,229,200.145975
-2173,1876,200.956329
-318,318,201.093652
-563,563,201.337776
-1010,713,201.64871
-155,155,201.715002
-5956,4570,203.691913
-1533,1236,204.230364
-1280,1082,204.70346
-1133,737,205.020469
-2375,1880,205.838597
-198,198,205.92311
-177,177,205.997517
-1342,1045,206.44171
-1212,915,206.829228
-137,137,206.886504
-1718,1322,207.464618
-3294,2700,208.624211
-1382,1283,209.182171
-369,171,209.25519
-498,399,209.431992
-740,740,209.756097
-2195,1898,210.594741
-3057,2166,211.548107
-764,566,211.798295
-1163,866,212.176126
-2790,2394,213.214472
-593,494,213.426599
-254,254,213.537408
-472,373,213.700642
-1858,1660,214.411204
-138,138,214.469763
-314,215,214.575689
-97,97,214.620856
-111,111,214.669559
-352,352,214.82053
-1383,987,215.243127
-326,326,215.384419
-603,405,215.56101
-281,281,215.682441
-186,186,215.76038
-738,540,215.992171
