#{"t_start": 1587118283.8519611, "env_id": "Taxi-v3"}
r,l,t
-731,200,0.822129
-731,200,0.900536
-866,200,0.986733
-749,200,1.069573
-767,200,1.151639
-731,200,1.241149
-767,200,1.327522
-181,40,1.345016
-758,200,1.432209
-776,200,1.515627
-803,200,1.602414
-776,200,1.68314
-713,200,1.763568
-857,200,1.852012
-722,200,1.932178
-821,200,2.017644
-857,200,2.103119
-668,200,2.186409
-803,200,2.272342
-749,200,2.355276
-731,200,2.439488
-704,200,2.520828
-650,200,2.600726
-704,200,2.687422
-740,200,2.7686
-722,200,2.853743
-668,200,2.941991
-264,78,2.977925
-749,200,3.068348
-641,200,3.163014
-184,61,3.190489
-776,200,3.27945
-677,200,3.363143
-749,200,3.443178
-740,200,3.530017
-686,200,3.61126
-614,200,3.701838
-758,200,3.78895
-695,200,3.873021
-740,200,3.959777
-803,200,4.041129
-713,200,4.121169
-668,200,4.211662
-623,200,4.295061
-686,200,4.380866
-641,200,4.462434
-569,200,4.547218
-722,200,4.633405
-749,200,4.717711
-650,200,4.803529
-596,200,4.887152
-677,200,4.967209
-80,47,4.989509
-587,200,5.073074
-614,200,5.1584
-704,200,5.245231
-542,200,5.328482
-560,200,5.41385
-542,200,5.494703
-614,200,5.575645
-623,200,5.664135
-560,200,5.750332
-713,200,5.837012
-578,200,5.92323
-596,200,6.00876
-551,200,6.095821
-677,200,6.177646
-650,200,6.262253
-542,200,6.345576
-551,200,6.431787
-578,200,6.519274
-641,200,6.606109
-578,200,6.691588
-551,200,6.774249
-297,120,6.821998
-632,200,6.90466
-551,200,6.991331
-632,200,7.075624
-605,200,7.163052
-497,200,7.245619
-452,200,7.331142
-587,200,7.414674
-506,200,7.499052
-506,200,7.591435
-605,200,7.67792
-668,200,7.765028
-596,200,7.853909
-542,200,7.942092
-506,200,8.045544
-641,200,8.130108
-470,200,8.213902
-515,200,8.303634
-515,200,8.398559
-524,200,8.487134
-335,149,8.548924
-560,200,8.627781
-443,200,8.709438
-488,200,8.788653
-542,200,8.870115
-569,200,8.951531
-542,200,9.033585
-452,200,9.116316
-578,200,9.197542
-551,200,9.282298
-488,200,9.364093
-578,200,9.444884
-632,200,9.527806
-452,200,9.608449
-488,200,9.689695
-524,200,9.771576
-524,200,9.854661
-434,200,9.944734
-542,200,10.036206
-416,200,10.126007
-587,200,10.230122
-506,200,10.332421
-497,200,10.41909
-488,200,10.500357
-506,200,10.58229
-560,200,10.668019
-443,200,10.754428
-440,182,10.830343
-542,200,10.910504
-488,200,10.994285
-506,200,11.078441
-443,200,11.171649
-452,200,11.259408
-524,200,11.344476
-560,200,11.429614
-287,119,11.480299
-524,200,11.561187
-425,200,11.646952
-443,200,11.72906
-443,200,11.809807
-461,200,11.89457
-506,200,11.9784
-506,200,12.065541
-497,200,12.155431
-542,200,12.246786
-452,200,12.334691
-443,200,12.425084
-443,200,12.50966
-434,200,12.590837
-479,200,12.669413
-416,200,12.757656
-434,200,12.848501
-389,200,12.935671
-407,200,13.017104
-461,200,13.098643
-479,200,13.182425
-389,200,13.265443
-470,200,13.346201
-479,200,13.42403
-425,200,13.513708
-497,200,13.598857
-416,200,13.679054
-461,200,13.759409
-215,110,13.803144
-434,200,13.883069
-461,200,13.963482
-416,200,14.046774
-380,200,14.130602
-452,200,14.214641
-443,200,14.305882
-434,200,14.397589
-380,200,14.489249
-389,200,14.578992
-398,200,14.665393
-506,200,14.74786
-434,200,14.830306
-443,200,14.910645
-524,200,15.005266
-461,200,15.096318
-479,200,15.185187
-407,200,15.277365
-452,200,15.36418
-515,200,15.448463
-434,200,15.534686
-267,117,15.585402
-416,200,15.672615
-344,200,15.757421
-461,200,15.840224
-416,200,15.923854
-497,200,16.009094
-362,200,16.093619
-416,200,16.18088
-434,200,16.262172
-470,200,16.344256
-416,200,16.423511
-362,200,16.503314
-362,200,16.583549
-425,200,16.672129
-452,200,16.756995
-407,200,16.840354
-425,200,16.922445
-362,200,17.006032
-371,200,17.085919
-425,200,17.168698
-371,200,17.252384
-461,200,17.339887
-416,200,17.426563
-416,200,17.518042
-425,200,17.616435
-416,200,17.723206
-434,200,17.830876
-362,200,17.926301
-443,200,18.02115
-470,200,18.105839
-380,200,18.200974
-470,200,18.292758
-407,200,18.395666
-380,200,18.478501
-371,200,18.562899
-353,200,18.646964
-335,200,18.732784
-380,200,18.817675
-344,200,18.902084
-344,200,18.986875
-371,200,19.068804
-326,200,19.15747
-380,200,19.242178
-380,200,19.321683
-398,200,19.404753
-335,200,19.493572
-371,200,19.581367
-380,200,19.672159
-407,200,19.762332
-398,200,19.842989
-335,200,19.929235
-353,200,20.018816
-317,200,20.105396
-299,200,20.192248
-353,200,20.277308
-349,199,20.368652
-380,200,20.468424
-362,200,20.562738
-326,200,20.644092
-353,200,20.727821
-371,200,20.81117
-380,200,20.891724
-335,200,20.971511
-335,200,21.055786
-353,200,21.140103
-371,200,21.232353
-335,200,21.319816
-317,200,21.409632
-389,200,21.495224
-398,200,21.57669
-371,200,21.657437
-353,200,21.738561
-335,200,21.817585
-407,200,21.897751
-407,200,21.982754
-326,200,22.065081
-335,200,22.149039
-317,200,22.231562
-344,200,22.314968
-380,200,22.401757
-380,200,22.485493
-308,200,22.566331
-353,200,22.649331
-308,200,22.741134
-308,200,22.829032
-308,200,22.911425
-371,200,22.994675
-344,200,23.076273
-290,200,23.156228
-326,200,23.237607
-308,200,23.343868
-344,200,23.427397
-344,200,23.510844
-326,200,23.592451
-308,200,23.67614
-380,200,23.761087
-326,200,23.845699
-380,200,23.927994
-326,200,24.010451
-290,200,24.094645
-317,200,24.176286
-371,200,24.259987
-308,200,24.341454
-344,200,24.423666
-335,200,24.507786
-254,200,24.587977
-317,200,24.671116
-326,200,24.757865
-290,200,24.842521
-308,200,24.922599
-299,200,25.002374
-263,200,25.083638
-344,200,25.164652
-344,200,25.244347
-299,200,25.326816
-281,200,25.407509
-281,200,25.490388
-281,200,25.573645
-317,200,25.65576
-299,200,25.740409
-290,200,25.821024
-326,200,25.903345
-326,200,25.985176
-299,200,26.066369
-144,93,26.103885
-308,200,26.183084
-290,200,26.26727
-281,200,26.362975
-326,200,26.441852
-344,200,26.524082
