#{"t_start": 1581943780.169187, "env_id": "NChain-v0"}
r,l,t
1236,1000,1.013606
1706,1000,1.580743
1902,1000,1.860482
1934,1000,2.137905
2710,1000,2.424248
2546,1000,2.704693
3096,1000,2.983711
3338,1000,3.260205
2544,1000,3.530538
3296,1000,3.811468
3344,1000,4.087276
2932,1000,4.367514
3402,1000,4.658166
3230,1000,4.94114
3794,1000,5.223359
3172,1000,5.505134
3214,1000,5.781659
3466,1000,6.075634
4182,1000,6.370396
3252,1000,6.66573
3960,1000,6.933943
3716,1000,7.235711
3904,1000,7.505765
3686,1000,7.764463
3284,1000,8.025779
3372,1000,8.295405
3786,1000,8.579661
3624,1000,8.834235
3640,1000,9.095259
3074,1000,9.371108
3738,1000,9.647161
3602,1000,9.913811
3774,1000,10.185866
3660,1000,10.439742
4038,1000,10.695109
4004,1000,10.962807
3334,1000,11.222307
3740,1000,11.478751
2996,1000,11.730017
3612,1000,11.993604
3504,1000,12.266673
3350,1000,12.537733
3194,1000,12.776816
3992,1000,13.055307
3826,1000,13.310584
3916,1000,13.579566
3272,1000,13.851681
3798,1000,14.115869
3216,1000,14.38062
3082,1000,14.638541
4188,1000,14.891167
3834,1000,15.15944
3518,1000,15.423258
4366,1000,15.698324
3782,1000,15.974013
3912,1000,16.250519
3648,1000,16.530763
3540,1000,16.788273
3810,1000,17.050538
3822,1000,17.309695
3928,1000,17.567284
4166,1000,17.82448
3260,1000,18.08397
3130,1000,18.354719
4080,1000,18.622368
3614,1000,18.889416
4056,1000,19.152904
3060,1000,19.415421
3550,1000,19.678429
3370,1000,19.948431
3530,1000,20.212456
3170,1000,20.480869
3664,1000,20.745391
3278,1000,21.013387
3936,1000,21.284204
3784,1000,21.561576
3906,1000,21.824943
3894,1000,22.086901
3266,1000,22.358131
3690,1000,22.628486
3836,1000,22.898904
3178,1000,23.188835
3558,1000,23.467099
3572,1000,23.729771
3632,1000,24.005949
3380,1000,24.232265
3460,1000,24.500007
3104,1000,24.776557
3316,1000,25.053972
3126,1000,25.330087
3746,1000,25.601034
3574,1000,25.898253
2982,1000,26.188975
3240,1000,26.469758
3706,1000,26.741511
3334,1000,27.011009
3514,1000,27.273024
3038,1000,27.533525
3514,1000,27.808806
3526,1000,28.076402
3570,1000,28.352549
3206,1000,28.627096
3680,1000,28.900288
3158,1000,29.175083
3300,1000,29.447327
3652,1000,29.727462
3222,1000,30.012221
3128,1000,30.306676
3254,1000,30.581261
3684,1000,30.870251
3226,1000,31.149868
3308,1000,31.432948
3000,1000,31.702857
3488,1000,31.981066
3272,1000,32.245778
3536,1000,32.508197
3368,1000,32.768514
3270,1000,33.048768
3196,1000,33.324975
3610,1000,33.602517
3648,1000,33.871909
3594,1000,34.164733
3826,1000,34.434578
3188,1000,34.696559
3810,1000,34.977725
3158,1000,35.233402
3280,1000,35.500627
3296,1000,35.728939
3974,1000,35.992087
3772,1000,36.25113
3744,1000,36.521624
4008,1000,36.776858
3618,1000,37.040564
3190,1000,37.29868
3556,1000,37.566678
3294,1000,37.831
3548,1000,38.090141
2956,1000,38.360621
3620,1000,38.626494
3012,1000,38.894794
3770,1000,39.15305
3840,1000,39.42117
3976,1000,39.678497
3410,1000,39.951748
3968,1000,40.217965
3480,1000,40.493397
3472,1000,40.778884
3562,1000,41.052421
3546,1000,41.336502
3716,1000,41.607936
3522,1000,41.875423
3814,1000,42.151421
3982,1000,42.411102
3858,1000,42.666102
3258,1000,42.921029
3478,1000,43.17387
3616,1000,43.442414
3498,1000,43.720832
4090,1000,43.997059
3676,1000,44.264734
3750,1000,44.535548
3270,1000,44.834277
3762,1000,45.134215
3472,1000,45.407549
3826,1000,45.659689
3730,1000,45.93447
3378,1000,46.196284
3082,1000,46.452684
3316,1000,46.714395
3336,1000,46.987766
3914,1000,47.227421
3702,1000,47.490566
3704,1000,47.758002
2944,1000,48.032353
3916,1000,48.313705
3282,1000,48.589278
3988,1000,48.860401
3398,1000,49.143713
3584,1000,49.417378
3866,1000,49.684437
3526,1000,49.949582
3276,1000,50.204062
3852,1000,50.470691
3824,1000,50.735061
3572,1000,51.011708
4130,1000,51.284693
3436,1000,51.565921
3538,1000,51.850799
3152,1000,52.127649
3532,1000,52.413
3564,1000,52.687965
3392,1000,52.945173
4008,1000,53.215143
3592,1000,53.49137
4108,1000,53.755462
3822,1000,54.015722
3510,1000,54.291914
3280,1000,54.564708
3626,1000,54.839398
3900,1000,55.115961
3974,1000,55.393966
3998,1000,55.662964
3430,1000,55.996576
3122,1000,56.287477
3544,1000,56.561206
3860,1000,56.834922
4144,1000,57.112704
3732,1000,57.402926
3716,1000,57.675641
3536,1000,57.941443
3784,1000,58.214246
3436,1000,58.490096
3528,1000,58.76891
3702,1000,59.021001
2948,1000,59.301925
3334,1000,59.583129
3384,1000,59.841632
3532,1000,60.093726
3456,1000,60.347659
3674,1000,60.605089
3800,1000,60.890589
3838,1000,61.162901
4184,1000,61.428075
3252,1000,61.698626
3114,1000,61.98265
3454,1000,62.252068
3604,1000,62.539026
3388,1000,62.800864
3524,1000,63.075409
3506,1000,63.352261
3226,1000,63.616504
3890,1000,63.891811
3360,1000,64.160844
3684,1000,64.439337
3886,1000,64.730108
3404,1000,65.020526
3056,1000,65.31427
3756,1000,65.607295
3762,1000,65.875599
3192,1000,66.158004
3806,1000,66.433469
3874,1000,66.73306
4122,1000,67.007048
4074,1000,67.288156
3666,1000,67.566969
3826,1000,67.846336
3598,1000,68.124283
3270,1000,68.40159
3226,1000,68.674217
3198,1000,68.935642
3630,1000,69.227506
3156,1000,69.566326
3570,1000,69.924444
3786,1000,70.202624
3288,1000,70.469548
3676,1000,70.713836
2990,1000,70.98972
3254,1000,71.260595
3728,1000,71.534642
3360,1000,71.809208
3520,1000,72.089089
3376,1000,72.368508
3818,1000,72.648725
3576,1000,72.919858
3522,1000,73.206487
3374,1000,73.485213
