#{"t_start": 1582022849.629295, "env_id": "CliffWalking-v0"}
r,l,t
-16266,2307,1.749803
-5305,2038,2.385887
-397,298,2.462731
-142,142,2.499813
-937,739,2.739036
-378,279,2.812888
-414,315,2.89508
-245,146,2.990472
-1072,874,3.223387
-1317,921,3.513721
-315,216,3.619699
-1157,959,3.916947
-424,325,4.002223
-1574,1277,4.380604
-207,207,4.434432
-602,602,4.634936
-238,238,4.697997
-296,296,4.777864
-130,130,4.860579
-126,126,4.894512
-161,161,4.937024
-380,182,4.984208
-162,162,5.02891
-377,278,5.100481
-121,121,5.179519
-55,55,5.195677
-46,46,5.207565
-57,57,5.221832
-69,69,5.240127
-142,142,5.275626
-44,44,5.286427
-84,84,5.307833
-204,204,5.362728
-268,169,5.405014
-46,46,5.416151
-69,69,5.433738
-149,149,5.521796
-117,117,5.553945
-62,62,5.570472
-87,87,5.593674
-152,152,5.634613
-294,195,5.686582
-112,112,5.716633
-105,105,5.744752
-87,87,5.816377
-80,80,5.837965
-89,89,5.8602
-65,65,5.875863
-107,107,5.903081
-122,122,5.93242
-75,75,5.950388
-51,51,5.963554
-48,48,5.977253
-83,83,6.000095
-51,51,6.013205
-43,43,6.024012
-39,39,6.033979
-53,53,6.046949
-84,84,6.068738
-31,31,6.12521
-69,69,6.144486
-95,95,6.168944
-69,69,6.187096
-190,91,6.211385
-181,82,6.232231
-52,52,6.245708
-23,23,6.251698
-69,69,6.26953
-47,47,6.282296
-65,65,6.300264
-43,43,6.311492
-174,75,6.331321
-46,46,6.343409
-60,60,6.358839
-283,85,6.380437
-66,66,6.445226
-53,53,6.45917
-38,38,6.468851
-206,107,6.49666
-111,111,6.525328
-22,22,6.531093
-130,130,6.563504
-37,37,6.572952
-60,60,6.588343
-209,110,6.618735
-79,79,6.638537
-34,34,6.648153
-51,51,6.660528
-64,64,6.676887
-87,87,6.698658
-98,98,6.774248
-45,45,6.785649
-96,96,6.80996
-59,59,6.824239
-81,81,6.845383
-35,35,6.855023
-86,86,6.876362
-61,61,6.891255
-140,140,6.927488
-34,34,6.936653
-58,58,6.951047
-51,51,6.963532
-40,40,6.973045
-60,60,6.987049
-73,73,7.004313
-43,43,7.065516
-26,26,7.073087
-74,74,7.093959
-76,76,7.113034
-69,69,7.129809
-41,41,7.139453
-77,77,7.159169
-45,45,7.17024
-39,39,7.179503
-46,46,7.190292
-199,100,7.213655
-31,31,7.222118
-53,53,7.236642
-63,63,7.252814
-64,64,7.269042
-42,42,7.278962
-66,66,7.294454
-64,64,7.309585
-38,38,7.366949
-26,26,7.373502
-28,28,7.381681
-80,80,7.402175
-78,78,7.421824
-40,40,7.431424
-39,39,7.440554
-130,31,7.447808
-56,56,7.461079
-65,65,7.475626
-42,42,7.485397
-45,45,7.495674
-29,29,7.502208
-97,97,7.527062
-79,79,7.548254
-52,52,7.561538
-40,40,7.571359
-47,47,7.582585
-143,44,7.592845
-54,54,7.605532
-34,34,7.665178
-160,61,7.681492
-54,54,7.694627
-49,49,7.707929
-36,36,7.716891
-28,28,7.723659
-37,37,7.732579
-32,32,7.740303
-36,36,7.749173
-40,40,7.759037
-31,31,7.766409
-52,52,7.778691
-71,71,7.795437
-27,27,7.801834
-42,42,7.81178
-57,57,7.827102
-42,42,7.837429
-147,48,7.850919
-53,53,7.865456
-20,20,7.870959
-41,41,7.881088
-55,55,7.894402
-28,28,7.901205
-43,43,7.912031
-55,55,7.976492
-57,57,7.992167
-28,28,8.00024
-33,33,8.008724
-41,41,8.01917
-32,32,8.027122
-33,33,8.035634
-42,42,8.046139
-42,42,8.05715
-28,28,8.064067
-75,75,8.08351
-45,45,8.094816
-51,51,8.107141
-41,41,8.11731
-33,33,8.125358
-27,27,8.133341
-33,33,8.142697
-23,23,8.149254
-40,40,8.159233
-41,41,8.169831
-43,43,8.180585
-37,37,8.18942
-33,33,8.19818
-49,49,8.210327
-23,23,8.215965
-51,51,8.228315
-37,37,8.288682
-131,32,8.297097
-44,44,8.308331
-43,43,8.320608
-51,51,8.333257
-26,26,8.339591
-34,34,8.347919
-38,38,8.35771
-31,31,8.365373
-35,35,8.373846
-33,33,8.382412
-25,25,8.388995
-35,35,8.398158
-35,35,8.406651
-44,44,8.417869
-46,46,8.429242
-41,41,8.439185
-36,36,8.449385
-37,37,8.459041
-65,65,8.476201
-39,39,8.486569
-50,50,8.499325
-52,52,8.512534
-37,37,8.521782
-36,36,8.530923
-80,80,8.605385
-26,26,8.612701
-28,28,8.620438
-33,33,8.628739
-31,31,8.636973
-22,22,8.64247
-34,34,8.651301
-56,56,8.665197
-77,77,8.684426
-39,39,8.69424
-30,30,8.701707
-26,26,8.708421
-22,22,8.713713
-38,38,8.722727
-31,31,8.730095
-58,58,8.743813
-34,34,8.753065
-31,31,8.761111
-37,37,8.772377
-27,27,8.779696
-50,50,8.793036
-50,50,8.806017
-31,31,8.813563
-41,41,8.824695
-26,26,8.831692
-29,29,8.839363
-46,46,8.850639
-30,30,8.857735
-27,27,8.910757
-25,25,8.920043
-30,30,8.927869
-37,37,8.938022
-57,57,8.952344
-28,28,8.959728
-46,46,8.971925
-23,23,8.977491
-30,30,8.985073
-24,24,8.99153
-30,30,8.999035
-27,27,9.005856
-27,27,9.012318
