#{"t_start": 1586941870.559104, "env_id": "NChain-v0"}
r,l,t
1324,1000,1.121125
1292,1000,1.518251
1348,1000,1.905054
1362,1000,2.303493
1308,1000,2.691385
1350,1000,3.068732
1308,1000,3.459011
1428,1000,3.851884
1348,1000,4.239037
1334,1000,4.627471
1456,1000,5.004775
1370,1000,5.393066
1272,1000,5.778867
1424,1000,6.156556
1376,1000,6.534392
1268,1000,6.900209
1396,1000,7.296548
1316,1000,7.693369
1444,1000,8.073135
1446,1000,8.456139
1462,1000,8.846435
1292,1000,9.235177
1434,1000,9.611589
1340,1000,10.015954
1388,1000,10.396476
1436,1000,10.780212
1190,1000,11.145251
1300,1000,11.542892
1478,1000,11.927763
1390,1000,12.320868
1456,1000,12.748156
1464,1000,13.108033
1444,1000,13.51082
1568,1000,13.903115
1660,1000,14.290081
1354,1000,14.670664
1492,1000,15.046055
1388,1000,15.404039
1536,1000,15.782934
1470,1000,16.149422
1444,1000,16.514554
1528,1000,16.889961
1360,1000,17.281167
1626,1000,17.659881
1370,1000,18.055864
1474,1000,18.431908
1432,1000,18.855733
1684,1000,19.245868
1460,1000,19.64639
1682,1000,20.046543
1562,1000,20.446567
1606,1000,20.841692
1704,1000,21.222099
1628,1000,21.590221
1548,1000,21.971929
1576,1000,22.3543
1822,1000,22.734137
1592,1000,23.113275
1778,1000,23.475396
1610,1000,23.859844
1610,1000,24.25141
1646,1000,24.651503
1580,1000,25.050789
1524,1000,25.440048
1636,1000,25.849294
1722,1000,26.258607
1734,1000,26.666073
1628,1000,27.075539
1620,1000,27.4858
1550,1000,27.896883
1592,1000,28.304569
1654,1000,28.701902
1732,1000,29.104216
1632,1000,29.506903
1894,1000,29.885591
1614,1000,30.293866
1682,1000,30.70244
1648,1000,31.09934
1504,1000,31.505879
1628,1000,31.903916
1754,1000,32.32406
1558,1000,32.743157
1652,1000,33.156405
1646,1000,33.569033
1774,1000,33.979624
1682,1000,34.360553
1754,1000,34.761536
1638,1000,35.161296
1962,1000,35.571628
1712,1000,35.98558
