#{"t_start": 1586942295.5831811, "env_id": "CliffWalking-v0"}
r,l,t
-77732,11699,5.487484
-160218,110421,52.274722
-83622,75207,83.753702
-73439,67994,112.358422
-23412,21333,121.365746
-20790,19305,129.42532
-5508,5112,131.587406
-7835,7439,134.746854
-14082,13092,140.265755
-820,820,140.662408
-11370,10182,144.979849
-25700,24017,154.906173
-10482,9591,158.674494
-701,701,158.95617
-300,300,159.069509
-8183,7688,162.285227
-4257,3762,163.853652
-1076,1076,164.293141
-5154,4857,166.282537
-3991,3595,167.921759
-8718,7827,171.285409
-7592,6998,174.119452
-572,473,174.321085
-3061,2962,175.584632
-384,384,175.744674
-19316,18029,183.300902
-290,290,183.412674
-6268,5674,185.675013
-3281,2984,186.906389
-990,891,187.273149
-4825,4825,189.195506
-5241,4647,191.087313
-1776,1677,191.758925
-1011,1011,192.168457
-1522,1522,192.791133
-2790,2394,193.767702
-4426,4228,195.62387
-4983,4092,197.470362
-1696,1498,198.112046
-971,971,198.520564
-2094,1995,199.323961
-5081,4487,201.148417
-2053,1756,201.869639
-462,462,202.066776
-106,106,202.094828
-1913,1616,202.762344
-2444,1949,203.553185
-2056,1957,204.367627
-1647,1647,205.043273
-925,925,205.455385
-81,81,205.479155
-893,596,205.741998
-1161,1062,206.19059
-3271,2974,207.456768
-1179,1080,207.921919
-1430,1133,208.410461
-424,424,208.581472
-540,441,208.787796
-300,201,208.866535
-477,477,209.074099
-763,664,209.377292
-2061,1863,210.223756
-518,518,210.501461
-969,870,210.87865
-840,840,211.317511
-1057,958,211.80101
-549,549,212.080228
-249,249,212.19122
-927,729,212.496294
-151,151,212.575925
-446,446,212.757037
-875,875,213.144429
-2076,1779,213.936031
-2092,1498,214.562148
-321,222,214.660779
-969,672,214.942965
-719,521,215.178572
-309,210,215.255828
-273,273,215.367474
-333,333,215.513489
-433,334,215.657449
-190,190,215.727464
-743,743,216.048827
-419,419,216.217677
-44,44,216.229624
-895,697,216.523142
-1026,1026,216.966472
-730,532,217.190534
-348,249,217.299118
-134,134,217.354606
-123,123,217.407672
-371,371,217.576439
-388,388,217.743749
-1454,1256,218.297521
-322,322,218.425663
-1123,925,218.829619
-1163,1163,219.337238
-188,188,219.404184
-353,353,219.552448
-146,146,219.609663
