#{"t_start": 1591439478.210897, "env_id": "CliffWalking-v0"}
r,l,t
-107191,24427,9.908682
-20875,10876,13.985942
-27783,16596,20.23874
-1433,1037,20.633543
-13388,10121,24.444167
-2996,2699,25.463935
-22569,16827,31.815158
-6203,4520,33.514067
-2745,2349,34.419692
-1630,1234,34.90946
-6215,5324,36.932322
-2285,1988,37.660329
-5962,4972,39.530754
-1134,1134,39.977752
-6779,5492,42.075769
-8553,7365,44.842896
-534,534,45.037351
-2210,1913,45.755024
-381,282,45.872728
-1049,752,46.137665
-1769,1571,46.726019
-4543,3949,48.178451
-1711,1315,48.784139
-120,120,48.836042
-2080,1882,49.981616
-1159,664,50.267241
-485,485,50.433752
-1030,832,50.758633
-1345,949,51.111483
-2119,1327,51.630056
-636,438,51.788756
-227,227,51.878743
-2776,2182,52.698755
-6673,5188,54.708923
-155,155,54.766353
-2921,2228,55.617672
-631,433,55.81078
-1060,961,56.143261
-820,721,56.42793
-761,563,56.638733
-2376,1782,57.285386
-381,183,57.344944
-1057,661,57.598583
-648,450,57.745651
-1088,791,58.011336
-1083,786,58.277751
-155,155,58.343674
-325,226,58.408694
-187,187,58.483666
-2209,1714,59.058929
-139,139,59.104672
-515,317,59.221631
-295,196,59.28166
-736,538,59.482413
-745,448,59.628887
-630,234,59.71236
-1340,1142,60.104639
-224,224,60.185209
-172,172,60.237419
-244,244,60.321852
-255,255,60.409035
-948,750,60.676069
-268,268,60.766841
-732,336,60.871016
-1899,1107,61.252983
-141,141,61.299544
-163,163,61.351665
-133,133,61.395542
-692,494,61.562793
-218,119,61.605083
-100,100,61.642609
-491,392,61.775796
-107,107,61.817222
-444,345,61.954838
-243,144,62.008027
-359,161,62.062752
-129,129,62.110919
-63,63,62.125225
-193,94,62.165248
-194,194,62.244496
-360,162,62.296918
-205,205,62.375826
-208,208,62.437381
-274,175,62.509538
-341,242,62.579161
-170,170,62.650079
-325,325,62.757637
-166,166,62.831014
-54,54,62.843191
-789,492,63.031014
-308,209,63.115283
-108,108,63.140039
-137,137,63.185347
-247,148,63.249435
-1023,726,63.500559
-52,52,63.52939
-233,134,63.576904
-788,491,63.75601
-100,100,63.77902
-178,178,63.855004
-301,202,63.915082
-197,197,63.990388
-157,58,64.003633
-675,576,64.23335
-578,479,64.409396
-140,140,64.455699
-475,277,64.546487
-586,487,64.724987
-40,40,64.734411
-331,133,64.784115
-225,126,64.830786
-74,74,64.864676
-343,343,64.979381
-105,105,65.018967
-774,378,65.150077
-168,69,65.1871
-146,146,65.235751
-194,95,65.256649
-474,375,65.386056
-95,95,65.422923
-58,58,65.453835
-46,46,65.464776
-139,139,65.515495
-460,262,65.612184
-366,366,65.749302
-224,125,65.793829
-319,220,65.875009
-402,204,65.935427
-286,187,66.00653
-589,292,66.100602
-336,138,66.145972
-359,161,66.200961
-58,58,66.232981
-495,198,66.295978
-262,163,66.370412
-324,225,66.440813
-151,52,66.468197
-168,69,66.483845
-548,251,66.57622
-500,203,66.663556
-202,202,66.727155
-229,229,66.814896
-689,293,66.91525
-511,412,67.073182
-196,196,67.131998
-142,142,67.177947
-113,113,67.218076
-107,107,67.257518
-94,94,67.293765
-211,112,67.333243
-46,46,67.343816
-85,85,67.381629
-135,135,67.430564
-419,122,67.47597
-864,369,67.610878
-448,250,67.681311
-710,314,67.801995
-100,100,67.840187
-167,68,67.854255
-60,60,67.88327
-402,105,67.920986
-353,155,67.970105
-226,127,68.013514
-231,132,68.058594
-51,51,68.070133
-77,77,68.104136
-415,217,68.166765
-727,232,68.247274
-85,85,68.282072
-84,84,68.315951
-178,79,68.333419
-309,111,68.372769
-182,83,68.406607
-64,64,68.420057
-98,98,68.457309
-137,38,68.465672
-57,57,68.493101
-70,70,68.507772
-634,238,68.591997
-101,101,68.630386
-65,65,68.644623
-875,380,68.77444
-105,105,68.812643
-756,459,68.975592
-73,73,68.99082
-340,142,69.037127
-555,258,69.140456
-477,180,69.195909
-152,152,69.243968
-337,238,69.326737
-151,52,69.337636
-176,176,69.410082
-169,70,69.424684
-216,117,69.464876
-416,218,69.542835
-195,96,69.579138
-390,192,69.636628
-69,69,69.667726
-86,86,69.685725
-92,92,69.722079
-352,154,69.770561
-41,41,69.795188
-99,99,69.816476
-188,188,69.891034
-750,255,69.977688
-58,58,69.98978
-83,83,70.022865
-478,82,70.059073
-100,100,70.082855
-300,102,70.125943
-252,54,70.153626
-220,121,70.19506
-53,53,70.207209
-69,69,70.221897
-634,238,70.304061
-80,80,70.33744
-81,81,70.370173
-45,45,70.379887
-148,49,70.390231
-310,112,70.42914
-45,45,70.454107
-448,151,70.502355
-72,72,70.517465
-125,125,70.559156
-181,82,70.592962
-234,135,70.636984
-116,116,70.677896
-239,140,70.725769
-82,82,70.759479
-49,49,70.770688
-57,57,70.782524
-275,77,70.815579
-82,82,70.848957
-63,63,70.862074
-78,78,70.894701
-53,53,70.905723
-245,47,70.931248
-246,147,70.978365
-912,417,71.125619
-94,94,71.167599
-429,231,71.254941
-44,44,71.266189
-307,109,71.310772
-674,179,71.368057
-267,69,71.399579
-539,341,71.508925
-197,98,71.545654
-307,208,71.621116
-321,123,71.662814
-48,48,71.672784
-641,344,71.791844
-56,56,71.803674
-109,109,71.846203
-555,159,71.90113
-47,47,71.929925
-303,204,71.994061
-63,63,72.026299
-348,150,72.077203
-728,233,72.159413
-51,51,72.171098
-40,40,72.17969
-759,165,72.247246
-60,60,72.260537
-568,271,72.35018
-366,69,72.380393
-154,55,72.391938
-71,71,72.424335
-60,60,72.437314
-196,97,72.474847
-514,217,72.553611
-717,321,72.653741
-642,246,72.738955
-161,62,72.767232
-157,58,72.77938
-45,45,72.788911
-265,67,72.819246
-361,64,72.833273
-47,47,72.85942
-410,212,72.92166
-543,147,72.98468
-561,264,73.072246
-107,107,73.110597
-314,116,73.137792
-337,139,73.198542
-50,50,73.210495
-215,116,73.250739
-742,148,73.29677
-166,67,73.326064
-95,95,73.346926
-543,246,73.430653
-73,73,73.461445
-390,93,73.48102
-155,56,73.508452
-115,115,73.548347
-42,42,73.557157
-110,110,73.596027
-167,68,73.625233
-166,67,73.640073
-258,159,73.690198
-38,38,73.713806
-324,126,73.756526
-77,77,73.773205
-261,63,73.80286
-309,111,73.841562
-272,74,73.857504
-177,78,73.889632
-118,118,73.930507
-304,106,73.952557
-207,108,73.990637
-63,63,74.019925
-70,70,74.034861
-63,63,74.06427
-167,68,74.078688
-177,78,74.110871
-243,144,74.156051
-241,142,74.201126
-73,73,74.232182
-109,109,74.271465
-71,71,74.287042
-72,72,74.318246
-69,69,74.333145
-468,270,74.422823
-528,132,74.466387
-274,175,74.534954
-495,198,74.592942
-76,76,74.624589
-145,46,74.634163
-42,42,74.659339
-162,63,74.673295
-256,157,74.724169
-175,76,74.75651
-95,95,74.792907
-253,154,74.843246
-213,114,74.884794
-560,164,74.937047
-753,258,75.026665
-51,51,75.038207
-79,79,75.071704
-185,86,75.110346
-281,83,75.128737
-739,145,75.19412
-149,50,75.205496
-424,127,75.249558
-188,89,75.285695
-54,54,75.297916
-130,130,75.346251
-64,64,75.378664
-709,115,75.405859
-99,99,75.447204
-418,121,75.492334
-158,59,75.523691
-154,154,75.575709
-100,100,75.61526
-166,67,75.630233
-274,175,75.702757
-47,47,75.714082
-180,81,75.751803
-297,198,75.814791
-73,73,75.848815
-425,128,75.894972
-240,141,75.944596
-754,160,75.999293
-67,67,76.031197
-98,98,76.053707
-372,174,76.124614
-74,74,76.140885
-142,142,76.18632
-323,125,76.230983
