#{"t_start": 1587117991.1349509, "env_id": "Taxi-v3"}
r,l,t
-785,200,0.716549
-839,200,0.810757
-812,200,0.8844
-713,200,0.977753
-776,200,1.052026
-767,200,1.149758
-740,200,1.223175
-749,200,1.321591
-695,200,1.418219
-749,200,1.489986
-812,200,1.583157
-794,200,1.654821
-668,200,1.747357
-695,200,1.819454
-812,200,1.916702
-794,200,1.989971
-776,200,2.086846
-259,64,2.125197
-767,200,2.199351
-839,200,2.293789
-578,200,2.365522
-794,200,2.458327
-758,200,2.529422
-722,200,2.627995
-875,200,2.701091
-803,200,2.798484
-632,200,2.89502
-722,200,2.975288
-650,200,3.072863
-704,200,3.143856
-776,200,3.246683
-722,200,3.323583
-704,200,3.425685
-749,200,3.524893
-704,200,3.605213
-803,200,3.69738
-767,200,3.768321
-713,200,3.859089
-677,200,3.92883
-794,200,4.025786
-650,200,4.098483
-704,200,4.195014
-704,200,4.290009
-632,200,4.363069
-578,200,4.45817
-686,200,4.531331
-686,200,4.628578
-749,200,4.700122
-632,200,4.79766
-164,68,4.835054
-731,200,4.907674
-668,200,5.00161
-659,200,5.074073
-668,200,5.165837
-650,200,5.240439
-695,200,5.336343
-623,200,5.414556
-614,200,5.512899
-677,200,5.609153
-713,200,5.681458
-596,200,5.779166
-605,200,5.850972
-686,200,5.947848
-605,200,6.020719
-659,200,6.115045
-776,200,6.210195
-632,200,6.282821
-533,200,6.378711
-668,200,6.451315
-560,200,6.54569
-605,200,6.616227
-650,200,6.713279
-704,200,6.78526
-614,200,6.87856
-605,200,6.968617
-587,200,7.040074
-285,99,7.086283
-542,200,7.159233
-650,200,7.253342
-542,200,7.349695
-569,200,7.422919
-560,200,7.520568
-551,200,7.594231
-632,200,7.691157
-713,200,7.769933
-596,200,7.871519
-542,200,7.968434
-569,200,8.045327
-605,200,8.145816
-659,200,8.222645
-515,200,8.326548
-524,200,8.400792
-641,200,8.493683
-614,200,8.563243
-560,200,8.658403
-515,200,8.756625
-587,200,8.830347
-506,200,8.927512
-515,200,8.999379
-204,63,9.037142
-479,200,9.110588
-551,200,9.205656
-452,200,9.277756
-668,200,9.372902
-695,200,9.467118
-605,200,9.53913
-560,200,9.637326
-515,200,9.708397
-605,200,9.800446
-542,200,9.87411
-551,200,9.968879
-569,200,10.061865
-470,200,10.134527
-587,200,10.229561
-470,200,10.300312
-632,200,10.395382
-632,200,10.466621
-497,200,10.562059
-542,200,10.63362
-632,200,10.729847
-533,200,10.82245
-443,200,10.894027
-587,200,10.988486
-443,200,11.060589
-614,200,11.155477
-596,200,11.226895
-569,200,11.318107
-533,200,11.412298
-506,200,11.486485
-497,200,11.58058
-479,200,11.652961
-569,200,11.7496
-542,200,11.823333
-614,200,11.918675
-560,200,11.991901
-452,200,12.086059
-443,200,12.182624
-542,200,12.256377
-560,200,12.350262
-596,200,12.424644
-524,200,12.520515
-506,200,12.594199
-596,200,12.69289
-524,200,12.787526
-416,200,12.859683
-524,200,12.951797
