#{"t_start": 1587123258.804343, "env_id": "NChain-v0"}
r,l,t
1228,1000,1.024285
1368,1000,1.575991
1828,1000,1.821057
1798,1000,2.069166
2262,1000,2.310572
2812,1000,2.558137
2400,1000,2.800823
3234,1000,3.056336
3026,1000,3.30165
2730,1000,3.554798
3092,1000,3.811904
3126,1000,4.055809
2844,1000,4.300165
3658,1000,4.554877
2998,1000,4.797483
3422,1000,5.039808
3472,1000,5.281039
3562,1000,5.52326
3480,1000,5.7644
3644,1000,6.015368
3512,1000,6.259389
3704,1000,6.500001
3486,1000,6.74202
3458,1000,6.983081
3974,1000,7.225607
3304,1000,7.470937
3908,1000,7.713352
3828,1000,7.954869
3116,1000,8.20027
3382,1000,8.445237
3510,1000,8.697045
3390,1000,8.940251
3608,1000,9.185632
3446,1000,9.437054
3640,1000,9.68276
4752,1000,9.927677
3602,1000,10.173943
3476,1000,10.417708
3714,1000,10.662374
3908,1000,10.907008
3488,1000,11.150293
3494,1000,11.402864
4170,1000,11.631593
3040,1000,11.900003
3928,1000,12.156131
3588,1000,12.432052
3802,1000,12.700778
3358,1000,12.955142
3990,1000,13.212754
3636,1000,13.465307
3560,1000,13.72667
3496,1000,13.980202
3224,1000,14.238519
3736,1000,14.505493
3592,1000,14.763412
3766,1000,15.014307
3720,1000,15.269081
3456,1000,15.526293
4082,1000,15.776505
3514,1000,16.031661
3586,1000,16.283195
3516,1000,16.539948
4220,1000,16.78861
3524,1000,17.052027
3538,1000,17.356494
3812,1000,17.606494
3362,1000,17.855248
3590,1000,18.11129
3818,1000,18.369392
3400,1000,18.615764
3818,1000,18.859661
3478,1000,19.10504
3732,1000,19.348114
3462,1000,19.592015
3508,1000,19.837996
3880,1000,20.084364
3702,1000,20.33369
3840,1000,20.576703
3572,1000,20.817591
4066,1000,21.057836
3148,1000,21.300839
3810,1000,21.557656
3954,1000,21.847807
3544,1000,22.099464
3360,1000,22.350352
3616,1000,22.585616
3978,1000,22.84422
4076,1000,23.141384
3782,1000,23.410692
3404,1000,23.679221
3806,1000,23.934985
3400,1000,24.207052
3478,1000,24.453424
3310,1000,24.711304
3322,1000,24.973565
3640,1000,25.254238
3778,1000,25.512605
3416,1000,25.784047
4138,1000,26.045563
