#{"t_start": 1591438841.155085, "env_id": "CliffWalking-v0"}
r,l,t
-1743,357,0.738129
-8045,917,1.304242
-8518,1786,1.781583
-3785,2003,2.384727
-106,106,2.455549
-307,208,2.510601
-511,313,2.585997
-955,757,2.817392
-306,207,2.864172
-1392,996,3.158618
-698,500,3.27763
-771,573,3.462456
-586,487,3.58062
-789,591,3.772114
-888,690,3.995524
-34,34,4.003559
-533,533,4.128168
-398,398,4.272574
-196,196,4.318576
-600,501,4.44709
-82,82,4.466326
-909,711,4.685151
-103,103,4.713
-186,186,4.757945
-178,178,4.853344
-121,121,4.882984
-443,443,4.990823
-71,71,5.009865
-146,146,5.045575
-98,98,5.0696
-125,125,5.146466
-34,34,5.154985
-82,82,5.17493
-90,90,5.196543
-81,81,5.215795
-21,21,5.220989
-99,99,5.243421
-113,113,5.27006
-90,90,5.291304
-55,55,5.304884
-101,101,5.330358
-247,247,5.438061
-42,42,5.448163
-64,64,5.463569
-62,62,5.478517
-202,103,5.502165
-93,93,5.524647
-74,74,5.542899
-35,35,5.550751
-41,41,5.560689
-126,126,5.591888
-69,69,5.609105
-100,100,5.632796
-31,31,5.639808
-94,94,5.662087
-30,30,5.718144
-75,75,5.738515
-33,33,5.746253
-308,110,5.773163
-62,62,5.787453
-301,202,5.831432
-60,60,5.844342
-153,153,5.878444
-69,69,5.896787
-63,63,5.911716
-62,62,5.92687
-194,95,5.947604
-115,115,6.027673
-58,58,6.043533
-21,21,6.048703
-37,37,6.057411
-46,46,6.067921
-126,126,6.09813
-46,46,6.109315
-51,51,6.120933
-64,64,6.136453
-46,46,6.148466
-32,32,6.156357
-35,35,6.16566
-22,22,6.170733
-81,81,6.193615
-213,114,6.220911
-27,27,6.227435
-44,44,6.238193
-122,122,6.320558
-61,61,6.339932
-44,44,6.353449
-41,41,6.363362
-37,37,6.37246
-35,35,6.380938
-31,31,6.388254
-49,49,6.399877
-102,102,6.424942
-239,140,6.459145
-103,103,6.484693
-116,116,6.515036
-80,80,6.534879
-45,45,6.545465
-53,53,6.558221
-50,50,6.569802
-50,50,6.629365
-51,51,6.645313
-28,28,6.651541
-50,50,6.663914
-42,42,6.674349
-32,32,6.682199
-81,81,6.701084
-55,55,6.714238
-48,48,6.725822
-59,59,6.741128
-28,28,6.747645
-47,47,6.759027
-55,55,6.771925
-42,42,6.781968
-24,24,6.788403
-44,44,6.800652
-73,73,6.820176
-35,35,6.828301
-28,28,6.835072
-62,62,6.85026
-36,36,6.859506
-26,26,6.865431
-31,31,6.872763
-49,49,6.932643
-30,30,6.939984
-26,26,6.946831
-21,21,6.951789
-61,61,6.966925
-58,58,6.98075
-23,23,6.986132
-38,38,6.995072
-39,39,7.004459
-63,63,7.020863
-27,27,7.027809
-53,53,7.040093
-36,36,7.049186
-23,23,7.054848
-28,28,7.061574
-32,32,7.069143
-38,38,7.078717
-21,21,7.084141
-155,56,7.100137
-29,29,7.108176
-17,17,7.112152
-20,20,7.116946
-36,36,7.12557
-22,22,7.13081
-36,36,7.139538
-44,44,7.150013
-43,43,7.161058
-21,21,7.166175
-46,46,7.222697
-39,39,7.234559
-35,35,7.243167
-27,27,7.250517
-117,117,7.279468
-30,30,7.286319
-48,48,7.298496
-37,37,7.307005
-26,26,7.313658
-54,54,7.326874
-36,36,7.334876
-37,37,7.343911
-35,35,7.351757
-26,26,7.358354
-49,49,7.371226
-22,22,7.376628
-19,19,7.381131
-42,42,7.391377
-51,51,7.404882
-51,51,7.419216
-153,54,7.432705
-23,23,7.438071
-22,22,7.443149
-32,32,7.450139
-32,32,7.457387
-21,21,7.462629
-26,26,7.469238
-43,43,7.528726
-21,21,7.533694
-23,23,7.538873
-26,26,7.545332
-36,36,7.554871
-22,22,7.559911
-40,40,7.569704
-24,24,7.576013
-29,29,7.583182
-45,45,7.59346
-30,30,7.600374
-35,35,7.608388
-30,30,7.615618
-37,37,7.623941
-54,54,7.636746
-24,24,7.642112
-31,31,7.649459
-22,22,7.655166
-31,31,7.66224
-21,21,7.667586
-29,29,7.674004
-35,35,7.681719
-65,65,7.699843
-32,32,7.707886
-29,29,7.714933
-22,22,7.720132
-34,34,7.728243
-29,29,7.735271
-36,36,7.744206
-38,38,7.752909
-47,47,7.763342
-25,25,7.768883
-36,36,7.826254
-45,45,7.839058
-37,37,7.84737
-19,19,7.851789
-28,28,7.858497
-19,19,7.862722
-44,44,7.873809
-37,37,7.881827
-36,36,7.890619
-30,30,7.897926
-32,32,7.905248
-34,34,7.913502
-38,38,7.922265
-36,36,7.931772
-26,26,7.937823
-37,37,7.946547
-27,27,7.952757
-26,26,7.959407
-21,21,7.964793
-26,26,7.970867
-25,25,7.978195
-30,30,7.985305
-38,38,7.994402
-23,23,8.001359
-21,21,8.007057
-25,25,8.012999
-26,26,8.019145
-28,28,8.027085
-40,40,8.03658
-25,25,8.042578
-29,29,8.049471
-31,31,8.056749
-29,29,8.06357
-23,23,8.116155
-35,35,8.126064
-26,26,8.133412
-23,23,8.140272
-41,41,8.151028
-31,31,8.159169
-22,22,8.164304
-18,18,8.16845
-26,26,8.174701
-36,36,8.1832
-27,27,8.18924
-19,19,8.193712
-28,28,8.200605
-21,21,8.205546
-15,15,8.209715
-36,36,8.218146
-22,22,8.223713
-31,31,8.231434
-21,21,8.236185
-21,21,8.241079
