#{"t_start": 1581945790.718082, "env_id": "Taxi-v3"}
r,l,t
-830,200,0.738499
-731,200,0.790372
-812,200,0.84288
-803,200,0.899885
-740,200,0.952542
-749,200,1.426468
-713,200,1.479403
-650,200,1.533888
-749,200,1.585151
-695,200,1.637233
-695,200,1.846
-767,200,1.902213
-749,200,1.958245
-704,200,2.013376
-704,200,2.069121
-713,200,2.275671
-641,200,2.331351
-668,200,2.385787
-686,200,2.441993
-659,200,2.496045
-731,200,2.684926
-686,200,2.737776
-596,200,2.79272
-569,200,2.845465
-641,200,2.901579
-587,200,3.105252
-605,200,3.16258
-632,200,3.216494
-569,200,3.272003
-650,200,3.326847
-587,200,3.520105
-506,200,3.577452
-479,200,3.632873
-623,200,3.684769
-479,200,3.736107
-524,200,3.930018
-425,200,3.983666
-389,200,4.039775
-533,200,4.097319
-443,200,4.153711
-461,200,4.34604
-506,200,4.401622
-407,200,4.457791
-434,200,4.51373
-488,200,4.568464
-506,200,4.623736
-317,200,4.820325
-515,200,4.874255
-308,200,4.927047
-398,200,4.980158
-398,200,5.038053
-434,200,5.237693
-335,200,5.292191
-353,200,5.344864
-353,200,5.39823
-452,200,5.453515
-416,200,5.655507
-407,200,5.71146
-371,200,5.766932
-362,200,5.820108
-344,200,5.873266
-317,200,6.07401
-290,200,6.129428
-317,200,6.183817
-290,200,6.234659
-326,200,6.286411
-317,200,6.490819
-344,200,6.547972
-290,200,6.60165
-335,200,6.655977
-290,200,6.711712
-290,200,6.907874
-317,200,6.966176
-299,200,7.023179
-281,200,7.078061
-272,200,7.131674
-281,200,7.322559
-263,200,7.376519
-308,200,7.429648
-290,200,7.482581
-245,200,7.539028
-254,200,7.744183
-254,200,7.800209
-227,200,7.856507
-236,200,7.911723
-263,200,7.965426
-209,200,8.018417
-236,200,8.219558
-236,200,8.277354
-218,200,8.332268
-254,200,8.386536
-236,200,8.438579
-290,200,8.63827
-227,200,8.69401
-218,200,8.745524
-209,200,8.79698
-245,200,8.847767
-245,200,9.05307
-227,200,9.110141
-200,200,9.165567
-236,200,9.218426
-209,200,9.268937
-227,200,9.457561
-218,200,9.515642
-209,200,9.570215
-218,200,9.628136
-236,200,9.684869
-218,200,9.88725
-200,200,9.942295
-227,200,9.997438
-218,200,10.053129
-245,200,10.107665
-209,200,10.307357
-200,200,10.363135
-200,200,10.416906
-209,200,10.471929
-209,200,10.53175
-209,200,10.729062
-209,200,10.7843
-209,200,10.840232
-200,200,10.895465
-200,200,10.950828
-236,200,11.151278
-209,200,11.214982
-209,200,11.270082
-200,200,11.325476
-209,200,11.380715
-200,200,11.435084
-200,200,11.631524
-236,200,11.689033
-200,200,11.742845
-218,200,11.798166
-209,200,11.851529
-209,200,12.05497
-209,200,12.113027
-209,200,12.168561
-209,200,12.225667
-200,200,12.282131
