#{"t_start": 1587117655.004936, "env_id": "Taxi-v3"}
r,l,t
-821,200,0.851462
-785,200,0.90115
-866,200,0.953597
-677,200,1.005465
-884,200,1.054735
-794,200,1.52669
-731,200,1.575411
-713,200,1.625415
-686,200,1.674715
-695,200,1.725679
-776,200,1.925534
-803,200,1.976165
-632,200,2.025675
-569,200,2.07437
-180,66,2.090834
-740,200,2.1395
-686,200,2.341528
-704,200,2.391761
-668,200,2.441264
-659,200,2.489749
-749,200,2.5395
-713,200,2.736933
-560,200,2.788301
-677,200,2.837119
-587,200,2.887073
-542,200,2.935694
-569,200,3.128099
-560,200,3.180321
-587,200,3.231665
-578,200,3.281873
-623,200,3.333223
-641,200,3.534748
-506,200,3.584886
-506,200,3.634217
-443,200,3.684892
-488,200,3.73604
-524,200,3.927271
-506,200,3.97771
-596,200,4.028473
-452,200,4.079031
-551,200,4.128836
-524,200,4.322275
-506,200,4.372207
-380,200,4.422362
-416,200,4.471805
-524,200,4.536929
-479,200,4.73713
-353,200,4.787694
-443,200,4.838046
-371,200,4.887284
-291,150,4.92382
-416,200,4.972038
-443,200,5.174443
-362,200,5.224023
-443,200,5.273384
-389,200,5.32202
-416,200,5.371795
-344,200,5.567443
-380,200,5.618226
-362,200,5.667537
-344,200,5.717649
-398,200,5.766598
-335,200,5.974308
-317,200,6.024389
-335,200,6.073315
-389,200,6.12201
-344,200,6.17148
-299,200,6.37154
-290,200,6.421906
-224,182,6.467781
-335,200,6.519344
-317,200,6.568927
-272,200,6.768348
-245,200,6.818954
-299,200,6.869045
-326,200,6.918545
-344,200,6.968957
-299,200,7.165594
-308,200,7.214784
-308,200,7.265536
-236,200,7.315441
-299,200,7.365095
-272,200,7.563095
-254,200,7.614384
-263,200,7.666258
-290,200,7.717008
-272,200,7.76783
-254,200,7.81702
-272,200,8.010775
-236,200,8.062591
-236,200,8.113019
-254,200,8.162529
-245,200,8.210262
-245,200,8.410185
-218,200,8.46186
-254,200,8.511656
-236,200,8.563898
-200,200,8.613488
-263,200,8.809851
-227,200,8.860274
-263,200,8.910019
-236,200,8.959864
-200,200,9.009569
-209,200,9.20323
-227,200,9.252786
-209,200,9.302467
-236,200,9.351938
-218,200,9.401842
-245,200,9.593423
-209,200,9.644155
-227,200,9.699136
-209,200,9.751272
-245,200,9.802225
-218,200,9.993981
-209,200,10.044414
-200,200,10.094093
-209,200,10.144092
-209,200,10.192089
-209,200,10.392529
-209,200,10.45005
-218,200,10.49942
-209,200,10.547791
-218,200,10.597014
-209,200,10.792922
-218,200,10.842557
-200,200,10.893886
-227,200,10.943107
-218,200,10.994319
-209,200,11.043893
-200,200,11.241158
-218,200,11.29276
-200,200,11.340962
-200,200,11.388851
-200,200,11.437421
-218,200,11.635679
-218,200,11.68801
-218,200,11.737811
-209,200,11.788983
-200,200,11.838123
-200,200,12.032712
-209,200,12.083017
-200,200,12.132263
-209,200,12.181553
-200,200,12.232521
-200,200,12.433361
-200,200,12.483854
-200,200,12.533446
-209,200,12.582539
-209,200,12.6321
-218,200,12.825519
-209,200,12.875527
-200,200,12.924382
-209,200,12.974131
-200,200,13.026902
-209,200,13.221522
-200,200,13.273243
-200,200,13.324609
-200,200,13.373995
-200,200,13.423456
-218,200,13.619787
-200,200,13.669995
-200,200,13.721628
-227,200,13.772102
-200,200,13.822913
-200,200,14.023527
-209,200,14.074521
-200,200,14.123795
-200,200,14.174086
-200,200,14.221823
-200,200,14.411969
-200,200,14.461916
-209,200,14.512773
-200,200,14.56276
-209,200,14.611746
-200,200,14.660516
-200,200,14.855453
-209,200,14.906666
-200,200,14.956123
-200,200,15.008345
-200,200,15.061011
-218,200,15.260231
-200,200,15.310852
-209,200,15.358937
-200,200,15.407187
-209,200,15.456689
-200,200,15.662087
-200,200,15.7148
-200,200,15.765803
-200,200,15.814513
-200,200,15.863612
-200,200,16.060042
-200,200,16.110114
-209,200,16.159714
-200,200,16.209772
-200,200,16.259687
-209,200,16.460704
-209,200,16.51201
-200,200,16.562041
-200,200,16.610104
-200,200,16.660493
-209,200,16.860271
-200,200,16.91418
-200,200,16.96702
-200,200,17.018422
-200,200,17.069518
-209,200,17.266494
-200,200,17.317216
-200,200,17.370437
-200,200,17.421635
-200,200,17.473406
-200,200,17.675899
-200,200,17.728154
-209,200,17.781151
-209,200,17.833828
-200,200,17.885204
-200,200,17.935888
-209,200,18.139375
-209,200,18.192678
-200,200,18.24373
-200,200,18.293026
-200,200,18.353143
-209,200,18.563189
-200,200,18.619419
-200,200,18.684235
-200,200,18.760407
-200,200,18.813367
-200,200,19.013443
-200,200,19.069235
-209,200,19.122241
-200,200,19.170603
-200,200,19.221689
-200,200,19.435766
-200,200,19.488909
-200,200,19.539414
-200,200,19.5917
-200,200,19.644122
-200,200,19.841848
-200,200,19.891137
-209,200,19.939873
-200,200,19.990154
-200,200,20.040809
-209,200,20.247877
-218,200,20.308108
-200,200,20.358745
-209,200,20.409945
-200,200,20.459741
-209,200,20.663517
-200,200,20.715216
-209,200,20.775529
-209,200,20.825784
-200,200,20.877376
-200,200,21.080589
-200,200,21.132993
-200,200,21.185278
-200,200,21.237063
-200,200,21.294657
-200,200,21.350035
-200,200,21.547996
-200,200,21.600437
